cite_key,family,pattern,section,doe_strategy,strategy_confidence,strategy_score,strategy_runner_up,strategy_runner_up_score,strategy_evidence_source,strategy_evidence_snippet,strategy_all_scores,data_source,source_confidence,source_score,source_runner_up,source_runner_up_score,source_evidence_source,source_evidence_snippet,source_all_scores,has_pdf_text,has_abstract
Han2018622,RBF / kernel,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Wang2024,Neural network,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Zhang20234075,GP / kriging,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Dong2024,PCE / RSM,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Salahinezhad2025,PCE / RSM,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Dong2023__2,PCE / RSM,P1,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Lalitha20231401,Neural network,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Reis2025,Neural network,P2,moo,Active learning,high,48,Latin hypercube sampling,0,evidence-card PDF prose,further simulation runs are chosen by bayesian optimization (acquisition-driven active learning).,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=48; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
abbas_optimal_2024,PCE / RSM,P4,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
alahmad_enhancing_2025,PCE / RSM,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
alahmad_optimizing_2025,PCE / RSM,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
ali_optimizing_2025,PCE / RSM,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
an_multi-objective_2025,PCE / RSM,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
bagheri_miqcp-based_2025,Neural network,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
bendriss_novel_2025,PCE / RSM,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
chen_multi-objective_2025-1,PCE / RSM,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
cortes-caicedo_multi-objective_2025,PCE / RSM,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
liang_high_2024,PCE / RSM,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
malla_sg_optimization_2024,PCE / RSM,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
tezer_multi-objective_2025,PCE / RSM,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
tian_building_2025,Neural network,P2,moo,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Eseye201991463,GP / kriging,P1,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Faraji2020157284,RBF / kernel,P1,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Nematollahi2021,GP / kriging,P5,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Wang20192635,RBF / kernel,P1,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Hussien20211883,PCE / RSM,P2,microgrid,Factorial / response-surface design,high,24,Latin hypercube sampling,0,abstract/keywords,the pi controller using the sfo algorithm. the multi-objective function for this research is deduced from the response surface methodology (rsm). the simulation results are tested under three different operating states which are: 1) the system conversion from grid-connected to stand-alon,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=24; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Rigo-Mariani20171762,GP / kriging,P1,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Wang20211767,RBF / kernel,P5,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Cao2023__2,--,P1,microgrid,Latin hypercube sampling,high,24,Quasi-Monte Carlo / sparse-grid collocation,0,evidence-card PDF prose,training inputs are placed by latin hypercube sampling over the planning box.,Latin hypercube sampling=24; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Xu20184696,PCE / RSM,P1,microgrid,Quasi-Monte Carlo / sparse-grid collocation,high,24,Latin hypercube sampling,0,evidence-card PDF prose,uncertain inputs are represented by sparse-grid or pce collocation nodes (quasi-monte carlo / quadrature family).,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=24; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Gan2021695,GP / kriging,P1,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Hussien20226442,PCE / RSM,P2,microgrid,Factorial / response-surface design,high,21,Latin hypercube sampling,0,abstract/keywords,imum gains for the pi controller are found using the cbmo under a multi-objective optimization framework. the response surface methodology (rsm) is incorporated into the developed procedure to achieve a compromise solution among the different objectives. to prove the effectiveness of the,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=21; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Guo20222057,Neural network,P1,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Chaturvedi2024149,Neural network,P1,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Lu20232989,RBF / kernel,P1,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Wu2021,RBF / kernel,P1,microgrid,Active learning,high,48,Latin hypercube sampling,0,evidence-card PDF prose,further simulation runs are chosen by bayesian optimization (acquisition-driven active learning).,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=48; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Kiani20253021,GP / kriging,P5,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Shao201858,GP / kriging,P4,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Kanwal2018117,GP / kriging,P1,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Roth2019214,Neural network,P1,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Li2023__3,Tree ensembles,P1,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,Historical data,high,24,Synthetic data,0,abstract/keywords,"sed surrogate model and multi-agent deep reinforcement learning (madrl) approach. an important step is to use historical data to train a surrogate model in supervised manner that can imitate the realistic power and thermal flow calculations. meanwhile, the energy management",Synthetic data=0; Historical data=24; Hybrid data=0,no,yes
Han2024,GP / kriging,P5,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Kaewdornhan2022130373,Neural network,P2,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Zhang20203731,RBF / kernel,P1,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Hussien202190577,PCE / RSM,P2,microgrid,Factorial / response-surface design,high,24,Latin hypercube sampling,0,abstract/keywords,"ion for both sunflower optimization (sfo) and particle swarm optimization (pso) algorithms is obtained by the response surface methodology. the system is evaluated under different environments, which are stated as follows: 1) disconnect the system from the grid (islanding), 2) autonomous",Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=24; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Hussien202415075,PCE / RSM,P2,microgrid,Factorial / response-surface design,high,21,Latin hypercube sampling,0,abstract/keywords,portional-integral (pi) controllers for robust operation of islanded microgrids. the first step is to use the response surface methodology (rsm) to empirically express the multi-objective function. this function includes the transient variations of the terminal voltages of the microgrids,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=21; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Pourmohammadi2023,PCE / RSM,P5,microgrid,Factorial / response-surface design,high,24,Latin hypercube sampling,0,abstract/keywords,"the stochastic system do not have closed-form expressions, they can only be estimated via simulation. in the response surface methodology, the simulation input/output data is used first to locally fit first-degree surrogate functions for each supply scenario to perform a stochastic grad",Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=24; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Liu20242534,Neural network,P1,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Yang2024__2,PCE / RSM,P5,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Perera2017187,Neural network,P2,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Matta2026,GP / kriging,P2,microgrid,Active learning,high,59,Latin hypercube sampling,0,title,designing a near-optimal isolated microgrid using active learning,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=59; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
arar_tahir_scientific_2023,PCE / RSM,P2,microgrid,Latin hypercube sampling,high,24,Quasi-Monte Carlo / sparse-grid collocation,0,evidence-card PDF prose,training inputs are placed by latin hypercube sampling over the planning box.,Latin hypercube sampling=24; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
batista_optimizing_2023,PCE / RSM,P2,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
velasquez_intelligence_2023,RBF / kernel,P2,microgrid,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
Hirvonen2017323,Neural network,P2,dh,,unassigned,0,Quasi-Monte Carlo / sparse-grid collocation,0,,,Latin hypercube sampling=0; Quasi-Monte Carlo / sparse-grid collocation=0; Factorial / response-surface design=0; Adaptive sampling=0; Active learning=0; Multi-fidelity training=0; Transfer learning=0,,unassigned,0,Historical data,0,,,Synthetic data=0; Historical data=0; Hybrid data=0,no,yes
