cite_key,family,pattern,section,target,confidence,score,runner_up,runner_up_score,evidence_source,evidence_snippet,all_scores,has_pdf_text,has_abstract
Wang2024,Neural network,P2,moo,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Zhang20234075,GP / kriging,P2,moo,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Dong2024,PCE / RSM,P2,moo,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Salahinezhad2025,PCE / RSM,P2,moo,Objective values,high,15,Exogenous inputs,0,abstract/keywords,"rative analysis findings provide valuable insights for decision-makers, enabling them to evaluate the overall system performance and understand the trade-offs involved in optimizing multiple factors. © 2024 elsevier ltd % reductions; combined cooling; hybrid energy system; mult",Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Dong2023__2,PCE / RSM,P1,moo,,unassigned,12,Exogenous inputs,0,,,Exogenous inputs=0; Objective values=12; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Lalitha20231401,Neural network,P2,moo,Objective values,high,18,Exogenous inputs,0,abstract/keywords,"valuations, which is not practical for real-world problems. hence surrogates are introduced in those moeas to approximate the fitness function. the relay coordination is devised as a constrained multi-objective problem. the surrogate assisted particle swarm optimization (sapso) algo",Exogenous inputs=0; Objective values=18; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Reis2025,Neural network,P2,moo,Objective values,high,18,Exogenous inputs,0,abstract/keywords,"nvergence and reduce computational cost, we integrate a surrogate modeling strategy using machine learning to approximate fitness evaluations in later generations. our experimental evaluation, based on a synthetic dataset simulating one week (168 h) of operation in a hybrid sola",Exogenous inputs=0; Objective values=18; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
abbas_optimal_2024,PCE / RSM,P4,moo,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
alahmad_enhancing_2025,PCE / RSM,P2,moo,Objective values,high,15,Exogenous inputs,0,abstract/keywords,"stem compared to other configurations, underscoring its potential to enhance renewable energy integration and system performance in transitioning energy systems. © 2025 multiobjective optimization, renewable energy source, battery storage, renewable energy sources, wind power,",Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
alahmad_optimizing_2025,PCE / RSM,P2,moo,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
ali_optimizing_2025,PCE / RSM,P2,moo,,unassigned,12,Exogenous inputs,0,,,Exogenous inputs=0; Objective values=12; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
an_multi-objective_2025,PCE / RSM,P2,moo,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
bagheri_miqcp-based_2025,Neural network,P2,moo,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
bendriss_novel_2025,PCE / RSM,P2,moo,Physical states or constraints,high,15,Exogenous inputs,0,abstract/keywords,"d generation within radial distribution grids. the primary objective is to minimize power losses, elevate the voltage profile, and improve voltage stability, formulated as a multi-objective optimization problem. the planning process of renewable energy sources in the radial",Exogenous inputs=0; Objective values=0; Physical states or constraints=15; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
chen_multi-objective_2025-1,PCE / RSM,P2,moo,,unassigned,12,Exogenous inputs,0,,,Exogenous inputs=0; Objective values=12; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
cortes-caicedo_multi-objective_2025,PCE / RSM,P2,moo,Physical states or constraints,high,15,Exogenous inputs,0,abstract/keywords,"ithm (nsga-ii) is employed to determine ess charge and discharge actions, while in the slave stage, an hourly power flow method based on successive approximations assesses the objective functions. the methodology was validated on a 33-node dc test system adapted to the",Exogenous inputs=0; Objective values=0; Physical states or constraints=15; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
liang_high_2024,PCE / RSM,P2,moo,Objective values,high,27,Exogenous inputs,0,abstract/keywords,"eration, on the basis of which a high fidelity pumped storage model (hfpsm) is established. secondly, a multi-objective function of the operation model is set from the consideration of economy, environmental protection and stability, and a engineering application level optimal",Exogenous inputs=0; Objective values=27; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
malla_sg_optimization_2024,PCE / RSM,P2,moo,,unassigned,12,Exogenous inputs,0,,,Exogenous inputs=0; Objective values=12; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
tezer_multi-objective_2025,PCE / RSM,P2,moo,Objective values,high,15,Exogenous inputs,0,abstract/keywords,"a comprehensive sensitivity analysis reveals the impacts of cost variations, storage types, and capacities on system performance, providing insights into the trade-offs involved in optimizing hres. © 2025 hydrogen energy publications llc renewable energy, hybrid power, hydrogen",Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
tian_building_2025,Neural network,P2,moo,Objective values,high,16,Exogenous inputs,0,title,building design and operation multi-objective optimization: energy costs vs. emissions,Exogenous inputs=0; Objective values=16; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Eseye201991463,GP / kriging,P1,microgrid,Exogenous inputs,high,41,Objective values,0,abstract/keywords,"improved performance electricity demand forecast can provide decentralized energy system operators, aggregators, managers, and other stakeholders with essential information for energy resource sched",Exogenous inputs=41; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Faraji2020157284,RBF / kernel,P1,microgrid,Exogenous inputs,high,38,Objective values,0,title,ay-ahead self-scheduling and operation of prosumer microgrids using hybrid machine learning-based weather and load forecasting,Exogenous inputs=38; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Nematollahi2021,GP / kriging,P5,microgrid,,unassigned,18,Exogenous inputs,15,,,Exogenous inputs=15; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=18; Decisions / solution-related objects=0,no,yes
Wang20192635,RBF / kernel,P1,microgrid,Objective values,high,15,Exogenous inputs,0,abstract/keywords,"this paper proposes a more reasonable objective function for combined economic emission dispatch problem. to solve it, lagrange programming neural network (lpnn) is utilized to obtain optimal scheduling of",Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Hussien20211883,PCE / RSM,P2,microgrid,Objective values,high,15,Exogenous inputs,0,abstract/keywords,controller. the main goal is to select the parameters of the pi controller using the sfo algorithm. the multi-objective function for this research is deduced from the response surface methodology (rsm). the simulation results are tested under three different operating states wh,Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Rigo-Mariani20171762,GP / kriging,P1,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Wang20211767,RBF / kernel,P5,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Cao2023__2,--,P1,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Xu20184696,PCE / RSM,P1,microgrid,Probability distributions / chance-constraint terms,high,18,Exogenous inputs,0,abstract/keywords,"that can identify the impact of independent and correlated variables on the img loadability. last, the sparse polynomial chaos expansion method is used to obtain the probabilistic models for img load margins, and an efficient gsa method is proposed to calculate the gs of img loadabilit",Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=18; Decisions / solution-related objects=0,no,yes
Gan2021695,GP / kriging,P1,microgrid,Exogenous inputs,high,15,Objective values,0,abstract/keywords,"f electricity, the battery cycling rate is also higher. finally, we demonstrate improvements in renewable and load forecasts by sharing information between the microgrids. © 2010-2012 ieee. energy management systems; forecasting; gaussian distribution; gaussian noise (elect",Exogenous inputs=15; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Hussien20226442,PCE / RSM,P2,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Guo20222057,Neural network,P1,microgrid,Decisions / solution-related objects,high,76,Exogenous inputs,0,abstract/keywords,rol; bio-inspired optimizations; deep neural network; distributed framework; generator; heuristics algorithm; learning to optimize; optimal power allocation; optimal power allocation .; optimisations; real - time system; resource management; algorithm; article; consensus; deep ne,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=76,no,yes
Chaturvedi2024149,Neural network,P1,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Lu20232989,RBF / kernel,P1,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Wu2021,RBF / kernel,P1,microgrid,Physical states or constraints,high,18,Exogenous inputs,0,abstract/keywords,sents the market clearing problem which determines the electricity price based on alternating-current optimal power flow. a radial basis function based surrogate optimization method is developed to solve the bi-level model with a nonlinear lower level problem. the probl,Exogenous inputs=0; Objective values=0; Physical states or constraints=18; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Kiani20253021,GP / kriging,P5,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Shao201858,GP / kriging,P4,microgrid,,unassigned,12,Objective values,0,,,Exogenous inputs=12; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Kanwal2018117,GP / kriging,P1,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Roth2019214,Neural network,P1,microgrid,Objective values,high,15,Exogenous inputs,0,abstract/keywords,bles one to build optimization problem formulated as a mixed integer linear problem (milp) with a tailor-made objective function to find the optimal size of hres. the flexibility of the metamodel lies in its ability to handle many hybrid system configurations for three common t,Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Li2023__3,Tree ensembles,P1,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Han2024,GP / kriging,P5,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Kaewdornhan2022130373,Neural network,P2,microgrid,,unassigned,21,Probability distributions / chance-constraint terms,18,,,Exogenous inputs=0; Objective values=12; Physical states or constraints=21; Probability distributions / chance-constraint terms=18; Decisions / solution-related objects=0,no,yes
Zhang20203731,RBF / kernel,P1,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Hussien202190577,PCE / RSM,P2,microgrid,Objective values,high,15,Exogenous inputs,0,abstract/keywords,ean and square roots of the exponential algorithm are utilized in the adaptive pi control strategy. the multi-objective function for both sunflower optimization (sfo) and particle swarm optimization (pso) algorithms is obtained by the response surface methodology. the system is,Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Hussien202415075,PCE / RSM,P2,microgrid,Objective values,high,15,Exogenous inputs,0,abstract/keywords,microgrids. the first step is to use the response surface methodology (rsm) to empirically express the multi-objective function. this function includes the transient variations of the terminal voltages of the microgrids. to demonstrate the efficacy of the hybrid levyflight and,Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Pourmohammadi2023,PCE / RSM,P5,microgrid,Probability distributions / chance-constraint terms,high,18,Exogenous inputs,0,abstract/keywords,"ors, a distributional ambiguity set based on a linear ϕ-divergence function is constructed around the nominal probability distribution of supply scenarios, and the expected reliability-adjusted cost of the system is computed using the worst-case distribution in this set. the validity",Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=18; Decisions / solution-related objects=0,no,yes
Liu20242534,Neural network,P1,microgrid,Physical states or constraints,high,41,Exogenous inputs,0,abstract/keywords,"conversion loss modeling plays a crucial role in hybrid ac/dc microgrid (mg) energy management (em). however, accurate calculation of the conversion losses is often",Exogenous inputs=0; Objective values=0; Physical states or constraints=41; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Yang2024__2,PCE / RSM,P5,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Perera2017187,Neural network,P2,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Matta2026,GP / kriging,P2,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
arar_tahir_scientific_2023,PCE / RSM,P2,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
batista_optimizing_2023,PCE / RSM,P2,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
velasquez_intelligence_2023,RBF / kernel,P2,microgrid,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Hirvonen2017323,Neural network,P2,dh,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Sánchez-Zabala2024,RBF / kernel,P1,dh,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Weinberger2018555,Neural network,P1,dh,Objective values,high,18,Exogenous inputs,0,abstract/keywords,"energy system cost may also be caused by many cross-factor interactions with technical factors. a comparative system performance analysis with defined cases and optimal factor setting shows a substantial increase in the electricity production, here by up to 650 gwh annually. th",Exogenous inputs=0; Objective values=18; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Reich2020,GP / kriging,P1,dh,Objective values,high,15,Exogenous inputs,0,abstract/keywords,"implemented in the control system of a dynamic simulation, significant improvements of the target variables (operating costs, co2 emissions) can be seen in comparison with a standard control system. the investigation of different scenarios illustrates the high relevance of",Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Chaudhry2024,PCE / RSM,P5,dh,,unassigned,15,Probability distributions / chance-constraint terms,15,,,Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=15; Decisions / solution-related objects=0,no,yes
Du2025,Neural network,P5,dh,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Rafi202132436,RBF / kernel,P1,dispatch,Exogenous inputs,high,41,Objective values,0,abstract/keywords,"in this study, a new technique is proposed to forecast short-term electrical load. load forecasting is an integral part of power system planning and operation. precise forecasting of load is essential for unit commitment, capacity planning, network",Exogenous inputs=41; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Wu2022231,Neural network,P1,dispatch,Decisions / solution-related objects,high,28,Objective values,18,title,deep learning to optimize: security-constrained unit commitment with uncertain wind power generation and besss,Exogenous inputs=0; Objective values=18; Physical states or constraints=15; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=28,no,yes
Ahmad202451,PCE / RSM,P1,dispatch,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Safta20172535,PCE / RSM,P5,dispatch,Probability distributions / chance-constraint terms,high,38,Exogenous inputs,0,title,efficient uncertainty quantification in stochastic economic dispatch,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=38; Decisions / solution-related objects=0,no,yes
Chen20244723,Neural network,P1,dispatch,Decisions / solution-related objects,high,80,Exogenous inputs,0,title,end-to-end feasible optimization proxies for large-scale economic dispatch,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=80,no,yes
Chen2022,Neural network,P1,dispatch,Decisions / solution-related objects,high,55,Exogenous inputs,0,title,learning optimization proxies for large-scale security-constrained economic dispatch,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=55,no,yes
Dullinger20181646,RBF / kernel,P1,dispatch,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Nikolaidis2021,GP / kriging,P2,dispatch,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Angizeh2023134995,GP / kriging,P1,dispatch,Exogenous inputs,high,15,Objective values,0,abstract/keywords,ss regression (gpr) models. these models are fine-tuned using the base forecasts generated using our in-house load forecasting tool and the national renewable energy laboratory's (nrel) publicly available generation calculator. the results show that ess installations almost a,Exogenous inputs=15; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Wang2022812,PCE / RSM,P5,dispatch,Probability distributions / chance-constraint terms,high,41,Exogenous inputs,0,abstract/keywords,this letter proposes a data-driven sparse polynomial chaos expansion-based surrogate model for the stochastic economic dispatch problem considering uncertainty from wind power. the proposed method can provide accurate,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=41; Decisions / solution-related objects=0,no,yes
Hu2021671,GP / kriging,P5,dispatch,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Wu2024391,Tree ensembles,P1,dispatch,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Pan20244422,PCE / RSM,P5,dispatch,Probability distributions / chance-constraint terms,high,21,Exogenous inputs,0,abstract/keywords,the rced-af model can be constructed with decision-dependent reliability constraints expressed by the sparse polynomial chaos expansion. case studies demonstrate that the proposed rced-af model is effective and accurate in the optimization of the reliability and the cost for day-ahead,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=21; Decisions / solution-related objects=0,no,yes
Li20191438,PCE / RSM,P5,dispatch,Probability distributions / chance-constraint terms,high,30,Physical states or constraints,18,abstract/keywords,"on model of economic dispatch with random parameters, the conic relaxation of power flow and the multivariate polynomial chaos expansions of random variables are employed. as the expansion of the multivariate random variables in terms of polynomial bases are approximately spa",Exogenous inputs=0; Objective values=0; Physical states or constraints=18; Probability distributions / chance-constraint terms=30; Decisions / solution-related objects=0,no,yes
Xu20223066,Neural network,P1,dispatch,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Rixhon2021,PCE / RSM,P1,dispatch,Probability distributions / chance-constraint terms,high,18,Objective values,12,abstract/keywords,"these parameters can be highly uncertain, especially for long-term planning. consequently, this work uses the polynomial chaos expansion method to integrate a global sensitivity analysis in order to highlight the influence of the parameters on the total cost of the system. the outcome",Exogenous inputs=0; Objective values=12; Physical states or constraints=0; Probability distributions / chance-constraint terms=18; Decisions / solution-related objects=0,no,yes
Yan2019625,GP / kriging,P1,dispatch,Exogenous inputs,high,21,Objective values,0,abstract/keywords,probabilistic wind power forecasting has become an important tool for optimal economic dispatch and unit commitment of modern power systems with significant renewable energy penetrations,Exogenous inputs=21; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Pang2023,Neural network,P2,dispatch,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Liang20246508,Constraint-aware NN,P1,dispatch,,unassigned,31,Decisions / solution-related objects,28,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=31; Decisions / solution-related objects=28,no,yes
Goudarzi2017667,RBF / kernel,P1,dispatch,Objective values,high,15,Exogenous inputs,0,abstract/keywords,uadratic programming (miqp) to deal with non-convex behaviors of the test systems. a mean squared error (mse) objective function has been used to reduce the prediction errors during the training process to enhance the precision and reliability of the results. a radial basis fun,Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Guo202115024,Neural network,P1,dispatch,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Lu201991827,PCE / RSM,P5,dispatch,Probability distributions / chance-constraint terms,high,18,Exogenous inputs,0,abstract/keywords,"simplify the scenario-based optimization model; specifically, a finite-order expansion using the generalized polynomial chaos (gpc) theory was applied to approximate random variables as a more facile approach compared to using complicated optimization models. furthermore, a",Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=18; Decisions / solution-related objects=0,no,yes
Lin2023,GP / kriging,P2,dispatch,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Hu2020,GP / kriging,P5,dispatch,Probability distributions / chance-constraint terms,high,20,Exogenous inputs,0,title,uncertainty quantification in stochastic economic dispatch using gaussian process emulation,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=20; Decisions / solution-related objects=0,no,yes
Fu20202904,PCE / RSM,P5,opf,,unassigned,21,Probability distributions / chance-constraint terms,18,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=21; Probability distributions / chance-constraint terms=18; Decisions / solution-related objects=0,no,yes
