cite_key,primary_bucket,all_buckets,mandatory,year,title,venue,doi,cited_by_count,tier,focus,primary_topic,sources
Chaturvedi2024149,B06_neural_surrogates,B06_neural_surrogates;B22_microgrid_hub,1,2024,Reinforcement Learning-Based Integrated Control to Improve the Efficiency of DC Microgrids,IEEE Transactions on Smart Grid,10.1109/tsg.2023.3286801,41,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Lu20232989,B04_rbf_kernel,B04_rbf_kernel;B17_ed_uc;B22_microgrid_hub,1,2023,Distributed Online Dispatch for Microgrids Using Hierarchical Reinforcement Learning Embedded with Operation Knowledge,IEEE Transactions on Power Systems,10.1109/tpwrs.2021.3092220,41,A,,Smart Grid Energy Management,surrogate_esm_tier_a
Rodgers2018951,B19_capacity_expansion,B19_capacity_expansion,1,2018,Generation expansion planning considering health and societal damages – A simulation-based optimization approach,Energy,10.1016/j.energy.2018.09.004,41,A,,Electric Power System Optimization,surrogate_esm_tier_a
Liu20223726,B04_rbf_kernel,B04_rbf_kernel;B18_opf,1,2022,Explicit Data-Driven Small-Signal Stability Constrained Optimal Power Flow,IEEE Transactions on Power Systems,10.1109/tpwrs.2021.3135657,40,A,,Power System Optimization and Stability,surrogate_esm_tier_a
Chen2022,B06_neural_surrogates,B06_neural_surrogates;B09_decision_focused_l2o;B17_ed_uc,1,2022,Learning optimization proxies for large-scale Security-Constrained Economic Dispatch,Electric Power Systems Research,10.1016/j.epsr.2022.108566,39,A,,Smart Grid Energy Management,surrogate_esm_tier_a
Nikolaidis2021,B02_gp_kriging,B02_gp_kriging;B12_bayes_accel;B17_ed_uc,1,2021,Gaussian process-based Bayesian optimization for data-driven unit commitment,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2021.106930,39,A,,Electric Power System Optimization,surrogate_esm_tier_a
Dullinger20181646,B04_rbf_kernel,B04_rbf_kernel;B17_ed_uc,1,2018,A general approach for mixed-integer predictive control of HVAC systems using MILP,Applied Thermal Engineering,10.1016/j.applthermaleng.2017.09.104,39,A,,Advanced Control Systems Optimization,surrogate_esm_tier_a
Angizeh2023134995,B02_gp_kriging,B02_gp_kriging;B17_ed_uc,1,2023,Impact Assessment Framework for Grid Integration of Energy Storage Systems and Renewable Energy Sources Toward Clean Energy Transition,IEEE Access,10.1109/access.2023.3337133,38,A,,Smart Grid Energy Management,surrogate_esm_tier_a
Wu2021,B04_rbf_kernel,B04_rbf_kernel;B18_opf;B21_mes_sector_coupling,1,2021,Optimal bidding and scheduling of AA-CAES based energy hub considering cascaded consumption of heat,Energy,10.1016/j.energy.2021.121133,38,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Wu2021__2,B04_rbf_kernel,B04_rbf_kernel;B18_opf;B21_mes_sector_coupling,1,2021,Hybrid Improved Bird Swarm Algorithm with Extreme Learning Machine for Short-Term Power Prediction in Photovoltaic Power Generation System,Computational Intelligence and Neuroscience,10.1155/2021/6638436,38,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Wang2022812,B03_pce_response_surface,B03_pce_response_surface;B15_uncertainty;B17_ed_uc,1,2022,A Data-Driven Uncertainty Quantification Method for Stochastic Economic Dispatch,IEEE Transactions on Power Systems,10.1109/tpwrs.2021.3114083,37,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Kiani20253021,B02_gp_kriging,B02_gp_kriging;B15_uncertainty;B22_microgrid_hub,1,2025,Learning Robust Model Predictive Control for Voltage Control of Islanded Microgrid,IEEE Transactions on Automation Science and Engineering,10.1109/tase.2024.3388018,36,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Ren2024,B21_mes_sector_coupling,B21_mes_sector_coupling,1,2024,Data-driven surrogate optimization for deploying heterogeneous multi-energy storage to improve demand response performance at building cluster level,Applied Energy,10.1016/j.apenergy.2023.122312,36,A,,Building Energy and Comfort Optimization,surrogate_esm_tier_a
Kim2021,B02_gp_kriging,B02_gp_kriging;B15_uncertainty;B19_capacity_expansion,1,2021,Probabilistic modeling of wind energy potential for power grid expansion planning,Energy,10.1016/j.energy.2021.120831,36,A,,Wind Energy Research and Development,surrogate_esm_tier_a
Dong2022,B02_gp_kriging,B02_gp_kriging;B15_uncertainty;B24_stochastic_robust,1,2022,Optimization strategy based on robust model predictive control for RES-CCHP system under multiple uncertainties,Applied Energy,10.1016/j.apenergy.2022.119707,35,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Wu2024391,B05_tree_ensembles,B05_tree_ensembles;B06_neural_surrogates;B17_ed_uc,1,2024,Synergistic Integration of Machine Learning and Mathematical Optimization for Unit Commitment,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3240106,33,A,,Optimal Power Flow Distribution,surrogate_esm_tier_a
Hu2021671,B02_gp_kriging,B02_gp_kriging;B15_uncertainty;B17_ed_uc,1,2021,A Bayesian Approach for Estimating Uncertainty in Stochastic Economic Dispatch Considering Wind Power Penetration,IEEE Transactions on Sustainable Energy,10.1109/tste.2020.3015353,33,A,,Electric Power System Optimization,surrogate_esm_tier_a
Pan20244422,B03_pce_response_surface,B03_pce_response_surface;B15_uncertainty;B17_ed_uc,1,2024,Reliability-Constrained Economic Dispatch With Analytical Formulation of Operational Risk Evaluation,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3317973,32,A,,Electric Power System Optimization,surrogate_esm_tier_a
Shao201858,B02_gp_kriging,B02_gp_kriging;B04_rbf_kernel;B14_decomposition;B22_microgrid_hub,1,2018,Kriging Empirical Mode Decomposition via support vector machine learning technique for autonomous operation diagnosing of CHP in microgrid,Applied Thermal Engineering,10.1016/j.applthermaleng.2018.09.028,31,A,,Islanding Detection in Power Systems,surrogate_esm_tier_a
Wang2024,B21_mes_sector_coupling,B21_mes_sector_coupling;B23_moo_design,1,2024,Numerical assessment and optimization of photovoltaic-based hydrogen-oxygen Co-production energy system: A machine learning and multi-objective strategy,Renewable Energy,10.1016/j.renene.2024.120483,30,A,,Hybrid Renewable Energy Systems,moo_mes_focus;surrogate_esm_tier_a
Xu20223066,B06_neural_surrogates,B06_neural_surrogates;B09_decision_focused_l2o;B17_ed_uc,1,2022,E2DNet: An Ensembling Deep Neural Network for Solving Nonconvex Economic Dispatch in Smart Grid,IEEE Transactions on Industrial Informatics,10.1109/tii.2021.3105361,30,A,,Electric Power System Optimization,surrogate_esm_tier_a
Li20191438,B03_pce_response_surface,B03_pce_response_surface;B15_uncertainty;B17_ed_uc,1,2019,Compressive Sensing Based Stochastic Economic Dispatch with High Penetration Renewables,IEEE Transactions on Power Systems,10.1109/tpwrs.2018.2874718,30,A,,Probabilistic and Robust Engineering Design,surrogate_esm_tier_a
Roth2019214,B22_microgrid_hub,B22_microgrid_hub,1,2019,A flexible metamodel architecture for optimal design of Hybrid Renewable Energy Systems (HRES) – Case study of a stand-alone HRES for a factory in tropical island,Journal of Cleaner Production,10.1016/j.jclepro.2019.03.095,30,A,,Hybrid Renewable Energy Systems,surrogate_esm_tier_a
Kanwal2018117,B02_gp_kriging,B02_gp_kriging;B04_rbf_kernel;B17_ed_uc;B22_microgrid_hub,1,2018,Support vector machine and Gaussian process regression based modeling for photovoltaic power prediction,"Proceedings - 2018 International Conference on Frontiers of Information Technology, FIT 2018",10.1109/fit.2018.00028,30,A,,Solar Radiation and Photovoltaics,surrogate_esm_tier_a
Chen2023657,B07_constraint_aware,B07_constraint_aware;B15_uncertainty;B18_opf;B24_stochastic_robust,1,2023,Deep-Quantile-Regression-Based Surrogate Model for Joint Chance-Constrained Optimal Power Flow with Renewable Generation,IEEE Transactions on Sustainable Energy,10.1109/tste.2022.3223764,29,A,,Optimal Power Flow Distribution,surrogate_esm_tier_a
Koirala20242284,B03_pce_response_surface,B03_pce_response_surface;B07_constraint_aware;B15_uncertainty;B18_opf;B24_stochastic_robust,1,2024,Chance-Constrained Optimization Based PV Hosting Capacity Calculation Using General Polynomial Chaos,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3258550,28,A,,Probabilistic and Robust Engineering Design,surrogate_esm_tier_a
Jalving2023,B06_neural_surrogates,B06_neural_surrogates;B21_mes_sector_coupling,1,2023,Beyond price taker: Conceptual design and optimization of integrated energy systems using machine learning market surrogates,Applied Energy,10.1016/j.apenergy.2023.121767,28,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Li2023__2,B05_tree_ensembles,B05_tree_ensembles;B09_decision_focused_l2o;B14_decomposition;B18_opf,1,2023,Learning to Optimize Distributed Optimization: ADMM-based DC-OPF Case Study,IEEE Power and Energy Society General Meeting,10.1109/pesgm52003.2023.10253438,28,A,,Building Energy and Comfort Optimization,surrogate_esm_tier_a
Li2023__3,B05_tree_ensembles,B05_tree_ensembles;B22_microgrid_hub,1,2023,Physics-model-free heat-electricity energy management of multiple microgrids based on surrogate model-enabled multi-agent deep reinforcement learning,Applied Energy,10.1016/j.apenergy.2023.121359,28,A,,Building Energy and Comfort Optimization,surrogate_esm_tier_a
Xu20212696,B03_pce_response_surface,B03_pce_response_surface;B07_constraint_aware;B15_uncertainty;B18_opf;B24_stochastic_robust,1,2021,An Iterative Response-Surface-Based Approach for Chance-Constrained AC Optimal Power Flow Considering Dependent Uncertainty,IEEE Transactions on Smart Grid,10.1109/tsg.2021.3051088,28,A,,Probabilistic and Robust Engineering Design,surrogate_esm_tier_a
Muhlpfordt20174490,B03_pce_response_surface,B03_pce_response_surface;B18_opf,1,2017,Solving optimal power flow with non-Gaussian uncertainties via polynomial chaos expansion,"2017 IEEE 56th Annual Conference on Decision and Control, CDC 2017",10.1109/cdc.2017.8264321,28,A,,Probabilistic and Robust Engineering Design,surrogate_esm_tier_a
Rixhon2021,B03_pce_response_surface,B03_pce_response_surface;B21_mes_sector_coupling,1,2021,The role of electrofuels under uncertainties for the belgian energy transition,Energies,10.3390/en14134027,26,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Pérez-Uresti2023,B19_capacity_expansion,B19_capacity_expansion;B21_mes_sector_coupling,1,2023,Strategic investment planning for the hydrogen economy – A mixed integer non-linear framework for the development and capacity expansion of hydrogen supply chain networks,Computers and Chemical Engineering,10.1016/j.compchemeng.2023.108412,25,A,,Hybrid Renewable Energy Systems,surrogate_esm_tier_a
Yan2019625,B02_gp_kriging,B02_gp_kriging;B17_ed_uc,1,2019,Analytical Iterative Multistep Interval Forecasts of Wind Generation Based on TLGP,IEEE Transactions on Sustainable Energy,10.1109/tste.2018.2841938,25,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Wang2020202933,B03_pce_response_surface,B03_pce_response_surface;B21_mes_sector_coupling,1,2020,Optimal Scheduling for Integrated Energy System Considering Scheduling Elasticity of Electric and Thermal Loads,IEEE Access,10.1109/access.2020.3035585,23,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Zhang20234075,B02_gp_kriging,B02_gp_kriging;B22_microgrid_hub;B23_moo_design,1,2023,Surrogated-assisted multimodal multi-objective optimization for hybrid renewable energy system,Complex and Intelligent Systems,10.1007/s40747-022-00943-y,22,A,,Hybrid Renewable Energy Systems,surrogate_esm_tier_a
Mahapatra2022721,B04_rbf_kernel,B04_rbf_kernel;B06_neural_surrogates;B18_opf,1,2022,Constrained optimal power flow and optimal TCSC allocation using hybrid cuckoo search and ant lion optimizer,International Journal of System Assurance Engineering and Management,10.1007/s13198-021-01334-1,22,A,,Power System Optimization and Stability,surrogate_esm_tier_a
Mahapatra20161921,B04_rbf_kernel,B04_rbf_kernel;B06_neural_surrogates;B18_opf,1,2016,Hybrid technique for optimal location and cost sizing of thyristor controlled series compensator to upgrade voltage stability,"IET Generation, Transmission and Distribution",10.1049/iet-gtd.2015.1211,22,A,,Power System Optimization and Stability,surrogate_esm_tier_a
Han2024,B02_gp_kriging,B02_gp_kriging;B15_uncertainty;B22_microgrid_hub;B24_stochastic_robust,1,2024,Hierarchical robust Day-Ahead VPP and DSO coordination based on local market to enhance distribution network voltage stability,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2024.110076,20,A,,Smart Grid Energy Management,surrogate_esm_tier_a
Li202359995,B06_neural_surrogates,B06_neural_surrogates;B07_constraint_aware;B09_decision_focused_l2o;B18_opf,1,2023,Learning to Solve Optimization Problems With Hard Linear Constraints,IEEE Access,10.1109/access.2023.3285199,20,A,,Advanced Neural Network Applications,surrogate_esm_tier_a
Pang2023,B06_neural_surrogates,B06_neural_surrogates;B12_bayes_accel;B17_ed_uc,1,2023,A Surrogate-Assisted Adaptive Bat Algorithm for Large-Scale Economic Dispatch,Energies,10.3390/en16021011,20,A,,Electric Power System Optimization,surrogate_esm_tier_a
Kaewdornhan2022130373,B06_neural_surrogates,B06_neural_surrogates;B12_bayes_accel;B22_microgrid_hub,1,2022,Electric Distribution Network with Multi-Microgrids Management Using Surrogate-Assisted Deep Reinforcement Learning Optimization,IEEE Access,10.1109/access.2022.3229127,20,A,,Smart Grid Energy Management,surrogate_esm_tier_a
Liang20246508,B07_constraint_aware,B07_constraint_aware;B15_uncertainty;B17_ed_uc;B24_stochastic_robust,1,2024,Joint Chance-Constrained Unit Commitment: Statistically Feasible Robust Optimization With Learning-to-Optimize Acceleration,IEEE Transactions on Power Systems,10.1109/tpwrs.2024.3351435,19,A,,Electric Power System Optimization,surrogate_esm_tier_a
Goudarzi2017667,B04_rbf_kernel,B04_rbf_kernel;B06_neural_surrogates;B07_constraint_aware;B17_ed_uc,1,2017,Smart real-time scheduling of generating units in an electricity market considering environmental aspects and physical constraints of generators,Applied Energy,10.1016/j.apenergy.2016.12.068,18,A,,Electric Power System Optimization,surrogate_esm_tier_a
Hirvonen2017323,B06_neural_surrogates,B06_neural_surrogates;B20_district_heating,1,2017,Neural network metamodelling in multi-objective optimization of a high latitude solar community,Solar Energy,10.1016/j.solener.2017.06.040,18,A,,Building Energy and Comfort Optimization,surrogate_esm_tier_a
Lawson201647,B15_uncertainty,B15_uncertainty,1,2016,Bayesian framework for power network planning under uncertainty,"Sustainable Energy, Grids and Networks",10.1016/j.segan.2016.05.003,18,A,,Electric Power System Optimization,surrogate_esm_tier_a
Zhang2024821,B02_gp_kriging,B02_gp_kriging;B15_uncertainty;B24_stochastic_robust,1,2024,Tractable Data Enriched Distributionally Robust Chance-Constrained Conservation Voltage Reduction,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3244895,17,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Zhang20203731,B04_rbf_kernel,B04_rbf_kernel;B06_neural_surrogates;B22_microgrid_hub;B24_stochastic_robust,1,2020,Two-Stage Optimal Operation Strategy of Isolated Microgrid with TSK Fuzzy Identification of Supply Security,IEEE Transactions on Industrial Informatics,10.1109/tii.2019.2929747,17,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Hussien202415075,B03_pce_response_surface,B03_pce_response_surface;B22_microgrid_hub;B23_moo_design,1,2024,Hybrid Transient Search Algorithm With Levy Flight for Optimal PI Controllers of Islanded Microgrids,IEEE Access,10.1109/access.2024.3357741,16,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Sánchez-Zabala2024,B04_rbf_kernel,B04_rbf_kernel;B05_tree_ensembles;B20_district_heating,1,2024,Building energy performance metamodels for district energy management optimisation platforms,Energy Conversion and Management: X,10.1016/j.ecmx.2023.100512,16,A,,Building Energy and Comfort Optimization,surrogate_esm_tier_a
Van Acker2022,B03_pce_response_surface,B03_pce_response_surface;B07_constraint_aware;B18_opf,1,2022,General polynomial chaos in the current–voltage formulation of the optimal power flow problem,Electric Power Systems Research,10.1016/j.epsr.2022.108472,16,A,,Probabilistic and Robust Engineering Design,surrogate_esm_tier_a
Hussien202190577,B03_pce_response_surface,B03_pce_response_surface;B22_microgrid_hub;B23_moo_design,1,2021,LMSRE-based adaptive pi controller for enhancing the performance of an autonomous operation of microgrids,IEEE Access,10.1109/access.2021.3091496,16,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Engelmann20186188,B03_pce_response_surface,B03_pce_response_surface;B15_uncertainty;B18_opf,1,2018,Distributed Stochastic AC Optimal Power Flow based on Polynomial Chaos Expansion,Proceedings of the American Control Conference,10.23919/acc.2018.8431090,15,A,,Optimal Power Flow Distribution,surrogate_esm_tier_a
Dong2024,B21_mes_sector_coupling,B21_mes_sector_coupling;B23_moo_design,1,2024,Design and optimal scheduling of forecasting-based campus multi-energy complementary energy system,Energy,10.1016/j.energy.2024.133088,14,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Pourmohammadi2023,B03_pce_response_surface,B03_pce_response_surface;B15_uncertainty;B22_microgrid_hub;B24_stochastic_robust,1,2023,Robust metamodel-based simulation-optimization approaches for designing hybrid renewable energy systems,Applied Energy,10.1016/j.apenergy.2023.121132,14,A,,Advanced Multi-Objective Optimization Algorithms,surrogate_esm_tier_a
Mitrovic2023__2,B02_gp_kriging,B02_gp_kriging;B07_constraint_aware;B15_uncertainty;B18_opf;B24_stochastic_robust,1,2023,Fast Data-Driven Chance Constrained AC-OPF Using Hybrid Sparse Gaussian Processes,"2023 IEEE Belgrade PowerTech, PowerTech 2023",10.1109/powertech55446.2023.10202724,13,A,,Electric Power System Optimization,surrogate_esm_tier_a
Mitrovic2023__3,B02_gp_kriging,B02_gp_kriging;B07_constraint_aware;B15_uncertainty;B18_opf;B24_stochastic_robust,1,2023,GP CC-OPF: Gaussian Process based optimization tool for Chance-Constrained Optimal Power Flow[Formula presented],Software Impacts,10.1016/j.simpa.2023.100489,13,A,,Electric Power System Optimization,surrogate_esm_tier_a
Lu201991827,B03_pce_response_surface,B03_pce_response_surface;B15_uncertainty;B17_ed_uc;B24_stochastic_robust,1,2019,Stochastic Optimization of Economic Dispatch with Wind and Photovoltaic Energy Using the Nested Sparse Grid-Based Stochastic Collocation Method,IEEE Access,10.1109/access.2019.2927023,13,A,,Electric Power System Optimization,surrogate_esm_tier_a
Liu20242534,B06_neural_surrogates,B06_neural_surrogates;B17_ed_uc;B18_opf;B22_microgrid_hub,1,2024,More Efficient Energy Management for Hybrid AC/DC Microgrids with Hard Constrained Neural Network-Based Conversion Loss Surrogate Models,IEEE Transactions on Smart Grid,10.1109/tsg.2023.3342101,12,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Franzoso2025,B06_neural_surrogates,B06_neural_surrogates;B09_decision_focused_l2o;B21_mes_sector_coupling,1,2025,Deep reinforcement learning as a tool for the analysis and optimization of energy flows in multi-energy systems,Energy Conversion and Management,10.1016/j.enconman.2025.120095,11,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Lei20247417,B07_constraint_aware,B07_constraint_aware;B15_uncertainty;B18_opf;B24_stochastic_robust,1,2024,Surrogate Formulation for Chance-Constrained DC Optimal Power Flow With Affine Control Policy,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3304136,10,A,,Electric Power System Optimization,surrogate_esm_tier_a
