cite_key,dimension,label,confidence,evidence_source,page,evidence_snippet,evidence_weight,adjudication
Hu2020,pattern,P5 uncertainty,high,abstract and PDF,1,We propose a Gaussian-process-emulator-based approach to quantify the uncertainty in the stochastic economic dispatch considering wind power penetration.,manual,manual
Hu2020,target,Probability distributions / chance-constraint terms,high,title,,Uncertainty quantification in stochastic economic dispatch using Gaussian process emulation,5,automatic
Li2023,family,Tree ensembles,high,abstract,,"SE) (coefficient variation of root mean square error) values are below 0.06 for both heating and cooling energy prediction. The ensemble machine learning models, including Cubist, gradient boosting machine, and stacking, are recommended to create the meta-models for hourly building energy analysis. The distributed lag models combined with these ensemble models can be used to utilize the time-series features of hourly building energy assessment. The meth",9,automatic
Li2023,trust,Predictive-error based,high,abstract,,"s meta-models constructed using this new method have very high accuracy with a moderate computational cost. For the best models, the R<sup>2</sup> values are above 0.99 and the CV(RMSE) (coefficient variation of root mean square error) values are below 0.06 for both heating and cooling energy prediction. The ensemble machine learning models, including Cubist, gradient boosting machine, and stacking, are recommended to create the meta-models",7,automatic
Li2023,validation,Point metrics,high,abstract,,"s meta-models constructed using this new method have very high accuracy with a moderate computational cost. For the best models, the R<sup>2</sup> values are above 0.99 and the CV(RMSE) (coefficient variation of root mean square error) values are below 0.06 for both heating and cooling energy prediction. The ensemble machine learning models, including Cubist, gradient boosting machine, and stacking, are recommended to create the meta-models",7,automatic
Liang20246508,data_source,Historical data,high,pdf,7,"5, SEPTEMBER 2024 B. Statistically Feasible Robust UC The major hurdle in solving the statistically feasible robust UC is constructing a non-conservative uncertainty set based on historical data. The desirable uncertainty set should satisfy constraints (8a)–(8c) to meet the stability requirement with the lowest system costs. This motivates us to construct an uncer- tainty set in two phases. In the subsequent analysis, we only constructUr Dξw because",8,automatic
Liang20246508,family,Tree ensembles,high,pdf,9,"output pairs (X,Y).X represents all inputs, i.e.,X = {din i ,win i ,∀i}. The output ground truth set is Y = {ui,∀i}. Then, {din i ,win i ;ui} forms an input-output pair. We employ LightGBM, a powerful gradient boosting frame- work [50], to train a unit status identiﬁer Fidentify i for each subgroup i ∈S. After training, each incoming sample should ﬁrst be predicted by clustering model Fcluster and obtain its in- dicesi∗of subgroups. Then, the c",9,automatic
Liang20246508,pattern,P3 solution proxy,high,title,,Joint Chance-Constrained Unit Commitment: Statistically Feasible Robust Optimization With Learning-to-Optimize Acceleration,10,automatic
Liang20246508,target,Decisions / solution-related objects,high,title,,Joint Chance-Constrained Unit Commitment: Statistically Feasible Robust Optimization With Learning-to-Optimize Acceleration,7,automatic
Liang20246508,target,Objective values,high,pdf,6,"ustness. Any solution from our technique meets constraints with the speciﬁed conﬁ- dence level. IV . SOLUTION METHODOLOGY In this section, we employ a sample-oriented technique to approximate the objective function. Then, we develop an uncer- tainty set construction method and mitigate RO’s conservative- ness by reconstructing it using the form of constraints. A. Objective Function Approximation The curtailment costs J(Mt) bring uncertainty to the objec- tive f",6,automatic
Liang20246508,target,Probability distributions / chance-constraint terms,high,title,,Joint Chance-Constrained Unit Commitment: Statistically Feasible Robust Optimization With Learning-to-Optimize Acceleration,4,automatic
Liang20246508,trust,Decision-oriented,high,title,,Joint Chance-Constrained Unit Commitment: Statistically Feasible Robust Optimization With Learning-to-Optimize Acceleration,10,automatic
Liang20246508,validation,Decision-aware,high,pdf,10,"system costs and maximum constraint violation rate. Speciﬁcally, we evaluate the average additional costs com- pared to the perfect approach (in percentage) and term this gap the regret percentage (REP) [5]. The smaller the gap, the less the extra cost of the method to handle the uncertainty. C. Evaluation on 39-Bus System We ﬁrst consider the 39-bus system, in which the maximum wind power output is 50% of total conventional generation capac",10,automatic
Liang20246508,validation,Feasibility,high,pdf,10,"tion (DO) : We utilize the actual demand to conduct DO as the perfect approach. To evaluate the performance of different methods, we focus on two metrics: system costs and maximum constraint violation rate. Speciﬁcally, we evaluate the average additional costs com- pared to the perfect approach (in percentage) and term this gap the regret percentage (REP) [5]. The smaller the gap, the less the extra cost of the method to handle the uncertainty. C. Evaluati",8,automatic
Liang2024__2,data_source,Historical data,high,pdf,3,"d to solve CEUCPs. An enhanced data-driven surrogate model based on ELM is proposed as a replacement for the original cost function in CEUCPs. ELM surrogate model is trained using historical data pertaining to unit status (comprising 0/1 inte- ger variables) and dispatching decisions (continuous variables). To enhance the accuracy of surrogate model, shape distance is incorporated into the original ELM as an additional conver- gence criterion. Accurat",8,automatic
Liang2024__2,family,Tree ensembles,high,pdf,2,"ed. Fur- thermore, the time-consuming objective functions were not approxi- mated by data-driven method. In [12], a data-model-driven method was proposed to solve stochastic UCPs. Gradient boosting model and deep network were employed for fitting the minimum cost. Then, model-based inverse optimization algorithm was employed for deter- mining unit on/off status and dispatching decisions. The innovation of this study was to decouple economic dispatching",9,automatic
Liang2024__2,target,Decisions / solution-related objects,high,pdf,2,"tic UCPs. Gradient boosting model and deep network were employed for fitting the minimum cost. Then, model-based inverse optimization algorithm was employed for deter- mining unit on/off status and dispatching decisions. The innovation of this study was to decouple economic dispatching from unit commitment problems while maintaining the accuracy of the solution. However, the method was systematically demonstrated on a simplified single- node system,",7,automatic
Liang2024__2,target,Objective values,high,pdf,10,"9], QEA (quantum-inspired evolutionary algorithm) [50], hGADE (a hybrid of genetic algorithm and differential evolution) [51], and BGWO (binary grey wolf optimizer) [49], the best total cost is reduced by 0.27%, 0.50%, 0.18%, 0.17%, 0.17%, and 0.18%, re- spectively. The results demonstrate the excellent convergence of the proposed algorithm. Moreover, the on/off status can be rapidly acquired using a convo- lutional neural network (actor network",4,automatic
Liu20223726,family,RBF / kernel,high,abstract,,"educe the learning difficulty for small-signal stability boundaries, an efficient sample generation strategy is proposed with sampling space compression. This allows us to use the support vector machine (SVM) with a kernel function to derive the explicit data-driven surrogate constraint for small-signal stability. Penalty factor optimization is proposed to compensate for the error caused by SVM. The learned small-signal stability constraint is embedded into",8,automatic
Liu20223726,target,Physical states or constraints,high,abstract,,e explicit data-driven surrogate constraint for small-signal stability. Penalty factor optimization is proposed to compensate for the error caused by SVM. The learned small-signal stability constraint is embedded into the OPF model for generator control. An examination strategy is also developed to avoid the small-signal instability of re-dispatch caused by the error of the data-driven surrogate model. Comparison results with other model-based and data-dri,5,automatic
Perera2019191,doe_strategy,Transfer learning,high,abstract,,This study evaluates the potential of supervised and transfer learning techniques to assist energy system optimization. A surrogate model is developed with the support of a supervised learning technique (by using artificial neural network) in order to bypass computationally intensive Actual Engineering Model (AEM). Eight differe,8,automatic
Perera2019191,family,Neural network,high,abstract,,"l of supervised and transfer learning techniques to assist energy system optimization. A surrogate model is developed with the support of a supervised learning technique (by using artificial neural network) in order to bypass computationally intensive Actual Engineering Model (AEM). Eight different neural network architectures are considered in the process of developing the surrogate model. Subsequently, a hybrid optimization algorithm (HOA) is developed combin",8,automatic
Perera2019191,validation,Point metrics,high,pdf,1,"f Energy and Process Engineering, ETH Zurich, Zurich 8092, Switzerland HIGHLIGHTS • We present methods for building, validating, and using BBNs as surrogate models. • With average relative error below 2 %, the BBN model is an adequate model surrogate. • Benefits: interactive analysis, intuitive uncertainty propagation, goal-driven analysis. ARTICLE INFO Keywords: Bayesian networks Energy systems models Surrogate models Uncertainty propagation and ana",7,automatic
Perera2019191,validation,Problem UQ,high,pdf,1,"validating, and using BBNs as surrogate models. • With average relative error below 2 %, the BBN model is an adequate model surrogate. • Benefits: interactive analysis, intuitive uncertainty propagation, goal-driven analysis. ARTICLE INFO Keywords: Bayesian networks Energy systems models Surrogate models Uncertainty propagation and analysis ABSTRACT This work investigates data-based discrete Bayesian Belief Networks (BBNs) as surrogate energy system models",8,automatic
Rodgers2018951,doe_strategy,Active learning,high,pdf,3,"ng this as a surrogate function for health damages, GEP model is solved. To ensure the prediction accuracy of the metamodel, and conse- quently yield better GEP model outputs, the expected improvement of the metamodel is evaluated to determine when to terminate the algorithm or to execute additional GEP simulations to enhance the metamodel. Fig. 1. Simulation-Based Optimization Flow Chart [ 35]. /C15 Demand; /C15 Peak demand; /C15 Reserve margin; /C15 Mini",7,automatic
Rodgers2018951,family,GP / kriging,high,pdf,3,"hus, since CO- BRA approximates changes in PM 2.5 concentrations as part of the approximation of health damages, we do not explicitly consider this pollutant in our model. Using a kriging metamodel, a closed-form function that relates changes in dispatching decisions from GEP model outputs to health damages from NOX and SO2 emissions is developed. Using this as a surrogate function for health damages, GEP model is solved. To ensure the predict",9,automatic
Rodgers2018951,pattern,P2 acceleration,high,pdf,11,"costs. This procedure is summarized in Fig. 1, and described in detail in Section 2 of this paper. With each iteration, the objective func- tion behaves erratically; however, the expected improvement value ultimately decreases to zero. As depicted in Fig. 7, the procedure is terminated after 22 full iterations, as the expected improvement value decreases and eventually reaches zero. 3.1. Discussion Using the methodology presented in Section 2 of this pape",8,automatic
Rodgers2018951,target,Objective values,high,abstract,,"with a screening tool that quantifies the human health damages from the electricity sector. Using this as a surrogate function for health damages, these costs are included in the objective function of a generation expansion planning model, in addition to market costs and the social damages of carbon emissions and methane leakage to minimize societal damages. Applying an improvement algorithm, candidate data points are selected to enhance metamodel predi",5,automatic
Rodgers2018951,trust,Posterior uncertainty,high,pdf,11,"costs. This procedure is summarized in Fig. 1, and described in detail in Section 2 of this paper. With each iteration, the objective func- tion behaves erratically; however, the expected improvement value ultimately decreases to zero. As depicted in Fig. 7, the procedure is terminated after 22 full iterations, as the expected improvement value decreases and eventually reaches zero. 3.1. Discussion Using the methodology presented in Section 2 of this pape",8,automatic
Roth2019214,target,Objective values,high,abstract,,"ots design of Hybrid Renewable Energy System (HRES). The metamodel enables one to build optimization problem formulated as a Mixed Integer Linear Problem (MILP) with a tailor-made objective function to find the optimal size of HRES. The flexibility of the metamodel lies in its ability to handle many hybrid system configurations for three common types of usages of HRES, either for onsite demand, remote demand or a combination. It is demonstrated with two",5,automatic
Wang2020202933,data_source,Historical data,high,pdf,2,"he computation time. The study in [31] applied a support vector machine model to the wind power forecast- ing to discover natural variation structures of wind energy hidden in the historical data. However, the above metamodels have the disadvantage of low ﬁtting accuracy in solving low dimensional optimization problems, which can affect the solution accuracy of the algorithm. In comparison, the PRS metamodel has a higher ﬁtting speed and accuracy [32]",8,automatic
Wang2020202933,family,PCE / RSM,high,abstract,,"power and the power transmission between multi-energies. To solve the problems of the complex solving process and long computation time, a global optimization algorithm based on a polynomial response surface (PRS) metamodel is proposed in this article. The proposed algorithm adopts a response surface method to fit the optimization model and construct a PRS metamodel to estimate the function values instead of the optimization model, thereby avoiding repeatedly cal",8,automatic
Wang2020202933,pattern,P1 replacement,high,abstract and PDF,1,"The PRS metamodel estimates function values instead of the optimization model, avoiding repeated calls to the original complex objective function.",manual,manual
Wang2020202933,target,Objective values,high,abstract,,"it the optimization model and construct a PRS metamodel to estimate the function values instead of the optimization model, thereby avoiding repeatedly calling the original complex objective function and reducing the computation time. The test results verify the effectiveness of the proposed model and algorithm. © 2013 IEEE.",5,automatic
Wang2024,validation,Point metrics,high,pdf,7,"paper, and the actual model in this paper is different from the literature mentioned above. The model validation results are shown in Fig. 6 . The results demonstrate that the maximum error between the calculation results and the results in the literature is 2.2 % for the PV model, and the maximum error between the calculation results and the results in the literature is not more than 1 % for the PEM electrolyzer model, which proves the ac -",7,automatic
Xiao2018,doe_strategy,Active learning,high,pdf,6,"od that reﬂects the overall distribution of random variables, ensuring that all sampling regions can be covered by the sampling points [32], is used in this work for DGs and loads uncertainty sampling to generate different probability scenarios, the detailed sampling method is as follows: (1) For any random variable xi, the probability of the vertical axis of the cumulative probability distribution curve Fxi = fi(xi) of xi is divided into N intervals, and",7,automatic
Xiao2018,doe_strategy,Latin hypercube sampling,high,pdf,6,"ario reduction. Considering the multidimensional, random variation of DGs and loads, the multidimensional sampling theory is needed for multidimensional hierarchical sampling. The Latin hypercube sampling (LHS) method, an effective multidimensional hierarchical sampling method that reﬂects the overall distribution of random variables, ensuring that all sampling regions can be covered by the sampling points [32], is used in this work for DGs and loads uncertain",8,automatic
Xiao2018,target,Probability distributions / chance-constraint terms,high,pdf,4,"n of the ADN, these uncertainties need to be captured and model properly. In this work, power generation from renewable energy sources and network load demands are estimated using probability distribution models to capture the variation trends of load ﬂuctuation, solar radiation and wind speed. The method of probability-based scenarios is used to represent the uncertainties of DGs and loads. 2.1. Wind Power Wind speed prediction is the key to the operational s",6,automatic
abbas_optimal_2024,validation,Feasibility,high,pdf,12,"tical performance of the proposed framework based on HVI compared to the recently developed MOEAs (NSGAII [ 36], CAEAD [ 61], CCMO [ 62], ToP [ 63], CMOEA-MS [64], cDPEA [65]). No constraint violations were observed during the simulations of the case studies. Simulation ﬁndings in Table 4 show that the proposed approach outper- forms or is approximately similar to the existing algorithms based on best and worst HVI values in most cases. Table 4 shows that t",8,automatic
