cite_key,year,title,primary_bucket,has_pdf,extracted_pages,has_abstract,family,target,trust,data_source,doe_strategy,pattern,validation,workflow_context,complete_alluvial,complete_model_target_trust,complete_doe_pair
Hirvonen2017323,2017,Neural network metamodelling in multi-objective optimization of a high latitude solar community,B06_neural_surrogates,yes,12,yes,Neural network,,Predictive-error based,Synthetic data,Adaptive sampling,P5 uncertainty,Point metrics,Simulation-driven workflow,yes,no,yes
Jia2022553,2022,Developing machine-learning meta-models for high-rise residential district cooling in hot and humid climate,B04_rbf_kernel,no,0,yes,RBF / kernel,,,,,,,Not explicitly identified,no,no,no
Xiao2018,2018,Application and comparison of metaheuristic and new metamodel based global optimization methods to the optimal operation of active distribution networks,B01_cornerstone_reviews,yes,29,yes,,Probability distributions / chance-constraint terms,,Synthetic data,Active learning; Latin hypercube sampling,,Problem UQ,Simulation-driven workflow,no,no,yes
Li2023,2023,A novel method of creating machine learning-based time series meta-models for building energy analysis,B05_tree_ensembles,yes,22,yes,Tree ensembles,,Predictive-error based,Synthetic data,Latin hypercube sampling,P1 replacement,Point metrics,Simulation-driven workflow,yes,no,yes
Wang2020202933,2020,Optimal Scheduling for Integrated Energy System Considering Scheduling Elasticity of Electric and Thermal Loads,B03_pce_response_surface,yes,11,yes,PCE / RSM,Objective values,,Historical data,Latin hypercube sampling,P1 replacement,Decision-aware,Historical-data-driven workflow,yes,no,yes
Hasanien2018168,2018,Performance improvement of photovoltaic power systems using an optimal control strategy based on whale optimization algorithm,B03_pce_response_surface,yes,9,yes,PCE / RSM,Objective values,,,Factorial / response-surface design,P2 acceleration,,Not explicitly identified,no,no,no
Sami20181416,2018,Thermal properties optimization of microencapsulated a renewable and non-toxic phase change material with a polystyrene shell for thermal energy storage systems,B03_pce_response_surface,yes,8,yes,PCE / RSM,,Predictive-error based,,Factorial / response-surface design,P1 replacement,Point metrics,Not explicitly identified,yes,no,no
Ahmad202451,2024,"Parametric analysis of wastewater electrolysis for green hydrogen production: A combined RSM, genetic algorithm, and particle swarm optimization approach",B03_pce_response_surface,yes,11,yes,PCE / RSM,,Predictive-error based,,Factorial / response-surface design,P1 replacement,Point metrics,Not explicitly identified,yes,no,no
Xu20212696,2021,An Iterative Response-Surface-Based Approach for Chance-Constrained AC Optimal Power Flow Considering Dependent Uncertainty,B03_pce_response_surface,yes,10,yes,PCE / RSM,Objective values; Probability distributions / chance-constraint terms,,Synthetic data,Quasi-Monte Carlo / sparse-grid collocation,P5 uncertainty,Interval calibration,Simulation-driven workflow,yes,no,yes
Zulfiqar20211026,2021,Lipase-PDA-TiO2 NPs: An emphatic nano-biocatalyst for optimized biodiesel production from Jatropha curcas oil,B03_pce_response_surface,no,0,yes,PCE / RSM,,,,Factorial / response-surface design,,,Not explicitly identified,no,no,no
Hu2020,2020,Uncertainty quantification in stochastic economic dispatch using Gaussian process emulation,B02_gp_kriging,yes,5,yes,GP / kriging,Probability distributions / chance-constraint terms,,Synthetic data,Latin hypercube sampling,P5 uncertainty,Problem UQ,Simulation-driven workflow,yes,no,yes
Volodina2022,2022,Propagating uncertainty in a network of energy models,B02_gp_kriging,yes,6,yes,GP / kriging,,,,,P5 uncertainty,Problem UQ,Not explicitly identified,no,no,no
Lawson201647,2016,Bayesian framework for power network planning under uncertainty,B15_uncertainty,yes,10,yes,GP / kriging,,,,Latin hypercube sampling,P5 uncertainty,,Not explicitly identified,no,no,no
Guo20222057,2022,Training Deep Neural Network for Optimal Power Allocation in Islanded Microgrid Systems: A Distributed Learning-Based Approach,B06_neural_surrogates,yes,11,yes,Neural network,Decisions / solution-related objects,Decision-oriented; Predictive-error based,,,P3 solution proxy,Point metrics,Not explicitly identified,no,yes,no
Li202359995,2023,Learning to Solve Optimization Problems With Hard Linear Constraints,B06_neural_surrogates,yes,8,yes,Neural network,Decisions / solution-related objects; Objective values; Physical states or constraints,Decision-oriented; Predictive-error based,,Transfer learning,P3 solution proxy,Decision-aware; Point metrics,Not explicitly identified,yes,yes,no
Deng2020831,2020,Kriging Assisted Surrogate Evolutionary Computation to Solve Optimal Power Flow Problems,B02_gp_kriging,yes,8,yes,GP / kriging,Physical states or constraints,Predictive-error based,,Active learning,P2 acceleration,Point metrics,Not explicitly identified,yes,yes,no
Nikolaidis2021,2021,Gaussian process-based Bayesian optimization for data-driven unit commitment,B02_gp_kriging,yes,12,yes,GP / kriging,,Posterior uncertainty,Historical data,Active learning,P2 acceleration,Decision-aware,Historical-data-driven workflow,yes,no,yes
Li2021,2021,Optimization for liquid cooling cylindrical battery thermal management system based on gaussian process model,B02_gp_kriging,no,0,yes,GP / kriging,,,,,,,Not explicitly identified,no,no,no
Muhlpfordt20194806,2019,Chance-Constrained AC Optimal Power Flow: A Polynomial Chaos Approach,B03_pce_response_surface,yes,11,yes,PCE / RSM,Physical states or constraints; Probability distributions / chance-constraint terms,,Historical data,,P5 uncertainty,Feasibility,Historical-data-driven workflow,yes,no,no
Safta20172535,2017,Efficient Uncertainty Quantification in Stochastic Economic Dispatch,B03_pce_response_surface,yes,11,yes,PCE / RSM,Probability distributions / chance-constraint terms,Predictive-error based,Historical data,Quasi-Monte Carlo / sparse-grid collocation,P5 uncertainty,Point metrics; Problem UQ,Historical-data-driven workflow,yes,yes,yes
Koirala20242284,2024,Chance-Constrained Optimization Based PV Hosting Capacity Calculation Using General Polynomial Chaos,B03_pce_response_surface,yes,10,yes,PCE / RSM,Exogenous inputs; Physical states or constraints; Probability distributions / chance-constraint terms,,Historical data,Quasi-Monte Carlo / sparse-grid collocation,P5 uncertainty,,Historical-data-driven workflow,no,no,yes
Liang20246508,2024,Joint Chance-Constrained Unit Commitment: Statistically Feasible Robust Optimization With Learning-to-Optimize Acceleration,B07_constraint_aware,yes,14,yes,Tree ensembles,Decisions / solution-related objects; Objective values; Probability distributions / chance-constraint terms,Decision-oriented,Historical data,,P3 solution proxy,Decision-aware; Feasibility,Historical-data-driven workflow,yes,yes,no
Lu20232989,2023,Distributed Online Dispatch for Microgrids Using Hierarchical Reinforcement Learning Embedded with Operation Knowledge,B04_rbf_kernel,yes,13,yes,RBF / kernel,,,Historical data,,,,Historical-data-driven workflow,no,no,no
Wang20211767,2021,Stochastic Optimization for Residential Demand Response with Unit Commitment and Time of Use,B04_rbf_kernel,yes,10,yes,RBF / kernel,Objective values,,,,,,Not explicitly identified,no,no,no
Pang2023,2023,A Surrogate-Assisted Adaptive Bat Algorithm for Large-Scale Economic Dispatch,B06_neural_surrogates,yes,20,yes,Neural network,Objective values,,,,P1 replacement; P2 acceleration,,Not explicitly identified,no,no,no
Chen2023657,2023,Deep-Quantile-Regression-Based Surrogate Model for Joint Chance-Constrained Optimal Power Flow with Renewable Generation,B07_constraint_aware,yes,16,yes,GP / kriging; Tree ensembles,Physical states or constraints; Probability distributions / chance-constraint terms,Predictive-error based,Historical data,,P5 uncertainty,Feasibility; Point metrics,Historical-data-driven workflow,yes,yes,no
Srithapon202134395,2021,Surrogate-Assisted Multi-Objective Probabilistic Optimal Power Flow for Distribution Network with Photovoltaic Generation and Electric Vehicles,B06_neural_surrogates,yes,20,yes,PCE / RSM,Objective values; Physical states or constraints; Probability distributions / chance-constraint terms,Predictive-error based,Historical data,Latin hypercube sampling,P2 acceleration,Point metrics; Problem UQ,Historical-data-driven workflow,yes,yes,yes
Urgun20202791,2020,Importance Sampling Using Multilabel Radial Basis Classification for Composite Power System Reliability Evaluation,B04_rbf_kernel,yes,8,yes,RBF / kernel,Physical states or constraints,Predictive-error based,Synthetic data,Latin hypercube sampling,P5 uncertainty,Point metrics,Simulation-driven workflow,yes,yes,yes
Rodgers2018951,2018,Generation expansion planning considering health and societal damages – A simulation-based optimization approach,B19_capacity_expansion,yes,13,yes,GP / kriging,Objective values,Posterior uncertainty,Synthetic data,Active learning,P2 acceleration,,Simulation-driven workflow,no,yes,yes
Jahangiri20244849,2024,A machine learning approach to analysis of Canadian provincial power system decarbonization,B19_capacity_expansion,yes,13,yes,Neural network,Objective values,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,yes,no
Jahangiri2023,2023,A Deep Learning Approach for Exploring the Design Space for the Decarbonization of the Canadian Electricity System,B06_neural_surrogates,yes,19,yes,Neural network,Objective values,Predictive-error based,,,,Point metrics,Not explicitly identified,no,yes,no
Amaral20251156,2025,Adaptive metamodeling-based simulation optimisation,B19_capacity_expansion,no,0,yes,,,,,Factorial / response-surface design,P2 acceleration,,Not explicitly identified,no,no,no
Fu20202904,2020,Statistical Machine Learning Model for Stochastic Optimal Planning of Distribution Networks Considering a Dynamic Correlation and Dimension Reduction,B03_pce_response_surface,yes,14,yes,PCE / RSM,Physical states or constraints; Probability distributions / chance-constraint terms,,,Latin hypercube sampling,P5 uncertainty,Problem UQ,Not explicitly identified,yes,no,no
Fu2022,2022,Statistical machine learning model for capacitor planning considering uncertainties in photovoltaic power,B03_pce_response_surface,yes,13,yes,,Physical states or constraints; Probability distributions / chance-constraint terms,,Synthetic data,Latin hypercube sampling,,,Simulation-driven workflow,no,no,yes
Koschwitz2018134,2018,Data-driven heating and cooling load predictions for non-residential buildings based on support vector machine regression and NARX Recurrent Neural Network: A comparative study on district scale,B01_cornerstone_reviews,yes,9,yes,Neural network; RBF / kernel,Exogenous inputs,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,yes,no
Zhou2024,2024,Machine learning-based digital district heating/cooling with renewable integrations and advanced low-carbon transition,B20_district_heating,yes,21,yes,GP / kriging,,Predictive-error based,,,,Point metrics,Not explicitly identified,no,no,no
Schulte2016104,2016,Optimization of Medium-Deep Borehole Thermal Energy Storage Systems,B03_pce_response_surface,no,0,yes,,Probability distributions / chance-constraint terms,,,,,,Not explicitly identified,no,no,no
Reynolds2017704,2017,A smart heating set point scheduler using an artificial neural network and genetic algorithm,B06_neural_surrogates,no,0,yes,Neural network,Physical states or constraints,,,,,,Not explicitly identified,no,no,no
Gao2025,2025,"Multi-objective optimization and posteriori multi-criteria decision making on an integrative solid oxide fuel cell cooling, heating and power system with semi-empirical model-driven co-simulation",B21_mes_sector_coupling,yes,20,yes,Neural network,Objective values,Predictive-error based,,,P5 uncertainty,Point metrics,Not explicitly identified,no,yes,no
Petrova2025,2025,Thermal interference in aquifer thermal energy storage: Insights from stochastic surrogate modelling of well placement,B05_tree_ensembles,yes,12,yes,Tree ensembles,,Predictive-error based,Historical data,Quasi-Monte Carlo / sparse-grid collocation,P5 uncertainty,Point metrics; Problem UQ,Historical-data-driven workflow,yes,no,yes
Zhou20181,2018,A robust optimization approach for integrated community energy system in energy and ancillary service markets,B02_gp_kriging,yes,13,yes,GP / kriging,,,Historical data,,,,Historical-data-driven workflow,no,no,no
Wang2021,2021,Short-Term Time Wind Speed Forecasting Based on Spatio-Temporal Geostatistical Approach and Kriging Method,B02_gp_kriging,no,0,yes,GP / kriging,Exogenous inputs,,,,,,Not explicitly identified,no,no,no
Zheng20231907,2023,Distributed Dispatch of Integrated Electricity-Heat Systems With Variable Mass Flow,B21_mes_sector_coupling,yes,11,yes,,Objective values,,Historical data,,P4 decomposition,Feasibility,Historical-data-driven workflow,no,no,no
Ren2024,2024,Data-driven surrogate optimization for deploying heterogeneous multi-energy storage to improve demand response performance at building cluster level,B21_mes_sector_coupling,yes,16,yes,,,Predictive-error based,Historical data,Latin hypercube sampling,,Point metrics,Historical-data-driven workflow,no,no,yes
Jalving2023,2023,Beyond price taker: Conceptual design and optimization of integrated energy systems using machine learning market surrogates,B06_neural_surrogates,yes,17,yes,Neural network,,Predictive-error based,Historical data,Adaptive sampling; Factorial / response-surface design,P1 replacement,Point metrics,Hybrid model-coupled workflow,yes,no,yes
Dong2023,2023,Chance-constrained optimal dispatch of integrated energy systems based on data-driven sparse polynomial chaos expansion,B03_pce_response_surface,yes,13,yes,PCE / RSM,Physical states or constraints; Probability distributions / chance-constraint terms,,Historical data,,P5 uncertainty,Feasibility,Hybrid model-coupled workflow,yes,no,no
Yin2024,2024,Energy management and capacity allocation method of hybrid energy storage system based on port transportation-energy coupling characteristics,B21_mes_sector_coupling,yes,13,yes,PCE / RSM,,,Historical data,,,,Hybrid model-coupled workflow,no,no,no
Eseye201991463,2019,Machine learning based integrated feature selection approach for improved electricity demand forecasting in decentralized energy systems,B02_gp_kriging,yes,11,yes,GP / kriging,Exogenous inputs,Predictive-error based,,,,Point metrics,Not explicitly identified,no,yes,no
Faraji2020157284,2020,Optimal day-ahead self-scheduling and operation of prosumer microgrids using hybrid machine learning-based weather and load forecasting,B04_rbf_kernel,yes,22,yes,Neural network; RBF / kernel,Exogenous inputs; Objective values,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,yes,no
Wang2017,2017,Design of a fractional order frequency PID controller for an islanded microgrid: A multi-objective extremal optimization method,B02_gp_kriging,yes,18,yes,GP / kriging,,,,,,,Not explicitly identified,no,no,no
Nematollahi2021,2021,Sizing and sitting of DERs in active distribution networks incorporating load prevailing uncertainties using probabilistic approaches,B02_gp_kriging,yes,18,yes,GP / kriging,Exogenous inputs; Probability distributions / chance-constraint terms,,Historical data,,P5 uncertainty,Problem UQ,Historical-data-driven workflow,yes,no,no
Wang20192635,2019,Neural networks for power management optimal strategy in hybrid microgrid,B04_rbf_kernel,yes,11,yes,RBF / kernel,Objective values,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,yes,no
Hussien20211883,2021,Sunflower optimization algorithm-based optimal PI control for enhancing the performance of an autonomous operation of a microgrid,B03_pce_response_surface,yes,9,yes,PCE / RSM,Objective values,,Synthetic data,Factorial / response-surface design,,,Simulation-driven workflow,no,no,yes
Rigo-Mariani20171762,2017,Integrated optimal design of a smart microgrid with storage,B02_gp_kriging,yes,9,yes,GP / kriging,,,Historical data,Latin hypercube sampling,P2 acceleration,,Historical-data-driven workflow,no,no,yes
Cao2023,2023,Digital technologies for net-zero energy transition: a preliminary study,B01_cornerstone_reviews,yes,14,yes,,,,Historical data,,,,Historical-data-driven workflow,no,no,no
Schulte2020,2020,Multi-objective optimization under uncertainty of geothermal reservoirs using experimental design-based proxy models,B02_gp_kriging,yes,11,yes,GP / kriging,,Predictive-error based,Synthetic data,Factorial / response-surface design,P2 acceleration,Point metrics; Problem UQ,Simulation-driven workflow,yes,no,yes
Giorgetti2020,2020,Surrogate-Assisted Modeling and Robust Optimization of a Micro Gas Turbine Plant with Carbon Capture,B02_gp_kriging,no,0,yes,GP / kriging,,,,,P2 acceleration; P5 uncertainty,,Not explicitly identified,no,no,no
Yang2024,2024,A Day-Ahead Economic Dispatch Method for Renewable Energy Systems Considering Flexibility Supply and Demand Balancing Capabilities,B03_pce_response_surface,no,0,yes,,Objective values; Probability distributions / chance-constraint terms,,,,,,Not explicitly identified,no,no,no
Dong2022,2022,Optimization strategy based on robust model predictive control for RES-CCHP system under multiple uncertainties,B02_gp_kriging,yes,13,yes,GP / kriging,Probability distributions / chance-constraint terms,,Historical data,,P5 uncertainty,Interval calibration,Historical-data-driven workflow,yes,no,no
Liu20222679,2022,Kernel Structure Design for Data-Driven Probabilistic Load Flow Studies,B02_gp_kriging,yes,11,yes,GP / kriging,Physical states or constraints; Probability distributions / chance-constraint terms,Predictive-error based,,,,Point metrics; Problem UQ,Not explicitly identified,no,yes,no
Rafi202132436,2021,A short-term load forecasting method using integrated CNN and LSTM network,B04_rbf_kernel,yes,10,yes,Neural network; RBF / kernel,Exogenous inputs,Predictive-error based,,,,Point metrics,Not explicitly identified,no,yes,no
Sideratos2020,2020,A novel fuzzy-based ensemble model for load forecasting using hybrid deep neural networks,B04_rbf_kernel,yes,7,yes,Neural network; RBF / kernel,Exogenous inputs,Predictive-error based,,,,Point metrics,Not explicitly identified,no,yes,no
Li2019,2019,Recurrent neural networks based photovoltaic power forecasting approach,B04_rbf_kernel,yes,15,yes,RBF / kernel,Exogenous inputs,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,yes,no
Hanifi2024,2024,Advanced hyperparameter optimization of deep learning models for wind power prediction,B02_gp_kriging,yes,10,yes,Neural network,Exogenous inputs,Posterior uncertainty; Predictive-error based,Historical data,Active learning,P2 acceleration,Point metrics,Historical-data-driven workflow,yes,yes,yes
Madhukumar20228891,2022,Regression Model-Based Short-Term Load Forecasting for University Campus Load,B02_gp_kriging,yes,15,yes,GP / kriging,Exogenous inputs,Posterior uncertainty; Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,yes,no
Wang2023,2023,Improved singular filtering-Gaussian process regression-long short-term memory model for whole-life-cycle remaining capacity estimation of lithium-ion batteries adaptive to fast aging and multi-current variations,B02_gp_kriging,yes,14,yes,GP / kriging,,Predictive-error based,,Transfer learning,P5 uncertainty,Point metrics; Stress test,Not explicitly identified,yes,no,no
Tian2020,2020,Short-term wind speed prediction based on LMD and improved FA optimized combined kernel function LSSVM,B04_rbf_kernel,yes,24,yes,RBF / kernel,Exogenous inputs,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,yes,no
Yang2020415,2020,A novel competitive swarm optimized RBF neural network model for short-term solar power generation forecasting,B04_rbf_kernel,yes,7,yes,RBF / kernel,Exogenous inputs,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,yes,no
Shi2024,2024,Short-term Load Forecasting Considering EV Charging Loads with Prediction Interval Evaluation,B02_gp_kriging,yes,5,yes,GP / kriging,Exogenous inputs; Probability distributions / chance-constraint terms,Predictive-error based,Historical data,,,Interval calibration; Point metrics,Historical-data-driven workflow,no,yes,no
malla_sg_optimization_2024,2024,Optimization of Multi-Energy Systems for Efficient Power-to-X Conversion,B21_mes_sector_coupling,yes,9,yes,,,,,,,,Not explicitly identified,no,no,no
Lin2023,2023,Data-driven method of solving computationally expensive combined economic/emission dispatch problems in large-scale power systems: an improved kriging-assisted optimization approach,B02_gp_kriging,yes,15,yes,GP / kriging,,Predictive-error based,,Adaptive sampling,P2 acceleration,Point metrics,Not explicitly identified,yes,no,no
Wu2021,2021,Optimal bidding and scheduling of AA-CAES based energy hub considering cascaded consumption of heat,B04_rbf_kernel,yes,14,yes,RBF / kernel,Physical states or constraints,,,Active learning,P2 acceleration,,Not explicitly identified,no,no,no
Hu2021671,2021,A Bayesian Approach for Estimating Uncertainty in Stochastic Economic Dispatch Considering Wind Power Penetration,B02_gp_kriging,yes,11,yes,GP / kriging,Exogenous inputs,Predictive-error based,Historical data,Latin hypercube sampling,,Point metrics; Problem UQ,Historical-data-driven workflow,no,yes,yes
Sun2020,2020,Optimal carbon storage reservoir management through deep reinforcement learning,B06_neural_surrogates,yes,13,yes,,,Predictive-error based,Synthetic data,Latin hypercube sampling,P5 uncertainty,Point metrics; Problem UQ,Simulation-driven workflow,no,no,yes
Torun20192128,2019,High-Dimensional Global Optimization Method for High-Frequency Electronic Design,B02_gp_kriging,yes,15,yes,GP / kriging,,,Synthetic data,Active learning,P2 acceleration,Decision-aware,Simulation-driven workflow,yes,no,yes
Meng20191219,2019,Structural reliability analysis and uncertainties-based collaborative design and optimization of turbine blades using surrogate model,B03_pce_response_surface,no,0,yes,,,,,,,,Not explicitly identified,no,no,no
Zhang2019270,2019,Wind speed prediction method using Shared Weight Long Short-Term Memory Network and Gaussian Process Regression,B02_gp_kriging,yes,13,yes,GP / kriging,Probability distributions / chance-constraint terms,Predictive-error based,Historical data,Transfer learning,P5 uncertainty,Interval calibration; Point metrics,Historical-data-driven workflow,yes,yes,yes
Babaeiyazdi2021,2021,State of charge prediction of EV Li-ion batteries using EIS: A machine learning approach,B02_gp_kriging,yes,7,yes,GP / kriging,,Posterior uncertainty; Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,no,no
Kong2021,2021,Voltage-temperature health feature extraction to improve prognostics and health management of lithium-ion batteries,B02_gp_kriging,yes,11,yes,GP / kriging,,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,no,no
Karamichailidou20212137,2021,Wind turbine power curve modeling using radial basis function neural networks and tabu search,B04_rbf_kernel,yes,16,yes,RBF / kernel,,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,no,no
Zeng2017175,2017,A switching delayed PSO optimized extreme learning machine for short-term load forecasting,B04_rbf_kernel,yes,7,yes,RBF / kernel,Exogenous inputs,Predictive-error based,,,,Point metrics,Not explicitly identified,no,yes,no
Li2020,2020,Short-term wind power forecasting based on support vector machine with improved dragonfly algorithm,B04_rbf_kernel,yes,12,yes,RBF / kernel,Exogenous inputs; Objective values,Predictive-error based,Historical data,,,Point metrics; Problem UQ,Historical-data-driven workflow,no,yes,no
Alkesaiberi2022,2022,Efficient Wind Power Prediction Using Machine Learning Methods: A Comparative Study,B01_cornerstone_reviews,yes,24,yes,GP / kriging,Exogenous inputs,Predictive-error based,Historical data,Active learning,P2 acceleration,Point metrics,Historical-data-driven workflow,yes,yes,yes
Zhang2022,2022,Model-based fully coupled propulsion-aerodynamics optimization for hybrid electric aircraft energy management strategy,B06_neural_surrogates,yes,15,yes,Neural network,,Predictive-error based,,,,Point metrics,Not explicitly identified,no,no,no
Alquthami202248419,2022,A Performance Comparison of Machine Learning Algorithms for Load Forecasting in Smart Grid,B01_cornerstone_reviews,yes,12,yes,Tree ensembles,Exogenous inputs; Objective values,Predictive-error based,,,,Point metrics,Not explicitly identified,no,yes,no
Gbémou2021,2021,A comparative study of machine learning-based methods for global horizontal irradiance forecasting,B01_cornerstone_reviews,yes,20,yes,GP / kriging,,Predictive-error based,,,,Interval calibration; Point metrics,Not explicitly identified,no,no,no
Sánchez-Zabala2024,2024,Building energy performance metamodels for district energy management optimisation platforms,B04_rbf_kernel,yes,20,yes,Tree ensembles,,Predictive-error based,Historical data; Synthetic data,,P1 replacement,Point metrics,Hybrid model-coupled workflow,yes,no,no
Bianchi2020244,2020,Convolutional Neural Network and Stochastic Variational Gaussian Process for Heating Load Forecasting,B02_gp_kriging,no,0,yes,GP / kriging,Exogenous inputs,Predictive-error based,,,,Point metrics,Not explicitly identified,no,yes,no
Du2025,2025,Development of a robust data-driven surrogate model to improve energy flexibility of an integrated district heating system with a thermal storage system,B15_uncertainty,yes,14,yes,Neural network,,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,no,no
Reich2020,2020,Predictive control of district heating system using multi-stage nonlinear approximation with selective memory,B02_gp_kriging,yes,23,yes,GP / kriging,Objective values; Physical states or constraints,Predictive-error based,Historical data,,P1 replacement,Decision-aware; Point metrics,Hybrid model-coupled workflow,yes,yes,no
Chaudhry2024,2024,Improving the potential of fifth-generation district heating and cooling networks through robust design and operational optimization under future energy market and demand uncertainties,B03_pce_response_surface,yes,19,yes,PCE / RSM,Probability distributions / chance-constraint terms,Predictive-error based,,,,Problem UQ,Not explicitly identified,no,yes,no
Lu201991827,2019,Stochastic Optimization of Economic Dispatch with Wind and Photovoltaic Energy Using the Nested Sparse Grid-Based Stochastic Collocation Method,B03_pce_response_surface,yes,9,yes,PCE / RSM,Probability distributions / chance-constraint terms,,,Quasi-Monte Carlo / sparse-grid collocation,P5 uncertainty,,Not explicitly identified,no,no,no
Engelmann20186188,2018,Distributed Stochastic AC Optimal Power Flow based on Polynomial Chaos Expansion,B03_pce_response_surface,yes,5,yes,PCE / RSM,Physical states or constraints; Probability distributions / chance-constraint terms,Predictive-error based,,,P5 uncertainty,Feasibility; Point metrics,Not explicitly identified,no,yes,no
Muhlpfordt20174490,2017,Solving optimal power flow with non-Gaussian uncertainties via polynomial chaos expansion,B03_pce_response_surface,yes,6,yes,PCE / RSM,Physical states or constraints; Probability distributions / chance-constraint terms,,,,P5 uncertainty,Problem UQ,Not explicitly identified,no,no,no
El Mestari2025,2025,Tuning Parameters of Genetic Algorithms for Wind Farm Optimization Using the Design of Experiments Method,B03_pce_response_surface,yes,20,yes,,Objective values,Predictive-error based,,Factorial / response-surface design,,Point metrics,Not explicitly identified,no,no,no
Deodhar2018,2018,Experimentally Infused Plant and Controller Optimization Using Iterative Design of Experiments - Theoretical Framework and Airborne Wind Energy Case Study,B03_pce_response_surface,yes,8,yes,PCE / RSM,,,,Factorial / response-surface design,,,Not explicitly identified,no,no,no
Granacher20221573,2022,Active learning for multi-objective optimization of processes and energy systems,B02_gp_kriging,no,0,yes,GP / kriging,,,,Active learning,P2 acceleration,,Not explicitly identified,no,no,no
Matta2026,2026,Designing a near-optimal isolated microgrid using active learning,B02_gp_kriging,yes,10,yes,GP / kriging,,,,Active learning,P2 acceleration,Feasibility,Not explicitly identified,yes,no,no
