cite_key,dimension,label,evidence_source,page,evidence_snippet,rationale
Subedi2026157,doe_strategy,Transfer learning,PDF,5,"For transfer learning from IBR1 to IBR2, the convolutional layer and the first dense layer were frozen to retain the feature representations learned from IBR1, and only the final dense layer was fine-tuned.","The inverter-resource study explicitly describes a transfer-learning workflow."
Liu20223726,pattern,P1 replacement,PDF,2,"This paper proposes an OPF reformulation with an explicit data-driven surrogate constraint for small-signal stability.","The explicit surrogate constraint replaces repeated small-signal-stability evaluation inside OPF."
Jalving2023,pattern,P1 replacement,PDF,1,"This paper proposes a new optimization formulation that uses machine learning surrogate models, trained from a library of annual market operation simulations, to embed IES market interactions into the co-optimization problem directly.","The market surrogate is queried directly inside the co-optimization formulation."
Yang2024__2,pattern,P5 uncertainty,PDF,1,"Data-driven robust optimization scheduling for microgrid day-ahead to intra-day operations based on renewable energy interval prediction.","The surrogate-supported interval prediction is coupled to a robust scheduling problem under uncertainty."
Katkar2025,pattern,P2 acceleration,PDF,2,"Surrogate-assisted evolutionary algorithms (SAEAs) offer efficient solutions to high computational costs and premature convergence in multimodal multi-objective problems.","The paper explicitly places the surrogate inside a surrogate-assisted optimization loop."
Mitrovic2023__2,pattern,P5 uncertainty,PDF,1,"The alternating current (AC) chance-constrained optimal power flow (CC-OPF) problem addresses the economic efficiency of electricity generation and delivery under generation uncertainty.","The Gaussian-process formulation is used in chance-constrained OPF under uncertainty."
Mitrovic2023__3,pattern,P5 uncertainty,PDF,1,"GP CC-OPF: Gaussian Process based optimization tool for Chance-Constrained Optimal Power Flow.","The study explicitly presents a Gaussian-process tool for chance-constrained OPF."
Lu201991827,pattern,P5 uncertainty,PDF,2,"The chance-constrained optimization method obtains solutions within a certain probability threshold for satisfying the constraints.","The stochastic economic-dispatch study uses chance-constrained optimization as the uncertainty-handling pattern."
Wu2022231,pattern,P3 solution proxy,title,,"Deep Learning to Optimize: Security-Constrained Unit Commitment with Uncertain Wind Power Generation and BESSs","The study explicitly frames the learned model as solving the optimization problem rather than only accelerating evaluation."
Li202359995,pattern,P3 solution proxy,title,,"Learning to Solve Optimization Problems With Hard Linear Constraints","The title explicitly states that the learned model solves the optimization problem."
Nikolaidis2021,pattern,P2 acceleration,title,,"Gaussian process-based Bayesian optimization for data-driven unit commitment","Bayesian optimization is an explicit surrogate-assisted acceleration pattern."
Palm2022,pattern,P2 acceleration,title,,"Gaussian Process Regression Based Multi-Objective Bayesian Optimization for Power System Design","The title explicitly states a Bayesian-optimization workflow for design optimization."
Lin2023,pattern,P2 acceleration,title,,"Data-driven method of solving computationally expensive combined economic/emission dispatch problems in large-scale power systems: an improved kriging-assisted optimization approach","The title explicitly describes a kriging-assisted optimization workflow for a computationally expensive dispatch problem."
Amaral20251156,pattern,P2 acceleration,title,,"Adaptive metamodeling-based simulation optimisation","The title explicitly states an adaptive metamodeling-based optimization workflow."
Wu2022231,data_source,Synthetic data,PDF,6,"One wind power sample W contains the predicted wind powers W0 and simulated scenarios Wi (i = 1, ..., S). For each wind power sample W, we calculate the optimal UC decisions V by the branch-and-cut algorithm. We treat {W, V} as a pair of labeled data.","The study explicitly generates labeled training pairs from simulated wind-power scenarios and exact unit-commitment solutions."
Han2018622,data_source,Synthetic data,PDF,6,"The first step is generating some points of decision variables based on sampling techniques like space filling sampling or Latin hypercube sampling, and sequentially collect train data with TDS.","The surrogate-training set is explicitly created from sampled design points and time-domain-simulation evaluations."
Xiao2018,data_source,Synthetic data,PDF,6,"The Latin hypercube sampling (LHS) method ... is used in this work for DGs and loads uncertainty sampling to generate different probability scenarios.","The study explicitly generates uncertainty scenarios through Latin-hypercube sampling."
Li2023,data_source,Synthetic data,PDF,4,"The Latin hypercube sampling (LHS) method ... is used to obtain the input matrix. The first step uses LHS to obtain 20 sets of data for model preselection. The second step is to perform sequential LHS ... to obtain an additional 180 sets of data.","The metamodel study explicitly constructs its dataset from Latin-hypercube-sampled input sets."
Xu20212696,data_source,Synthetic data,PDF,1,"Starting from a stochastic-sampling-based framework, we first utilize the copula theory to simulate the dependence among multivariate uncertain inputs.","The chance-constrained OPF study explicitly builds the workflow on simulated stochastic samples."
Schulte2020,data_source,Synthetic data,PDF,1,"Every development option should be tested using an expensive simulation against the range of geological possibilities.","The proxy-model study explicitly evaluates designs against simulated geological scenarios."
Sun2020,data_source,Synthetic data,PDF,6,"For each 180-day planning step, the injection/production rates are randomly varied by performing Latin hypercube sampling on the discrete action space. This leads to 400 x 60 input-output data pairs ... The total data samples ... are divided into three parts: 70% are used for training, 15% for validation, and 15% for testing.","The study explicitly generates and partitions simulation-based input-output pairs for surrogate training and validation."
Zhang2019270,data_source,Historical data,PDF,2,"The data driven methods use statistically relevant methods to predict wind speed from historical wind speed data, such as time series models, machine learning models and hybrid models.","The wind-speed prediction study explicitly states historical wind-speed data as its source."
Palm2022,data_source,Synthetic data,PDF,10,"As an initial design of experiments (DoE) X0, we propose Latin Hypercube Sampling (LHCS) ... as the basis of the initial computationally expensive black box function evaluation f(X0). We assume the initial sampling by N0 expensive evaluations ...","The Bayesian-optimization study explicitly builds its dataset from sampled expensive black-box evaluations."
Hussien20211883,data_source,Synthetic data,PDF,2,"The validity of the introduced system is proved based on simulation results which are achieved using PSCAD/EMTDC under several operating scenarios of the microgrid.","The response-surface-based controller study explicitly relies on simulation-generated operating cases."
Nikolaidis2021,data_source,Historical data,PDF,2,"The functional form of this dependence is inferred from observed data, both historical and actively collected during the optimization process, in a non-parametric Bayesian fashion.","The Bayesian-optimization study explicitly states observed historical data as part of the optimization workflow."
Zang2023813,data_source,Synthetic data,PDF,1,"Based on the response surface (RS) model and non-dominated sorting genetic algorithm II (NSGA-II), the multiobjective design of the HSIPMSM is accomplished using 29 groups of multiphysical field finite element analysis (FEA) sampling experiments.","The response-surface model is explicitly built from finite-element sampling runs."
Hussien20226442,data_source,Synthetic data,abstract,,"Extensive simulations are performed to validate the new method taking conventional data from PSCAD/EMTDC software.","The study explicitly relies on simulation-generated PSCAD/EMTDC data."
Hussien202190577,data_source,Synthetic data,abstract,,"The proposed practicality of the control plan is shown by the data of the simulation, which is extracted from PSCAD/EMTDC software.","The study explicitly states that the optimization data are extracted from PSCAD/EMTDC simulations."
Rodgers2018951,data_source,Synthetic data,abstract,,"This paper leverages a simulation-based, metamodeling approach by linking the outputs of generation expansion planning simulations with a screening tool ... Using this as a surrogate function ... candidate data points are selected to enhance metamodel prediction capability.","The metamodel is explicitly constructed from simulated generation-expansion plans and their evaluated impacts."
Torun20192128,data_source,Synthetic data,PDF,1,"The solution corresponds to minimizing or maximizing a nonconvex, high-dimensional response surface where the function queries are generated from an EM simulator.","The Bayesian-optimization workflow explicitly evaluates sampled designs through EM-simulator queries."
Su2022315,data_source,Synthetic data,PDF,2,"Assuming that the number of samples for the operational features generated by the LHS is k and the number of contingencies is p, then kp time-domain simulations are performed ... the operational features and the minimum TSI of p TSIs are selected to form the sample sets for DBN training.","The surrogate-training set is explicitly generated from Latin-hypercube samples and time-domain-simulation outputs."
Hirvonen2017323,data_source,Synthetic data,abstract,,"The paper compares a novel neural-network metamodelling method against standard NSGA-II for simulation-based optimization of a solar community.","The optimization workflow is explicitly described as simulation-based."
Urgun20202791,data_source,Synthetic data,abstract,,"This article proposes a new state classification approach ... using a combination of multilabel radial basis function networks and importance sampling within the framework of Monte Carlo simulation process.","The classifier is explicitly trained within a Monte-Carlo-simulation workflow."
Subedi2026157,data_source,Historical data,PDF,7,"Real data from a commercial GFL inverter are used to train and validate the surrogate.","The transfer-learning study explicitly uses real measured inverter data."
Ma2022737,data_source,Synthetic data,abstract,,"To generate the training set for the surrogate model efficiently by finite element analysis, an improved arbitrary rotor position standstill time response method is employed ... while Latin hypercube design is used to capture data features.","The surrogate-training set is explicitly generated from finite-element evaluations and Latin-hypercube design."
Cao2017,data_source,Synthetic data,abstract,,"A simulation-based multi-objective optimization framework is developed ... the stochastic short-term simulation method is developed to assess the performance of candidate PMI schemes considering multiple uncertainties and optimal scheduling of microgrid operation.","The response-surface-based PMI study explicitly relies on stochastic simulation of candidate schemes."
Hussien202415075,data_source,Synthetic data,PDF,1,"Numerous simulations are run to verify the suggested methodology, employing conventional data extracted from the PSCAD/EMTDC software.","The PI-controller optimization study explicitly uses PSCAD/EMTDC simulation data."
Li2023,pattern,P1 replacement,abstract,,"The meta-models have been widely used to replace computationally expensive engineering-based building energy models for model calibration, sensitivity analysis, and performance optimization of buildings.","The building-energy meta-model is explicitly framed as replacing the expensive original simulation model."
Liu20223726,validation,Feasibility,abstract,,"An examination strategy is also developed to avoid the small-signal instability of re-dispatch caused by the error of the data-driven surrogate model.","The study explicitly validates the OPF surrogate against stability-preserving feasibility of redispatch."
Nikolaidis2021,validation,Decision-aware,abstract,,"The demonstrated results show better performance in terms of total production cost and number of function evaluations.","The unit-commitment BO study explicitly reports decision-level cost performance."
Urgun20202791,validation,Point metrics,abstract,,"The outcomes of case studies show that MLRBF algorithm together with IS provides excellent classification accuracy in reliability evaluation while substantially reducing computation time.","The reliability-classification study explicitly reports classification accuracy."
Fu20202904,pattern,P5 uncertainty,abstract,,"The stochastic response surface is used to calculate the probabilistic power flow; and probabilistic inequality theory is introduced to directly estimate the objective and constraint functions of the stochastic programming model.","The surrogate is explicitly used to propagate uncertainty in a stochastic planning formulation."
Granacher20221573,pattern,P2 acceleration,abstract,,"The generation of Pareto-optimal solutions is computationally expensive ... In our approach, we address the question of how to efficiently generate Pareto-optimal sets of solutions by applying machine learning concepts.","The active-learning surrogate is explicitly introduced to accelerate expensive multi-objective search."
Matta2026,pattern,P2 acceleration,abstract,,"Instead of exhaustive optimization, we adopt active learning to approximate optimal configurations, significantly reducing computational costs efficiently.","The active-learning surrogate is explicitly used to accelerate the search for near-optimal configurations."
Matta2026,validation,Feasibility,abstract,,"The method demonstrated superior computational efficiency while ensuring compliance with operational constraints.","The microgrid active-learning study explicitly reports constraint-compliance feasibility."
Aghaei Pour2022303,validation,Decision-aware,abstract,,"We demonstrate how a decision maker can interact with the method and how the most preferred solution is chosen. Finally, we compare our method with another interactive method ... and show how our model management strategy can help the algorithm to follow the decision makers preferences.","The interactive surrogate-assisted optimization study explicitly validates decision-preference alignment."
Subedi2026157,pattern,P1 replacement,abstract,,"The models were incorporated into GridLAB-D ... This integration enables dynamic simulations of large-scale distribution networks with high IBR penetration stability analysis.","The learned inverter surrogate explicitly replaces proprietary dynamic models inside the network simulator."
Xu20184696,pattern,P5 uncertainty,abstract,,"First, a probabilistic optimization problem is formulated ... Last, the sparse polynomial chaos expansion method is used to obtain the probabilistic models for IMG load margins.","The polynomial-chaos surrogate is explicitly used in a probabilistic uncertainty-analysis workflow."
Hussien202190577,pattern,P2 acceleration,abstract,,"The multi-objective function for both sunflower optimization (SFO) and particle swarm optimization (PSO) algorithms is obtained by The Response Surface Methodology.","The response-surface surrogate is explicitly used inside the optimization loop."
Hussien202190577,validation,Point metrics,PDF,2,"The adaptive control algorithms over the conventional algorithms, SFO and PSO, in terms of less-computational complexity, better convergence, and lowest mean square error.","The controller-tuning study explicitly reports mean square error."
Hussien20226442,pattern,P2 acceleration,abstract,,"The Response Surface Methodology (RSM) is incorporated into the developed procedure to achieve a compromise solution among the different objectives.","The response-surface surrogate is explicitly embedded in the optimization process."
Hussien202415075,pattern,P2 acceleration,abstract,,"The first step is to use the response surface methodology (RSM) to empirically express the multi-objective function.","The response-surface surrogate is explicitly embedded in the optimization process."
Roy2020,pattern,P2 acceleration,abstract,,"Response surface methodology (RSM) has been applied to perform multi-objective optimisation of the proposed system.","The response-surface surrogate is explicitly used to accelerate multi-objective optimization."
Roy2020,validation,Point metrics,abstract,,"Regression models generated from the analysis of variance (ANOVA) tool are found to have a very high degree of accuracy for predicting net power, and exergy efficiency.","The study explicitly reports predictive accuracy for surrogate outputs."
Lawson201647,pattern,P5 uncertainty,abstract,,"This paper presents a methodology which uses statistical emulators to quantify uncertainty in mathematical model outputs for all points at which it has not been evaluated, and hence to control properly uncertainties in the decision process.","The emulator is explicitly used for uncertainty quantification in planning."
Urgun20202791,pattern,P5 uncertainty,abstract,,"This article proposes a new state classification approach to calculate power system reliability indices ... within the framework of Monte Carlo simulation process.","The surrogate classifier is explicitly embedded in an uncertainty-analysis workflow for reliability evaluation."
Zhang2019270,pattern,P5 uncertainty,abstract,,"A new hybrid model combined SWLSTM and GPR, called SWLSTM-GPR, is proposed to obtain reliable wind speed probabilistic prediction result.","The hybrid surrogate is explicitly used for probabilistic prediction under uncertainty."
Amoedo2023929,pattern,P2 acceleration,abstract,,"In complex energy systems, simulation models need to be repeatedly used to optimize operating conditions. The use of surrogate models reduces the required optimization time. In this work an active learning approach is coupled with a genetic algorithm.","The surrogate is explicitly introduced to accelerate repeated optimization evaluations."
Amoedo2023929,validation,Point metrics,abstract,,"Our results show that artificial neural networks and random forest are the best performing algorithms, with mean square error up to two orders of magnitude better than other more simplistic approaches.","The study explicitly reports mean square error for surrogate performance."
Buchanan2024,pattern,P5 uncertainty,abstract,,"The proposed model combines ... CNN with the probabilistic characteristics of Gaussian Process Regression models. The combined CNN-GPR model predicts battery SOH ... and displays its confidence in the prediction using the variance from the GPR.","The model is explicitly uncertainty-aware and outputs probabilistic predictions."
Cao2023__2,pattern,P1 replacement,abstract,,"To solve the Stackelberg game equilibrium, a Kriging metamodel is then adopted to fit the energy scheduling model of the VPP.","The Kriging metamodel explicitly replaces the internal energy-scheduling model inside the optimization."
Oyedeji2023,validation,Point metrics,abstract,,"Overall, all the algorithms employed in this study gave about 75-80% model accuracy based on the R2 performance criterion.","The forecasting study explicitly reports an R2-based point-metric evaluation."
Hasanien2018168,pattern,P2 acceleration,abstract,,"The response surface methodology (RSM) model is established to create the objective function and its constraints. The proposed WOA-based PI controllers are utilized to control the DC chopper and grid-side inverter ...","The response-surface model is explicitly embedded in the optimization-based controller-tuning loop."
