cite_key,author_label,year,section,tier,has_pdf,system,topic,family,doe,doe_prose,validation,validation_prose,pattern,pdf_claims,cited_by_count
Han2018622,Han et al.,2018,moo,detail,yes,Surrogate modeling-based multi-objective dynamic VAR planning considering short-term voltage stability and transient,Electric Power System Optimization,RBF / kernel,LHS / quasi-MC,,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,P2,Pareto-front search,66
Wang2024,Wang et al.,2024,moo,detail,yes,Numerical assessment and optimization of photovoltaic-based hydrogen-oxygen Co-production energy system,Hybrid Renewable Energy Systems,Neural network,Historical data,,Feasibility rate; Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P2,,30
Zhang20234075,Zhang et al.,2023,moo,detail,yes,Surrogated-assisted multimodal multi-objective optimization for hybrid renewable energy system,Hybrid Renewable Energy Systems,GP / kriging,LHS / quasi-MC,,Point metrics (RMSE/MAE/R²),,P2,Pareto-front search,22
Dong2024,Dong et al.,2024,moo,detail,yes,Design and optimal scheduling of forecasting-based campus multi-energy complementary energy system,Energy Load and Power Forecasting,PCE / RSM,Factorial / DoE,,Point metrics (RMSE/MAE/R²),,P2,Pareto-front search,14
Salahinezhad2025,Salahinezhad et al.,2025,moo,detail,yes,Trade-off analysis for optimal design of trigeneration energy systems integrated with solar and hydrogen subsystems,Integrated Energy Systems Optimization,PCE / RSM,Factorial / DoE,Training runs follow structured design-of-experiments grids.,Point metrics (RMSE/MAE/R²),,P2,,9
Dong2023__2,Dong et al.,2023,moo,detail,yes,Robust optimal scheduling for integrated energy systems based on multi-objective confidence gap decision theory,Integrated Energy Systems Optimization,PCE / RSM,LHS / quasi-MC,,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P1,Pareto-front search,8
Lalitha20231401,Lalitha et al.,2023,moo,detail,yes,Multi-objective approach for protection of microgrids using surrogate assisted particle swarm optimization (SAPSO),Power Systems Fault Detection,Neural network,Active learning,,Point metrics (RMSE/MAE/R²),,P2,Pareto-front search,8
Reis2025,Reis et al.,2025,moo,detail,yes,Symmetry-Guided Surrogate-Assisted NSGA-II for Multi-Objective Optimization of Renewable Energy Systems,Advanced Multi-Objective Optimization Algorithms,Neural network,Active learning,Further simulation runs are chosen by Bayesian optimization (acquisition-driven active learning).,Point metrics (RMSE/MAE/R²),,P2,Pareto-front search,5
abbas_optimal_2024,Abbas et al.,2024,moo,detail,yes,Optimal scheduling and management of grid-connected distributed resources using improved decomposition-based,Optimal scheduling and management of grid-connected distributed resources using improved decomposition-based many-objective evolutionary algorithm,PCE / RSM,LHS / quasi-MC,,Feasibility rate; Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),Validation reports feasibility or constraint violations on the host problem.,P4,Pareto-front search,0
alahmad_enhancing_2025,ALAhmad et al.,2025,moo,detail,yes,Enhancing renewable energy integration through strategic stochastic optimization planning of distributed energy,Enhancing renewable energy integration through strategic stochastic optimization planning of distributed energy resources (Wind/\{PV\}/\{SBESS\}/\{MBESS\}) in distribution systems,PCE / RSM,LHS / quasi-MC,,Uncertainty (problem UQ); Feasibility rate; Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P2,Pareto-front search,0
alahmad_optimizing_2025,ALAhmad et al.,2025,moo,detail,yes,Optimizing renewable energy and green technologies in distribution systems through stochastic planning of distributed,Optimizing renewable energy and green technologies in distribution systems through stochastic planning of distributed energy resources,PCE / RSM,LHS / quasi-MC,,Stress test; Uncertainty (problem UQ),Validation includes stress-test blocks.,P2,,0
ali_optimizing_2025,Ali et al.,2025,moo,detail,yes,Optimizing Hydrogen Systems and Demand Response for Enhanced Integration of \{RES\} and \{EVs\} in Smart Grids,Optimizing Hydrogen Systems and Demand Response for Enhanced Integration of \{RES\} and \{EVs\} in Smart Grids,PCE / RSM,LHS / quasi-MC,,Point metrics (RMSE/MAE/R²),,P2,Pareto-front search,0
an_multi-objective_2025,An et al.,2025,moo,detail,yes,Multi-objective optimization for optimal placement of shared battery energy storage systems in urban energy communities,Multi-objective optimization for optimal placement of shared battery energy storage systems in urban energy communities,PCE / RSM,LHS / quasi-MC,,Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,P2,Pareto-front search,0
bagheri_miqcp-based_2025,Bagheri et al.,2025,moo,detail,yes,An \{MIQCP\}-based multi-objective optimal operation strategy for renewables-integrated smart distribution systems,An \{MIQCP\}-based multi-objective optimal operation strategy for renewables-integrated smart distribution systems considering transformer loss of life and environmental emissions,Neural network,--,,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,P2,Pareto-front search,0
bendriss_novel_2025,Bendriss et al.,2025,moo,detail,yes,A novel improved Frilled Lizard algorithm for solving the optimal planning problem of renewable energy sources within,A novel improved Frilled Lizard algorithm for solving the optimal planning problem of renewable energy sources within distribution grids under uncertainties,PCE / RSM,LHS / quasi-MC,,Uncertainty (problem UQ),,P2,,0
chen_multi-objective_2025-1,Chen et al.,2025,moo,detail,yes,Multi-objective optimization of multi-energy complementary systems integrated biomass-solar-wind energy utilization,Multi-objective optimization of multi-energy complementary systems integrated biomass-solar-wind energy utilization in rural areas,PCE / RSM,Factorial / DoE,,Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,P2,Pareto-front search,0
cortes-caicedo_multi-objective_2025,Cortés-Caicedo et al.,2025,moo,detail,yes,A multi-objective optimization approach based on the Non-Dominated Sorting Genetic Algorithm \{II\} for power,A multi-objective optimization approach based on the Non-Dominated Sorting Genetic Algorithm \{II\} for power coordination in battery energy storage systems for \{DC\} distribution network applications,PCE / RSM,Factorial / DoE,,Point metrics (RMSE/MAE/R²),,P2,Pareto-front search,0
liang_high_2024,Liang et al.,2024,moo,detail,yes,High fidelity modeling of pumped storage units for optimal operation of a multi-energy co-generation system,High fidelity modeling of pumped storage units for optimal operation of a multi-energy co-generation system,PCE / RSM,Multi-fidelity,,Point metrics (RMSE/MAE/R²),,P2,,0
malla_sg_optimization_2024,Authors,2024,moo,detail,yes,Optimization of Multi-Energy Systems for Efficient Power-to-X Conversion,Optimization of Multi-Energy Systems for Efficient Power-to-X Conversion,PCE / RSM,Factorial / DoE,,Point metrics (RMSE/MAE/R²),,P2,Pareto-front search,0
tezer_multi-objective_2025,Tezer et al.,2025,moo,detail,yes,Multi-objective optimization of hybrid renewable energy systems with green hydrogen integration and hybrid storage,Multi-objective optimization of hybrid renewable energy systems with green hydrogen integration and hybrid storage strategies,PCE / RSM,Factorial / DoE,Training runs follow factorial designs over discrete factor levels.,Point metrics (RMSE/MAE/R²),,P2,Pareto-front search,0
tian_building_2025,Tian et al.,2025,moo,detail,yes,Building design and operation multi-objective optimization: Energy costs vs. Emissions,Building design and operation multi-objective optimization: Energy costs vs. Emissions,Neural network,Historical data,The emulator is trained from historically observed operating data.,Feasibility rate; Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P2,Pareto-front search,0
Eseye201991463,Eseye et al.,2019,microgrid,detail,yes,Machine learning based integrated feature selection approach for improved electricity demand forecasting,Energy Load and Power Forecasting,GP / kriging,Adaptive sampling,,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,P1,,107
Faraji2020157284,Faraji et al.,2020,microgrid,detail,yes,Optimal day-ahead self-scheduling and operation of prosumer microgrids using hybrid machine learning-based weather,Smart Grid Energy Management,RBF / kernel,--,,Point metrics (RMSE/MAE/R²),,P1,,103
Nematollahi2021,Nematollahi et al.,2021,microgrid,detail,yes,Sizing and sitting of DERs in active distribution networks incorporating load prevailing uncertainties,Optimal Power Flow Distribution,GP / kriging,Adaptive sampling,,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,,58
Wang20192635,Wang et al.,2019,microgrid,detail,yes,Neural networks for power management optimal strategy in hybrid microgrid,Energy Load and Power Forecasting,RBF / kernel,Historical data,The emulator is trained from historically observed operating data.,Point metrics (RMSE/MAE/R²),,P1,,58
Hussien20211883,Hussien et al.,2021,microgrid,detail,yes,Sunflower optimization algorithm-based optimal PI control for enhancing the performance of an autonomous operation,Microgrid Control and Optimization,PCE / RSM,Factorial / DoE,Training runs follow factorial designs over discrete factor levels.,Point metrics (RMSE/MAE/R²),,P2,Pareto-front search,57
Rigo-Mariani20171762,Rigo-Mariani et al.,2017,microgrid,detail,yes,Integrated optimal design of a smart microgrid with storage,Microgrid Control and Optimization,GP / kriging,LHS / quasi-MC,,Point metrics (RMSE/MAE/R²),,P1,reported runtime reduction,54
Wang20211767,Wang et al.,2021,microgrid,detail,yes,Stochastic Optimization for Residential Demand Response with Unit Commitment and Time of Use,Smart Grid Energy Management,RBF / kernel,--,,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,Pareto-front search,53
Cao2023__2,Cao et al.,2023,microgrid,detail,yes,Co-optimization of multiple virtual power plants considering electricity-heat-carbon trading,Process Optimization and Integration,--,LHS / quasi-MC,Training inputs are placed by Latin hypercube sampling over the planning box.,Point metrics (RMSE/MAE/R²),,P1,,47
Xu20184696,Xu et al.,2018,microgrid,detail,yes,Maximum Loadability of Islanded Microgrids With Renewable Energy Generation,Microgrid Control and Optimization,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,P1,,46
Gan2021695,Gan et al.,2021,microgrid,detail,yes,Data-Driven Energy Management System with Gaussian Process Forecasting and MPC for Interconnected Microgrids,Smart Grid Energy Management,GP / kriging,Adaptive sampling,,Point metrics (RMSE/MAE/R²),,P1,,45
Hussien20226442,Hussien et al.,2022,microgrid,detail,yes,Coot Bird Algorithms-Based Tuning PI Controller for Optimal Microgrid Autonomous Operation,Microgrid Control and Optimization,PCE / RSM,Factorial / DoE,Training runs explore discrete factor combinations for response-surface fitting.,Point metrics (RMSE/MAE/R²),,P2,,44
Guo20222057,Guo et al.,2022,microgrid,detail,yes,Training Deep Neural Network for Optimal Power Allocation in Islanded Microgrid Systems,Microgrid Control and Optimization,Neural network,Historical data,,Point metrics (RMSE/MAE/R²),,P1,reported runtime reduction,43
Chaturvedi2024149,Chaturvedi et al.,2024,microgrid,detail,yes,Reinforcement Learning-Based Integrated Control to Improve the Efficiency of DC Microgrids,Microgrid Control and Optimization,Neural network,--,,Point metrics (RMSE/MAE/R²),,P1,,41
Lu20232989,Lu et al.,2023,microgrid,detail,yes,Distributed Online Dispatch for Microgrids Using Hierarchical Reinforcement Learning Embedded with Operation Knowledge,Smart Grid Energy Management,RBF / kernel,Historical data,The emulator is trained from historically observed operating data.,Feasibility rate; Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P1,,41
Wu2021,Wu et al.,2021,microgrid,compact,yes,Optimal bidding and scheduling of AA-CAES based energy hub considering cascaded consumption of heat,Integrated Energy Systems Optimization,RBF / kernel,Active learning,Further simulation runs are chosen by Bayesian optimization (acquisition-driven active learning).,Point metrics (RMSE/MAE/R²),,P1,,38
Kiani20253021,Kiani et al.,2025,microgrid,compact,yes,Learning Robust Model Predictive Control for Voltage Control of Islanded Microgrid,Microgrid Control and Optimization,GP / kriging,Adaptive sampling,,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,,36
Shao201858,Shao et al.,2018,microgrid,compact,yes,Kriging Empirical Mode Decomposition via support vector machine learning technique for autonomous operation diagnosing,Islanding Detection in Power Systems,GP / kriging,Adaptive sampling,,Point metrics (RMSE/MAE/R²),,P4,,31
Kanwal2018117,Kanwal et al.,2018,microgrid,compact,yes,Support vector machine and Gaussian process regression based modeling for photovoltaic power prediction,Solar Radiation and Photovoltaics,GP / kriging,Adaptive sampling,,Point metrics (RMSE/MAE/R²),,P1,,30
Roth2019214,Roth et al.,2019,microgrid,compact,yes,A flexible metamodel architecture for optimal design of Hybrid Renewable Energy Systems (HRES) – Case study,Hybrid Renewable Energy Systems,Neural network,Factorial / DoE,,Point metrics (RMSE/MAE/R²),,P1,,30
Li2023__3,Li et al.,2023,microgrid,compact,yes,Physics-model-free heat-electricity energy management of multiple microgrids based on surrogate model-enabled,Building Energy and Comfort Optimization,Tree ensembles,--,,Point metrics (RMSE/MAE/R²),,P1,,28
Han2024,Han et al.,2024,microgrid,compact,yes,Hierarchical robust Day-Ahead VPP and DSO coordination based on local market to enhance distribution network voltage,Smart Grid Energy Management,GP / kriging,Adaptive sampling,,Uncertainty (problem UQ),,P5,,20
Kaewdornhan2022130373,Kaewdornhan et al.,2022,microgrid,compact,yes,Electric Distribution Network with Multi-Microgrids Management Using Surrogate-Assisted Deep Reinforcement Learning,Smart Grid Energy Management,Neural network,Active learning,,Feasibility rate; Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),Validation reports feasibility or constraint violations on the host problem.,P2,reported runtime reduction,20
Zhang20203731,Zhang et al.,2020,microgrid,compact,yes,Two-Stage Optimal Operation Strategy of Isolated Microgrid with TSK Fuzzy Identification of Supply Security,Microgrid Control and Optimization,RBF / kernel,Transfer learning,Emulator training transfers information across related datasets.,Uncertainty (problem UQ); Feasibility rate; Point metrics (RMSE/MAE/R²),,P1,Pareto-front search,17
Hussien202190577,Hussien et al.,2021,microgrid,compact,yes,LMSRE-based adaptive pi controller for enhancing the performance of an autonomous operation of microgrids,Microgrid Control and Optimization,PCE / RSM,Factorial / DoE,Training runs explore discrete factor combinations for response-surface fitting.,Point metrics (RMSE/MAE/R²),,P2,,16
Hussien202415075,Hussien et al.,2024,microgrid,compact,yes,Hybrid Transient Search Algorithm With Levy Flight for Optimal PI Controllers of Islanded Microgrids,Microgrid Control and Optimization,PCE / RSM,Factorial / DoE,Training runs explore discrete factor combinations for response-surface fitting.,Point metrics (RMSE/MAE/R²),,P2,,16
Pourmohammadi2023,Pourmohammadi et al.,2023,microgrid,compact,yes,Robust metamodel-based simulation-optimization approaches for designing hybrid renewable energy systems,Advanced Multi-Objective Optimization Algorithms,PCE / RSM,LHS / quasi-MC,,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,,14
Liu20242534,Liu et al.,2024,microgrid,compact,yes,More Efficient Energy Management for Hybrid AC/DC Microgrids with Hard Constrained Neural Network-Based Conversion Loss,Microgrid Control and Optimization,Neural network,Historical data,,Point metrics (RMSE/MAE/R²); Interval calibration,,P1,,12
Yang2024__2,Yang et al.,2024,microgrid,compact,yes,Data-driven robust optimization scheduling for microgrid day-ahead to intra-day operations based on renewable energy,Smart Grid Energy Management,PCE / RSM,LHS / quasi-MC,,Uncertainty (problem UQ); Stress test; Point metrics (RMSE/MAE/R²),Validation includes stress-test blocks.,P5,,6
Perera2017187,Perera et al.,2017,microgrid,compact,yes,Optimum design of distributed energy hubs using hybrid surrogate models (HSM),Hybrid Renewable Energy Systems,Neural network,Active learning,Further simulation runs are chosen by an active-learning rule.,Feasibility rate; Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,P2,,5
Matta2026,Matta et al.,2026,microgrid,compact,yes,Designing a near-optimal isolated microgrid using active learning,Microgrid Control and Optimization,GP / kriging,Active learning,Further simulation runs are chosen by an active-learning rule.,Interval calibration; Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),Validation assesses prediction-interval calibration.,P2,,1
arar_tahir_scientific_2023,Arar Tahir et al.,2023,microgrid,compact,yes,Scientific mapping of optimisation applied to microgrids integrated with renewable energy systems,Scientific mapping of optimisation applied to microgrids integrated with renewable energy systems,PCE / RSM,LHS / quasi-MC,Training inputs are placed by Latin hypercube sampling over the planning box.,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,P2,Pareto-front search,0
batista_optimizing_2023,Batista et al.,2023,microgrid,compact,yes,Optimizing methodologies of hybrid renewable energy systems powered reverse osmosis plants,Optimizing methodologies of hybrid renewable energy systems powered reverse osmosis plants,PCE / RSM,LHS / quasi-MC,,Point metrics (RMSE/MAE/R²),,P2,Pareto-front search,0
velasquez_intelligence_2023,Velásquez et al.,2023,microgrid,compact,yes,Intelligence Techniques in Sustainable Energy: Analysis of a Decade of Advances,Intelligence Techniques in Sustainable Energy: Analysis of a Decade of Advances,RBF / kernel,--,,Point metrics (RMSE/MAE/R²),,P2,,0
Hirvonen2017323,Hirvonen et al.,2017,dh,detail,yes,Neural network metamodelling in multi-objective optimization of a high latitude solar community,Building Energy and Comfort Optimization,Neural network,Factorial / DoE,,Feasibility rate; Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P2,Pareto-front search,18
Sánchez-Zabala2024,Sánchez-Zabala et al.,2024,dh,detail,yes,Building energy performance metamodels for district energy management optimisation platforms,Building Energy and Comfort Optimization,RBF / kernel,Factorial / DoE,,Interval calibration,Validation assesses prediction-interval calibration.,P1,reported runtime reduction;Pareto-front search,16
Weinberger2018555,Weinberger et al.,2018,dh,detail,yes,Investigating influential techno-economic factors for combined heat and power production using optimization,Integrated Energy Systems Optimization,Neural network,Factorial / DoE,Training runs follow a Box--Behnken design over factor levels.,Point metrics (RMSE/MAE/R²),,P1,,7
Reich2020,Reich et al.,2020,dh,detail,yes,Predictive control of district heating system using multi-stage nonlinear approximation with selective memory,Integrated Energy Systems Optimization,GP / kriging,Adaptive sampling,,Point metrics (RMSE/MAE/R²),,P1,large reported speed-up,6
Chaudhry2024,Chaudhry et al.,2024,dh,detail,yes,Improving the potential of fifth-generation district heating and cooling networks through robust design and operational,Integrated Energy Systems Optimization,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,Pareto-front search,5
Du2025,Du et al.,2025,dh,detail,yes,Development of a robust data-driven surrogate model to improve energy flexibility of an integrated district heating,Integrated Energy Systems Optimization,Neural network,Factorial / DoE,,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,reported runtime reduction;Pareto-front search,4
Rafi202132436,Rafi et al.,2021,dispatch,detail,yes,A short-term load forecasting method using integrated CNN and LSTM network,Energy Load and Power Forecasting,RBF / kernel,--,,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,P1,,482
Wu2022231,Wu et al.,2022,dispatch,detail,yes,Deep Learning to Optimize: Security-Constrained Unit Commitment with Uncertain Wind Power Generation and BESSs,Electric Power System Optimization,Neural network,LHS / quasi-MC,,Decision-aware (regret/gap); Feasibility rate; Point metrics (RMSE/MAE/R²),,P1,reported runtime reduction,86
Ahmad202451,Ahmad et al.,2024,dispatch,detail,yes,Parametric analysis of wastewater electrolysis for green hydrogen production,Hybrid Renewable Energy Systems,PCE / RSM,Factorial / DoE,Training runs follow a Box--Behnken design over factor levels.,Point metrics (RMSE/MAE/R²); Interval calibration,,P1,,77
Safta20172535,Safta et al.,2017,dispatch,detail,yes,Efficient Uncertainty Quantification in Stochastic Economic Dispatch,Probabilistic and Robust Engineering Design,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Uncertainty (problem UQ); Feasibility rate; Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P5,large reported speed-up,52
Chen20244723,Chen et al.,2024,dispatch,detail,yes,End-to-End Feasible Optimization Proxies for Large-Scale Economic Dispatch,Electric Power System Optimization,Neural network,--,,Decision-aware (regret/gap); Feasibility rate; Point metrics (RMSE/MAE/R²),"Validation reports regret or optimality-gap checks, not only fit error.",P1,large reported speed-up;decision-aware metric,44
Chen2022,Chen et al.,2022,dispatch,compact,yes,Learning optimization proxies for large-scale Security-Constrained Economic Dispatch,Smart Grid Energy Management,Neural network,Historical data,,Feasibility rate; Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P1,large reported speed-up,39
Dullinger20181646,Dullinger et al.,2018,dispatch,compact,yes,A general approach for mixed-integer predictive control of HVAC systems using MILP,Advanced Control Systems Optimization,RBF / kernel,--,,--,,P1,,39
Nikolaidis2021,Nikolaidis et al.,2021,dispatch,compact,yes,Gaussian process-based Bayesian optimization for data-driven unit commitment,Electric Power System Optimization,GP / kriging,Active learning,Further simulation runs are chosen by Bayesian optimization (acquisition-driven active learning).,Feasibility rate; Point metrics (RMSE/MAE/R²),,P2,,39
Angizeh2023134995,Angizeh et al.,2023,dispatch,compact,yes,Impact Assessment Framework for Grid Integration of Energy Storage Systems and Renewable Energy Sources Toward Clean,Smart Grid Energy Management,GP / kriging,Adaptive sampling,,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),Validation assesses prediction-interval calibration.,P1,,38
Wang2022812,Wang et al.,2022,dispatch,compact,yes,A Data-Driven Uncertainty Quantification Method for Stochastic Economic Dispatch,Integrated Energy Systems Optimization,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,,37
Hu2021671,Hu et al.,2021,dispatch,compact,yes,A Bayesian Approach for Estimating Uncertainty in Stochastic Economic Dispatch Considering Wind Power Penetration,Electric Power System Optimization,GP / kriging,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Uncertainty (problem UQ),,P5,large reported speed-up,33
Wu2024391,Wu et al.,2024,dispatch,compact,yes,Synergistic Integration of Machine Learning and Mathematical Optimization for Unit Commitment,Optimal Power Flow Distribution,Tree ensembles,--,,Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,P1,reported runtime reduction,33
Pan20244422,Pan et al.,2024,dispatch,compact,yes,Reliability-Constrained Economic Dispatch With Analytical Formulation of Operational Risk Evaluation,Electric Power System Optimization,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Uncertainty (problem UQ); Feasibility rate; Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P5,,32
Li20191438,Li et al.,2019,dispatch,compact,yes,Compressive Sensing Based Stochastic Economic Dispatch with High Penetration Renewables,Probabilistic and Robust Engineering Design,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,,30
Xu20223066,Xu et al.,2022,dispatch,compact,yes,E2DNet: An Ensembling Deep Neural Network for Solving Nonconvex Economic Dispatch in Smart Grid,Electric Power System Optimization,Neural network,--,,Point metrics (RMSE/MAE/R²),,P1,large reported speed-up,30
Rixhon2021,Rixhon et al.,2021,dispatch,compact,yes,The role of electrofuels under uncertainties for the belgian energy transition,Integrated Energy Systems Optimization,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by quasi-Monte Carlo (low-discrepancy) sample sets.,Point metrics (RMSE/MAE/R²),,P1,large reported speed-up,26
Yan2019625,Yan et al.,2019,dispatch,compact,yes,Analytical Iterative Multistep Interval Forecasts of Wind Generation Based on TLGP,Energy Load and Power Forecasting,GP / kriging,Adaptive sampling,,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),Validation assesses prediction-interval calibration.,P1,reported runtime reduction,25
Pang2023,Pang et al.,2023,dispatch,compact,yes,A Surrogate-Assisted Adaptive Bat Algorithm for Large-Scale Economic Dispatch,Electric Power System Optimization,Neural network,Active learning,,Point metrics (RMSE/MAE/R²),,P2,reported runtime reduction,20
Liang20246508,Liang et al.,2024,dispatch,compact,yes,Joint Chance-Constrained Unit Commitment,Electric Power System Optimization,Constraint-aware NN,--,,Uncertainty (problem UQ); Interval calibration,,P1,reported runtime reduction,19
Goudarzi2017667,Goudarzi et al.,2017,dispatch,compact,yes,Smart real-time scheduling of generating units in an electricity market considering environmental aspects and physical,Electric Power System Optimization,RBF / kernel,--,,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,P1,reported runtime reduction;Pareto-front search,18
Guo202115024,Guo et al.,2021,dispatch,compact,yes,An Alternative Learning-Based Approach for Economic Dispatch in Smart Grid,Electric Power System Optimization,Neural network,--,,Point metrics (RMSE/MAE/R²),,P1,reported runtime reduction,17
Lu201991827,Lu et al.,2019,dispatch,compact,yes,Stochastic Optimization of Economic Dispatch with Wind and Photovoltaic Energy Using the Nested Sparse Grid-Based,Electric Power System Optimization,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,,13
Lin2023,Lin et al.,2023,dispatch,compact,yes,Data-driven method of solving computationally expensive combined economic/emission dispatch problems in large-scale,Electric Power System Optimization,GP / kriging,Active learning,,Point metrics (RMSE/MAE/R²),,P2,Pareto-front search,9
