cite_key,primary_bucket,all_buckets,mandatory,year,title,venue,doi,cited_by_count,tier,focus,primary_topic,sources
Liu20223726,B04_rbf_kernel,B04_rbf_kernel;B18_opf,1,2022,Explicit Data-Driven Small-Signal Stability Constrained Optimal Power Flow,IEEE Transactions on Power Systems,10.1109/tpwrs.2021.3135657,40,A,,Power System Optimization and Stability,surrogate_esm_tier_a
Xu20223066,B06_neural_surrogates,B06_neural_surrogates;B09_decision_focused_l2o;B17_ed_uc,1,2022,E2DNet: An Ensembling Deep Neural Network for Solving Nonconvex Economic Dispatch in Smart Grid,IEEE Transactions on Industrial Informatics,10.1109/tii.2021.3105361,30,A,,Electric Power System Optimization,surrogate_esm_tier_a
Park2019,B06_neural_surrogates,B06_neural_surrogates,1,2019,Physics-induced graph neural network: An application to wind-farm power estimation,Energy,10.1016/j.energy.2019.115883,123,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Elsheikh2019622,B01_cornerstone_reviews,B01_cornerstone_reviews;B04_rbf_kernel;B06_neural_surrogates,1,2019,Modeling of solar energy systems using artificial neural network: A comprehensive review,Solar Energy,10.1016/j.solener.2019.01.037,696,A,,Photovoltaic System Optimization Techniques,surrogate_esm_tier_a
Han2018622,B04_rbf_kernel,B04_rbf_kernel,1,2018,Surrogate modeling-based multi-objective dynamic VAR planning considering short-term voltage stability and transient stability,IEEE Transactions on Power Systems,10.1109/tpwrs.2017.2696021,66,A,,Electric Power System Optimization,surrogate_esm_tier_a
Su2022315,B06_neural_surrogates,B06_neural_surrogates;B18_opf,1,2022,Deep Belief Network Enabled Surrogate Modeling for Fast Preventive Control of Power System Transient Stability,IEEE Transactions on Industrial Informatics,10.1109/tii.2021.3072594,65,A,,Power System Optimization and Stability,surrogate_esm_tier_a
Roth2019214,B22_microgrid_hub,B22_microgrid_hub,1,2019,A flexible metamodel architecture for optimal design of Hybrid Renewable Energy Systems (HRES) – Case study of a stand-alone HRES for a factory in tropical island,Journal of Cleaner Production,10.1016/j.jclepro.2019.03.095,30,A,,Hybrid Renewable Energy Systems,surrogate_esm_tier_a
Thrampoulidis2021,B06_neural_surrogates,B06_neural_surrogates,1,2021,A machine learning-based surrogate model to approximate optimal building retrofit solutions,Applied Energy,10.1016/j.apenergy.2020.116024,118,A,,Building Energy and Comfort Optimization,surrogate_esm_tier_a
Hirvonen2017323,B06_neural_surrogates,B06_neural_surrogates;B20_district_heating,1,2017,Neural network metamodelling in multi-objective optimization of a high latitude solar community,Solar Energy,10.1016/j.solener.2017.06.040,18,A,,Building Energy and Comfort Optimization,surrogate_esm_tier_a
Jia2022553,B04_rbf_kernel,B04_rbf_kernel;B05_tree_ensembles;B06_neural_surrogates;B20_district_heating,1,2022,Developing machine-learning meta-models for high-rise residential district cooling in hot and humid climate,Journal of Building Performance Simulation,10.1080/19401493.2021.2001573,21,A,,Building Energy and Comfort Optimization,surrogate_esm_tier_a
Xiao2018,B01_cornerstone_reviews,B01_cornerstone_reviews,1,2018,Application and comparison of metaheuristic and new metamodel based global optimization methods to the optimal operation of active distribution networks,Energies,10.3390/en11010085,29,A,,Optimal Power Flow Distribution,surrogate_esm_tier_a
Li2023,B05_tree_ensembles,B05_tree_ensembles,1,2023,A novel method of creating machine learning-based time series meta-models for building energy analysis,Energy and Buildings,10.1016/j.enbuild.2022.112752,28,A,,Building Energy and Comfort Optimization,surrogate_esm_tier_a
Wang2020202933,B03_pce_response_surface,B03_pce_response_surface;B21_mes_sector_coupling,1,2020,Optimal Scheduling for Integrated Energy System Considering Scheduling Elasticity of Electric and Thermal Loads,IEEE Access,10.1109/access.2020.3035585,23,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Hasanien2018168,B03_pce_response_surface,B03_pce_response_surface,1,2018,Performance improvement of photovoltaic power systems using an optimal control strategy based on whale optimization algorithm,Electric Power Systems Research,10.1016/j.epsr.2017.12.019,141,A,,Photovoltaic System Optimization Techniques,surrogate_esm_tier_a
Sami20181416,B03_pce_response_surface,B03_pce_response_surface,1,2018,Thermal properties optimization of microencapsulated a renewable and non-toxic phase change material with a polystyrene shell for thermal energy storage systems,Applied Thermal Engineering,10.1016/j.applthermaleng.2017.11.119,120,A,,Phase Change Materials Research,surrogate_esm_tier_a
Ahmad202451,B03_pce_response_surface,B03_pce_response_surface;B21_mes_sector_coupling,1,2024,"Parametric analysis of wastewater electrolysis for green hydrogen production: A combined RSM, genetic algorithm, and particle swarm optimization approach",International Journal of Hydrogen Energy,10.1016/j.ijhydene.2024.01.302,77,A,,Hybrid Renewable Energy Systems,surrogate_esm_tier_a
Xu20212696,B03_pce_response_surface,B03_pce_response_surface;B07_constraint_aware;B15_uncertainty;B18_opf;B24_stochastic_robust,1,2021,An Iterative Response-Surface-Based Approach for Chance-Constrained AC Optimal Power Flow Considering Dependent Uncertainty,IEEE Transactions on Smart Grid,10.1109/tsg.2021.3051088,28,A,,Probabilistic and Robust Engineering Design,surrogate_esm_tier_a
Zulfiqar20211026,B03_pce_response_surface,B03_pce_response_surface,1,2021,Lipase-PDA-TiO2 NPs: An emphatic nano-biocatalyst for optimized biodiesel production from Jatropha curcas oil,Renewable Energy,10.1016/j.renene.2020.12.135,68,A,,Biodiesel Production and Applications,surrogate_esm_tier_a
Hu2020,B02_gp_kriging,B02_gp_kriging;B15_uncertainty;B17_ed_uc,1,2020,Uncertainty quantification in stochastic economic dispatch using Gaussian process emulation,"2020 IEEE Power and Energy Society Innovative Smart Grid Technologies Conference, ISGT 2020",10.1109/isgt45199.2020.9087714,7,A,,Electric Power System Optimization,surrogate_esm_tier_a
Volodina2022,B02_gp_kriging,B02_gp_kriging;B15_uncertainty,1,2022,Propagating uncertainty in a network of energy models,"2022 17th International Conference on Probabilistic Methods Applied to Power Systems, PMAPS 2022",10.1109/pmaps53380.2022.9810635,3,A,,Building Energy and Comfort Optimization,surrogate_esm_tier_a
Lawson201647,B15_uncertainty,B15_uncertainty,1,2016,Bayesian framework for power network planning under uncertainty,"Sustainable Energy, Grids and Networks",10.1016/j.segan.2016.05.003,18,A,,Electric Power System Optimization,surrogate_esm_tier_a
Guo20222057,B06_neural_surrogates,B06_neural_surrogates;B09_decision_focused_l2o;B22_microgrid_hub,1,2022,Training Deep Neural Network for Optimal Power Allocation in Islanded Microgrid Systems: A Distributed Learning-Based Approach,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2021.3054778,43,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Li202359995,B06_neural_surrogates,B06_neural_surrogates;B07_constraint_aware;B09_decision_focused_l2o;B18_opf,1,2023,Learning to Solve Optimization Problems With Hard Linear Constraints,IEEE Access,10.1109/access.2023.3285199,20,A,,Advanced Neural Network Applications,surrogate_esm_tier_a
Deng2020831,B02_gp_kriging,B02_gp_kriging;B18_opf,1,2020,Kriging Assisted Surrogate Evolutionary Computation to Solve Optimal Power Flow Problems,IEEE Transactions on Power Systems,10.1109/tpwrs.2019.2936999,48,A,,Optimal Power Flow Distribution,surrogate_esm_tier_a
Nikolaidis2021,B02_gp_kriging,B02_gp_kriging;B12_bayes_accel;B17_ed_uc,1,2021,Gaussian process-based Bayesian optimization for data-driven unit commitment,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2021.106930,39,A,,Electric Power System Optimization,surrogate_esm_tier_a
Li2021,B02_gp_kriging,B02_gp_kriging;B04_rbf_kernel;B17_ed_uc,1,2021,Optimization for liquid cooling cylindrical battery thermal management system based on gaussian process model,Journal of Thermal Science and Engineering Applications,10.1115/1.4047526,0,out,,,surrogate_esm_tier_a
Muhlpfordt20194806,B03_pce_response_surface,B03_pce_response_surface;B07_constraint_aware;B15_uncertainty;B18_opf;B24_stochastic_robust,1,2019,Chance-Constrained AC Optimal Power Flow: A Polynomial Chaos Approach,IEEE Transactions on Power Systems,10.1109/tpwrs.2019.2918363,76,A,,Probabilistic and Robust Engineering Design,surrogate_esm_tier_a
Safta20172535,B03_pce_response_surface,B03_pce_response_surface;B15_uncertainty;B17_ed_uc,1,2017,Efficient Uncertainty Quantification in Stochastic Economic Dispatch,IEEE Transactions on Power Systems,10.1109/tpwrs.2016.2615334,52,A,,Probabilistic and Robust Engineering Design,surrogate_esm_tier_a
Koirala20242284,B03_pce_response_surface,B03_pce_response_surface;B07_constraint_aware;B15_uncertainty;B18_opf;B24_stochastic_robust,1,2024,Chance-Constrained Optimization Based PV Hosting Capacity Calculation Using General Polynomial Chaos,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3258550,28,A,,Probabilistic and Robust Engineering Design,surrogate_esm_tier_a
Liang20246508,B07_constraint_aware,B07_constraint_aware;B15_uncertainty;B17_ed_uc;B24_stochastic_robust,1,2024,Joint Chance-Constrained Unit Commitment: Statistically Feasible Robust Optimization With Learning-to-Optimize Acceleration,IEEE Transactions on Power Systems,10.1109/tpwrs.2024.3351435,19,A,,Electric Power System Optimization,surrogate_esm_tier_a
Lu20232989,B04_rbf_kernel,B04_rbf_kernel;B17_ed_uc;B22_microgrid_hub,1,2023,Distributed Online Dispatch for Microgrids Using Hierarchical Reinforcement Learning Embedded with Operation Knowledge,IEEE Transactions on Power Systems,10.1109/tpwrs.2021.3092220,41,A,,Smart Grid Energy Management,surrogate_esm_tier_a
Wang20211767,B04_rbf_kernel,B04_rbf_kernel;B15_uncertainty;B17_ed_uc;B22_microgrid_hub;B23_moo_design;B24_stochastic_robust,1,2021,Stochastic Optimization for Residential Demand Response with Unit Commitment and Time of Use,IEEE Transactions on Industry Applications,10.1109/tia.2020.3048643,53,A,,Smart Grid Energy Management,surrogate_esm_tier_a
Pang2023,B06_neural_surrogates,B06_neural_surrogates;B12_bayes_accel;B17_ed_uc,1,2023,A Surrogate-Assisted Adaptive Bat Algorithm for Large-Scale Economic Dispatch,Energies,10.3390/en16021011,20,A,,Electric Power System Optimization,surrogate_esm_tier_a
Chen2023657,B07_constraint_aware,B07_constraint_aware;B15_uncertainty;B18_opf;B24_stochastic_robust,1,2023,Deep-Quantile-Regression-Based Surrogate Model for Joint Chance-Constrained Optimal Power Flow with Renewable Generation,IEEE Transactions on Sustainable Energy,10.1109/tste.2022.3223764,29,A,,Optimal Power Flow Distribution,surrogate_esm_tier_a
Srithapon202134395,B06_neural_surrogates,B06_neural_surrogates;B12_bayes_accel;B15_uncertainty;B18_opf,1,2021,Surrogate-Assisted Multi-Objective Probabilistic Optimal Power Flow for Distribution Network with Photovoltaic Generation and Electric Vehicles,IEEE Access,10.1109/access.2021.3061471,44,A,,Optimal Power Flow Distribution,surrogate_esm_tier_a
Urgun20202791,B04_rbf_kernel,B04_rbf_kernel;B18_opf,1,2020,Importance Sampling Using Multilabel Radial Basis Classification for Composite Power System Reliability Evaluation,IEEE Systems Journal,10.1109/jsyst.2019.2944131,46,A,,Power System Reliability and Maintenance,surrogate_esm_tier_a
Rodgers2018951,B19_capacity_expansion,B19_capacity_expansion,1,2018,Generation expansion planning considering health and societal damages – A simulation-based optimization approach,Energy,10.1016/j.energy.2018.09.004,41,A,,Electric Power System Optimization,surrogate_esm_tier_a
Jahangiri20244849,B19_capacity_expansion,B19_capacity_expansion,1,2024,A machine learning approach to analysis of Canadian provincial power system decarbonization,Energy Reports,10.1016/j.egyr.2024.04.036,8,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Jahangiri2023,B06_neural_surrogates,B06_neural_surrogates;B19_capacity_expansion,1,2023,A Deep Learning Approach for Exploring the Design Space for the Decarbonization of the Canadian Electricity System,Energies,10.3390/en16031352,7,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Amaral20251156,B19_capacity_expansion,B19_capacity_expansion,1,2025,Adaptive metamodeling-based simulation optimisation,Journal of the Operational Research Society,10.1080/01605682.2024.2415474,1,A,,Simulation Techniques and Applications,surrogate_esm_tier_a
Fu20202904,B03_pce_response_surface,B03_pce_response_surface;B15_uncertainty;B24_stochastic_robust,1,2020,Statistical Machine Learning Model for Stochastic Optimal Planning of Distribution Networks Considering a Dynamic Correlation and Dimension Reduction,IEEE Transactions on Smart Grid,10.1109/tsg.2020.2974021,137,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Fu2022,B03_pce_response_surface,B03_pce_response_surface;B15_uncertainty,1,2022,Statistical machine learning model for capacitor planning considering uncertainties in photovoltaic power,Protection and Control of Modern Power Systems,10.1186/s41601-022-00228-z,133,A,,Optimal Power Flow Distribution,surrogate_esm_tier_a
Koschwitz2018134,B01_cornerstone_reviews,B01_cornerstone_reviews;B04_rbf_kernel;B06_neural_surrogates;B20_district_heating,1,2018,Data-driven heating and cooling load predictions for non-residential buildings based on support vector machine regression and NARX Recurrent Neural Network: A comparative study on district scale,Energy,10.1016/j.energy.2018.09.068,189,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Zhou2024,B20_district_heating,B20_district_heating,1,2024,Machine learning-based digital district heating/cooling with renewable integrations and advanced low-carbon transition,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2024.114466,49,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Schulte2016104,B03_pce_response_surface,B03_pce_response_surface;B20_district_heating,1,2016,Optimization of Medium-Deep Borehole Thermal Energy Storage Systems,Energy Technology,10.1002/ente.201500254,36,A,,Geothermal Energy Systems and Applications,surrogate_esm_tier_a
Reynolds2017704,B06_neural_surrogates,B06_neural_surrogates;B20_district_heating,1,2017,A smart heating set point scheduler using an artificial neural network and genetic algorithm,"2017 International Conference on Engineering, Technology and Innovation: Engineering, Technology and Innovation Management Beyond 2020: New Challenges, New Approaches, ICE/ITMC 2017 - Proceedings",10.1109/ice.2017.8279954,14,A,,Building Energy and Comfort Optimization,surrogate_esm_tier_a
Gao2025,B21_mes_sector_coupling,B21_mes_sector_coupling;B23_moo_design;B27_mcdm,1,2025,"Multi-objective optimization and posteriori multi-criteria decision making on an integrative solid oxide fuel cell cooling, heating and power system with semi-empirical model-driven co-simulation",Energy Conversion and Management,10.1016/j.enconman.2024.119371,9,A,,Fuel Cells and Related Materials,surrogate_esm_tier_a
Petrova2025,B05_tree_ensembles,B05_tree_ensembles;B15_uncertainty;B20_district_heating,1,2025,Thermal interference in aquifer thermal energy storage: Insights from stochastic surrogate modelling of well placement,Applied Thermal Engineering,10.1016/j.applthermaleng.2025.127012,8,A,,Geothermal Energy Systems and Applications,surrogate_esm_tier_a
Zhou20181,B02_gp_kriging,B02_gp_kriging;B15_uncertainty;B21_mes_sector_coupling;B24_stochastic_robust,1,2018,A robust optimization approach for integrated community energy system in energy and ancillary service markets,Energy,10.1016/j.energy.2018.01.078,184,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Wang2021,B02_gp_kriging,B02_gp_kriging;B04_rbf_kernel;B06_neural_surrogates;B21_mes_sector_coupling,1,2021,Short-Term Time Wind Speed Forecasting Based on Spatio-Temporal Geostatistical Approach and Kriging Method,International Journal of Pattern Recognition and Artificial Intelligence,10.1142/s0218001421590254,0,B,,,surrogate_esm_tier_a
Zheng20231907,B21_mes_sector_coupling,B21_mes_sector_coupling,1,2023,Distributed Dispatch of Integrated Electricity-Heat Systems With Variable Mass Flow,IEEE Transactions on Smart Grid,10.1109/tsg.2022.3210014,48,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Ren2024,B21_mes_sector_coupling,B21_mes_sector_coupling,1,2024,Data-driven surrogate optimization for deploying heterogeneous multi-energy storage to improve demand response performance at building cluster level,Applied Energy,10.1016/j.apenergy.2023.122312,36,A,,Building Energy and Comfort Optimization,surrogate_esm_tier_a
Jalving2023,B06_neural_surrogates,B06_neural_surrogates;B21_mes_sector_coupling,1,2023,Beyond price taker: Conceptual design and optimization of integrated energy systems using machine learning market surrogates,Applied Energy,10.1016/j.apenergy.2023.121767,28,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Dong2023,B03_pce_response_surface,B03_pce_response_surface;B07_constraint_aware;B15_uncertainty;B21_mes_sector_coupling;B24_stochastic_robust,1,2023,Chance-constrained optimal dispatch of integrated energy systems based on data-driven sparse polynomial chaos expansion,Sustainable Energy Technologies and Assessments,10.1016/j.seta.2023.103546,8,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Yin2024,B21_mes_sector_coupling,B21_mes_sector_coupling,1,2024,Energy management and capacity allocation method of hybrid energy storage system based on port transportation-energy coupling characteristics,Journal of Energy Storage,10.1016/j.est.2024.110745,37,A,,Maritime Transport Emissions and Efficiency,surrogate_esm_tier_a
Eseye201991463,B02_gp_kriging,B02_gp_kriging;B06_neural_surrogates;B22_microgrid_hub,1,2019,Machine learning based integrated feature selection approach for improved electricity demand forecasting in decentralized energy systems,IEEE Access,10.1109/access.2019.2924685,107,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Faraji2020157284,B04_rbf_kernel,B04_rbf_kernel;B06_neural_surrogates;B22_microgrid_hub,1,2020,Optimal day-ahead self-scheduling and operation of prosumer microgrids using hybrid machine learning-based weather and load forecasting,IEEE Access,10.1109/access.2020.3019562,103,A,,Smart Grid Energy Management,surrogate_esm_tier_a
Wang2017,B02_gp_kriging,B02_gp_kriging;B22_microgrid_hub;B23_moo_design,1,2017,Design of a fractional order frequency PID controller for an islanded microgrid: A multi-objective extremal optimization method,Energies,10.3390/en10101502,90,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Nematollahi2021,B02_gp_kriging,B02_gp_kriging;B15_uncertainty;B22_microgrid_hub,1,2021,Sizing and sitting of DERs in active distribution networks incorporating load prevailing uncertainties using probabilistic approaches,Applied Sciences (Switzerland),10.3390/app11094156,58,A,,Optimal Power Flow Distribution,surrogate_esm_tier_a
Wang20192635,B04_rbf_kernel,B04_rbf_kernel;B06_neural_surrogates;B22_microgrid_hub,1,2019,Neural networks for power management optimal strategy in hybrid microgrid,Neural Computing and Applications,10.1007/s00521-017-3219-x,58,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Hussien20211883,B03_pce_response_surface,B03_pce_response_surface;B22_microgrid_hub;B23_moo_design,1,2021,Sunflower optimization algorithm-based optimal PI control for enhancing the performance of an autonomous operation of a microgrid,Ain Shams Engineering Journal,10.1016/j.asej.2020.10.020,57,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Rigo-Mariani20171762,B02_gp_kriging,B02_gp_kriging;B22_microgrid_hub,1,2017,Integrated optimal design of a smart microgrid with storage,IEEE Transactions on Smart Grid,10.1109/tsg.2015.2507131,54,A,,Microgrid Control and Optimization,surrogate_esm_tier_a
Cao2023,B01_cornerstone_reviews,B01_cornerstone_reviews,1,2023,Digital technologies for net-zero energy transition: a preliminary study,Carbon Neutrality,10.1007/s43979-023-00047-7,47,A,,Process Optimization and Integration,surrogate_esm_tier_a
Schulte2020,B02_gp_kriging,B02_gp_kriging;B03_pce_response_surface;B15_uncertainty,1,2020,Multi-objective optimization under uncertainty of geothermal reservoirs using experimental design-based proxy models,Geothermics,10.1016/j.geothermics.2019.101792,52,A,,Reservoir Engineering and Simulation Methods,surrogate_esm_tier_a
Giorgetti2020,B02_gp_kriging,B02_gp_kriging;B12_bayes_accel;B15_uncertainty;B24_stochastic_robust,1,2020,Surrogate-Assisted Modeling and Robust Optimization of a Micro Gas Turbine Plant with Carbon Capture,Journal of Engineering for Gas Turbines and Power,10.1115/1.4044491,14,A,,Advanced Multi-Objective Optimization Algorithms,surrogate_esm_tier_a
Yang2024,B03_pce_response_surface,B03_pce_response_surface;B17_ed_uc,1,2024,A Day-Ahead Economic Dispatch Method for Renewable Energy Systems Considering Flexibility Supply and Demand Balancing Capabilities,Energies,10.3390/en17215427,6,A,,Smart Grid Energy Management,surrogate_esm_tier_a
Dong2022,B02_gp_kriging,B02_gp_kriging;B15_uncertainty;B24_stochastic_robust,1,2022,Optimization strategy based on robust model predictive control for RES-CCHP system under multiple uncertainties,Applied Energy,10.1016/j.apenergy.2022.119707,35,A,,Integrated Energy Systems Optimization,surrogate_esm_tier_a
Liu20222679,B02_gp_kriging,B02_gp_kriging;B15_uncertainty,1,2022,Kernel Structure Design for Data-Driven Probabilistic Load Flow Studies,IEEE Transactions on Smart Grid,10.1109/tsg.2022.3159579,10,A,,Probabilistic and Robust Engineering Design,surrogate_esm_tier_a
Rafi202132436,B04_rbf_kernel,B04_rbf_kernel;B05_tree_ensembles;B06_neural_surrogates;B17_ed_uc,1,2021,A short-term load forecasting method using integrated CNN and LSTM network,IEEE Access,10.1109/access.2021.3060654,482,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Sideratos2020,B04_rbf_kernel,B04_rbf_kernel;B06_neural_surrogates,1,2020,A novel fuzzy-based ensemble model for load forecasting using hybrid deep neural networks,Electric Power Systems Research,10.1016/j.epsr.2019.106025,165,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Li2019,B04_rbf_kernel,B04_rbf_kernel;B06_neural_surrogates,1,2019,Recurrent neural networks based photovoltaic power forecasting approach,Energies,10.3390/en12132538,159,A,,Solar Radiation and Photovoltaics,surrogate_esm_tier_a
Hanifi2024,B02_gp_kriging,B02_gp_kriging;B06_neural_surrogates,1,2024,Advanced hyperparameter optimization of deep learning models for wind power prediction,Renewable Energy,10.1016/j.renene.2023.119700,187,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Madhukumar20228891,B02_gp_kriging,B02_gp_kriging;B04_rbf_kernel;B05_tree_ensembles,1,2022,Regression Model-Based Short-Term Load Forecasting for University Campus Load,IEEE Access,10.1109/access.2022.3144206,142,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Wang2023,B02_gp_kriging,B02_gp_kriging;B04_rbf_kernel;B05_tree_ensembles,1,2023,Improved singular filtering-Gaussian process regression-long short-term memory model for whole-life-cycle remaining capacity estimation of lithium-ion batteries adaptive to fast aging and multi-current variations,Energy,10.1016/j.energy.2023.128677,0,out,,,surrogate_esm_tier_a
Tian2020,B04_rbf_kernel,B04_rbf_kernel,1,2020,Short-term wind speed prediction based on LMD and improved FA optimized combined kernel function LSSVM,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2020.103573,176,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Yang2020415,B04_rbf_kernel,B04_rbf_kernel;B06_neural_surrogates,1,2020,A novel competitive swarm optimized RBF neural network model for short-term solar power generation forecasting,Neurocomputing,10.1016/j.neucom.2019.09.110,130,A,,Solar Radiation and Photovoltaics,surrogate_esm_tier_a
Shi2024,B02_gp_kriging,B02_gp_kriging,1,2024,Short-term Load Forecasting Considering EV Charging Loads with Prediction Interval Evaluation,"2024 56th North American Power Symposium, NAPS 2024",10.1109/naps61145.2024.10741734,2,A,,Energy Load and Power Forecasting,surrogate_esm_tier_a
Bhosekar2018,B01_cornerstone_reviews,B01_cornerstone_reviews,1,2018,"Advances in surrogate based modeling, feasibility analysis, and optimization: A review",Computers \& Chemical Engineering,10.1016/j.compchemeng.2017.09.017,0,,,,external_reviews
DiazManriquez2016,B01_cornerstone_reviews,B01_cornerstone_reviews;B12_bayes_accel,1,2016,A Review of Surrogate Assisted Multiobjective Evolutionary Algorithms,Computational Intelligence and Neuroscience,10.1155/2016/9420460,0,,,,external_reviews
FernandezGodino2023,B01_cornerstone_reviews,B01_cornerstone_reviews;B11_multi_fidelity,1,2023,Review of Multi-Fidelity Models,Advances in Computational Science and Engineering,10.3934/acse.2023015,0,,,,external_reviews
Tan2026,B02_gp_kriging,B02_gp_kriging,1,2026,"Gaussian processes in power systems: Techniques, applications, and future works",Applied Energy,10.1016/j.apenergy.2025.126995,6,A,,Gaussian Processes and Bayesian Inference,surrogate_esm_tier_a
Mohammadi2024,B01_cornerstone_reviews,B01_cornerstone_reviews;B18_opf,1,2024,Surrogate Modeling for Solving OPF: A Review,Sustainability,10.3390/su16229851,0,,,,external_reviews
Khan2024_DT,B99_misc,B99_misc,1,2024,Digital Twin and Artificial Intelligence Incorporated With Surrogate Modeling for Hybrid and Sustainable Energy Systems,arXiv preprint,10.48550/arxiv.2210.00074,0,,,,external_reviews
Westermann2019,B01_cornerstone_reviews,B01_cornerstone_reviews,1,2019,Surrogate modelling for sustainable building design -- A review,Energy and Buildings,10.1016/j.enbuild.2019.05.057,0,,,,external_reviews
Elwy2024,B01_cornerstone_reviews,B01_cornerstone_reviews,1,2024,The artificial intelligence reformation of sustainable building design approach: A systematic review on building design optimization methods using surrogate models,Energy and Buildings,10.1016/j.enbuild.2024.114769,0,,,,external_reviews
Zhang2026_building,B01_cornerstone_reviews,B01_cornerstone_reviews,1,2026,AI-driven surrogate modeling for performance-oriented parametric optimization in sustainable building design: a systematic review,Energy and Buildings,10.1016/j.enbuild.2026.117238,0,,,,external_reviews
Manco2024,B01_cornerstone_reviews,B01_cornerstone_reviews;B21_mes_sector_coupling,1,2024,A review on multi energy systems modelling and optimization,Applied Thermal Engineering,10.1016/j.applthermaleng.2023.121871,0,,,,external_reviews
