"cite_key","title","family","doe","validation","pattern_score","pattern_runner_up","pattern_evidence_snippet"
"Karamichailidou20212137","Wind turbine power curve modeling using radial basis function neural networks and tabu search","RBF / kernel","Historical operational data","Point metrics","0","P2 acceleration",""
"Sánchez-Zabala2024","Building energy performance metamodels for district energy management optimisation platforms","Tree ensembles","Historical operational data","Point metrics","0","P2 acceleration",""
"Du2025","Development of a robust data-driven surrogate model to improve energy flexibility of an integrated district heating system with a thermal storage system","Neural network","Historical operational data","Point metrics","0","P2 acceleration",""
"Reich2020","Predictive control of district heating system using multi-stage nonlinear approximation with selective memory","GP / kriging","Historical operational data","Decision-aware","0","P2 acceleration",""
"Wu2024391","Synergistic Integration of Machine Learning and Mathematical Optimization for Unit Commitment","Neural network","Historical operational data","Feasibility","0","P2 acceleration",""
"De Castro20247710","Multi-Fidelity Reinforcement Learning for Minimum Energy Trajectory Planning","GP / kriging","Multi-fidelity training","Point metrics","0","P2 acceleration",""
"Subedi2026157","Dynamic Validation of CNN-Based Surrogate Models for Inverter-Based Resources in Open-Source Solvers","Neural network","Transfer learning","Point metrics","0","P2 acceleration",""
"Amjady2017","Short term wind power prediction based on improved kriging interpolation, Empirical Mode Decomposition, and closed-loop forecasting engine","GP / kriging","Historical operational data","Point metrics","0","P2 acceleration",""
"Sun20191497","A two-step short-term probabilistic wind forecasting methodology based on predictive distribution optimization","RBF / kernel","Historical operational data","Point metrics","0","P2 acceleration",""
"Buchanan2024","Probabilistic lithium-ion battery state-of-health prediction using convolutional neural networks and Gaussian process regression","GP / kriging","Transfer learning","Problem UQ","0","P2 acceleration",""
"Yan2019625","Analytical Iterative Multistep Interval Forecasts of Wind Generation Based on TLGP","GP / kriging","Historical operational data","Interval calibration","0","P2 acceleration",""
"Kim2021","Probabilistic modeling of wind energy potential for power grid expansion planning","GP / kriging","Historical operational data","Problem UQ","0","P2 acceleration",""
"Dong2024","Design and optimal scheduling of forecasting-based campus multi-energy complementary energy system","Neural network","Historical operational data","Point metrics","0","P2 acceleration",""
"Salahinezhad2025","Trade-off analysis for optimal design of trigeneration energy systems integrated with solar and hydrogen subsystems: A novel optimization strategy","PCE / RSM","Factorial / response-surface design","Point metrics","0","P2 acceleration",""
"alahmad_optimizing_2025","Optimizing renewable energy and green technologies in distribution systems through stochastic planning of distributed energy resources","Neural network","Historical operational data","Decision-aware","0","P2 acceleration",""
"bendriss_novel_2025","A novel improved Frilled Lizard algorithm for solving the optimal planning problem of renewable energy sources within distribution grids under uncertainties","Neural network","Historical operational data","Problem UQ","0","P2 acceleration",""
"Zhang20203731","Two-Stage Optimal Operation Strategy of Isolated Microgrid with TSK Fuzzy Identification of Supply Security","RBF / kernel","Transfer learning","Feasibility","0","P2 acceleration",""
"Yang2024__2","Data-driven robust optimization scheduling for microgrid day-ahead to intra-day operations based on renewable energy interval prediction","GP / kriging","Historical operational data","Stress test","0","P2 acceleration",""
