cite_key,year,type,title,journal,doi,focus,is_moo,is_mes,is_mcdm,surrogate_signal,matched_moo_terms,matched_mes_terms,matched_mcdm_terms,matched_algorithm_terms,matched_surrogate_terms,matched_ml_terms,matched_proxy_hints
abdallah_multiobjective_2016,2016,ARTICLE,Multiobjective optimization model for maximizing sustainability of existing buildings,J Manage Eng,10.1061/(ASCE)ME.1943-5479.0000425,moo_only,1,0,0,0,multi-objective; multiobjective; nondominated; nsga,,,genetic algorithm; ga; nsga,,,
abdallah_minimizing_2024,2024,ARTICLE,Minimizing the environmental impacts of waste valorization systems using multi-criteria life cycle optimization,J. Clean. Prod.,10.1016/j.jclepro.2024.141619,moo_only,1,0,1,0,multi-objective; multiobjective; multi-criteria; pareto,,multi-criteria decision,ga,,,
abdelaziz_monte-carlo_2019,2019,ARTICLE,Monte-Carlo simulation based multi-objective optimum allocation of renewable distributed generation using {OpenCL},Electr Power Syst Res,10.1016/j.epsr.2019.01.012,moo_mes,1,1,0,0,multi-objective; multiobjective; nsga,distributed generation,,ga; nsga,,,
abdelaziz_optimum_2016,2016,ARTICLE,Optimum Reconfiguration of Droop-Controlled Islanded Microgrids,{IEEE} Trans Power Syst,10.1109/TPWRS.2015.2456154,moo_mes,1,1,0,0,multi-objective; multiobjective; non-dominated; nsga,microgrid; microgrids; distributed generation,,genetic algorithm; ga; nsga,,,
abdelsattar_optimal_2024,2024,ARTICLE,Optimal design and analyzing the techno-economic-environmental viability for different configurations of an autonomous hybrid power system,Electr Eng,10.1007/s00202-024-02252-8,moo_only,1,0,1,0,multi-objective; multi objective,,ahp,ga,,,
abdollahipour_optimal_2022,2022,ARTICLE,Optimal design of a hybrid power generation system based on integrating {PEM} fuel cell and {PEM} electrolyzer as a moderator for micro-renewable energy systems,Energy,10.1016/j.energy.2022.124944,moo_only,1,0,1,0,multi-objective; multiobjective,,topsis,ga,,,
abdolmaleki_net-zero_2024,2024,ARTICLE,"Net-zero energy management through multi-criteria optimizations of a hybrid solar-hydrogen energy system for a laboratory in Toronto, Canada",Energy Build.,10.1016/j.enbuild.2024.114186,moo_mes,1,1,0,0,multi-objective; multiobjective; multi-criteria,microgrid; micro-grid; off-grid; hydrogen,,ga,,,
abdou_multi-objective_2021,2021,ARTICLE,Multi-objective optimization of passive energy efficiency measures for net-zero energy building in Morocco,Build. Environ.,10.1016/j.buildenv.2021.108141,moo_only,1,0,0,0,multi-objective; multiobjective,,,ga,,,
abdullah_sustainable_2015,2015,ARTICLE,"Sustainable energy system design with distributed renewable resources considering economic, environmental and uncertainty aspects",Renew. Energy,10.1016/j.renene.2014.12.044,moo_mes,1,1,0,0,multi-objective; multiobjective,distributed generation,,ga,,,
abdulnasser_optimal_2022,2022,INPROCEEDINGS,Optimal stochastic day-ahead scheduling of multi-carrier energy hub integrated with plug-in electric vehicles,Institute of Electrical and Electronics Engineers Inc,10.1109/MEPCON55441.2022.10021692,moo_mes,1,1,0,0,multi-objective,energy hub; electric vehicle; electric vehicles,,ga,,,
abdulnasser_stochastic_2022,2022,ARTICLE,Stochastic multi-objectives optimal scheduling of energy hubs with responsive demands in smart microgrids,J. Energy Storage,10.1016/j.est.2022.105536,moo_mes,1,1,0,0,multi-objective; multiobjective,energy hub; microgrid; microgrids; electric vehicle; electric vehicles,,,,,
abdulnasser_optimizing_2023,2023,ARTICLE,Optimizing the Operation and Coordination of Multi-Carrier Energy Systems in Smart Microgrids Using a Stochastic Approach,{IEEE} Access,10.1109/ACCESS.2023.3284311,moo_mes,1,1,0,0,multi-objective; multiobjective; pareto,energy hub; microgrid; micro grid; microgrids; electric vehicle; electric vehicles,,grey wolf,,,
abedi_comprehensive_2012,2012,ARTICLE,A comprehensive method for optimal power management and design of hybrid {RES}-based autonomous energy systems,Renewable Sustainable Energy Rev,10.1016/j.rser.2011.11.030,moo_mes,1,1,0,0,multi-objective; multiobjective,off-grid; hydrogen,,differential evolution,,,
abid_multi-objective_2024,2024,ARTICLE,Multi-Objective Optimal Power Flow Analysis Incorporating Renewable Energy Sources and {FACTS} Devices Using Non-Dominated Sorting Kepler Optimization Algorithm,Sustainability,10.3390/su16219599,moo_only,1,0,0,0,multi-objective; multiobjective; non-dominated,,,,,,approximate
abid_techno-economic_2024,2024,ARTICLE,"Techno-economic and environmental assessment of renewable energy sources, virtual synchronous generators, and electric vehicle charging stations in microgrids",Appl. Energy,10.1016/j.apenergy.2023.122028,moo_mes,1,1,0,0,multi-objective; multi objective; pareto,virtual power plant; microgrid; microgrids; electric vehicle; electric vehicles,,ga,,,
abid_novel_2024,2024,ARTICLE,A novel multi-objective optimization based multi-agent deep reinforcement learning approach for microgrid resources planning,Appl. Energy,10.1016/j.apenergy.2023.122029,moo_mes,1,1,0,0,multi-objective; multi objective; multiobjective; pareto,microgrid; microgrids; electric vehicle; electric vehicles,,ga,,deep learning; machine learning,
abid_multi-objective_2023,2023,ARTICLE,Multi-objective architecture for strategic integration of distributed energy resources and battery storage system in microgrids,J. Energy Storage,10.1016/j.est.2023.108276,moo_mes,1,1,0,0,multi-objective; multi objective; multiobjective; pareto; non-dominated; nsga; mopso,microgrid; microgrids; distributed energy; distributed generation,,genetic algorithm; ga; nsga; particle swarm; pso; mopso,,,
abidin_microgrid_2024,2024,INPROCEEDINGS,Microgrid System Modelling for Hybrid Renewable Energy Market in Malaysia,Institute of Electrical and Electronics Engineers Inc,10.1109/APEE60256.2024.10790907,moo_mes,1,1,0,0,multi-objective,microgrid; microgrids; hybrid renewable energy system,,,,,
abokersh_sustainability_2021,2021,ARTICLE,Sustainability insights on emerging solar district heating technologies to boost the nearly zero energy building concept,Renew. Energy,10.1016/j.renene.2021.08.091,moo_mes,1,1,1,0,multi-objective; multiobjective; multi-criteria; multi criteria; multicriteria,energy communities; district heating,multi-criteria decision; multi criteria decision; multicriteria decision,,,machine learning,
abubakar_stochastic_2022,2022,ARTICLE,Stochastic Optimal Design of Household-Based Hybrid Energy Supply Systems Using Sample Average Approximation,Math. Probl. Eng.,10.1155/2022/9021413,moo_only,1,0,0,0,multi-objective; multiobjective; non-dominated; nondominated; nsga; hypervolume,,,genetic algorithm; ga; nsga,,,approximation
abuelrub_hybrid_2020,2020,ARTICLE,Hybrid energy system design using greedy particle swarm and biogeography-based optimisation,{IET}. Renew. Power Gener.,10.1049/iet-rpg.2019.0858,moo_mes,1,1,0,0,multi-objective; multiobjective; pareto; non-dominated; hypervolume,standalone,,genetic algorithm; particle swarm; pso,,,
abulkheir_optimal_2023,2023,INPROCEEDINGS,Optimal capacity configuration of {PV} water pumping system for off-grid rural communities,Institute of Electrical and Electronics Engineers Inc,10.1109/MEPCON58725.2023.10462404,moo_mes,1,1,0,0,multi-objective; multiobjective,off-grid,,ga; particle swarm; pso,,,
abu-shaikha_integrating_2025,2025,ARTICLE,Integrating machine learning in digital architecture: enhancing sustainable design and energy efficiency in urban environments,Asian J. Civ. Eng.,10.1007/s42107-024-01224-4,moo_only,1,0,0,0,multi-objective,,,genetic algorithm; ga; pso,,machine learning,
acen_energy_2024,2024,ARTICLE,"Energy, exergy, and exergoeconomic cost optimization of wind-biomass multi-energy systems integrated for hydrogen production",J Therm Anal Calor,10.1007/s10973-024-13135-2,moo_mes,1,1,0,0,multi-objective; multiobjective,multi-energy; hydrogen,,ga,,,
acosta_performance_2018,2018,INPROCEEDINGS,Performance assessment of a modified multi-objective Cuckoo's search algorithm for microgrid planning considering uncertainties,"Association for Computing Machinery, Inc",10.1145/3205651.3205728,moo_mes,1,1,0,0,multi-objective; multiobjective,microgrid; micro-grid,,,,,
acosta_integration_2023,2023,ARTICLE,Integration of Intelligent Neighbourhood Grids to the German Distribution Grid: A Perspective,Energies,10.3390/en16114319,moo_mes,1,1,0,0,multi-objective; multiobjective; multi-criteria,energy communities,,ga,,,computational cost
adetunji_optimization_2022,2022,ARTICLE,An optimization planning framework for allocating multiple distributed energy resources and electric vehicle charging stations in distribution networks,Appl. Energy,10.1016/j.apenergy.2022.119513,moo_mes,1,1,0,0,multi-objective; multiobjective; many objective; pareto,distributed energy; distributed generation; electric vehicle; electric vehicles,,ga,,,
adeyemo_modelling_2022,2022,ARTICLE,Modelling and multi-objective optimization of hybrid energy storage solution for photovoltaic powered off-grid net zero energy building,J. Energy Storage,10.1016/j.est.2022.105273,moo_mes,1,1,0,0,multi-objective; multiobjective; non-dominated; nsga,hybrid renewable energy system; off-grid; hydrogen; electric vehicle,,genetic algorithm; ga; nsga,,,
adhikary_optimal_2015,2015,ARTICLE,Optimal renewable energy project selection: A multi-criteria optimization technique approach,Global J. Pure Appl. Math.,,moo_only,1,0,1,0,multi-criteria,,mcdm; topsis; vikor,,,,
afzali_stochastic_2023,2023,ARTICLE,A stochastic multi-objective model for energy efficiency and renewable resource planning in energy communities: A sustainably cost-effective trade-off,{IET}. Renew. Power Gener.,10.1049/rpg2.12662,moo_mes,1,1,0,0,multi-objective; multiobjective,microgrid; microgrids; energy communities,,,,,
agha_kassab_comprehensive_2024,2024,ARTICLE,A Comprehensive Review of Sizing and Energy Management Strategies for Optimal Planning of Microgrids with {PV} and Other Renewable Integration,Appl. Sci.,10.3390/app142210479,moo_mes,1,1,0,0,multi-objective,microgrid; micro-grid; microgrids; electric vehicle; electric vehicles,,,,,
aghajani_multi-objective_2018,2018,ARTICLE,Multi-objective energy management in a micro-grid,Energy Rep.,10.1016/j.egyr.2017.10.002,moo_mes,1,1,0,0,multi-objective; multi objective; multiobjective; nsga; mopso,micro-grid; micro grid,,ga; nsga; pso; mopso,,,
aghajani_multi-objective_2019,2019,ARTICLE,Multi-objective optimal operation in a micro-grid considering economic and environmental goals,Evol. Syst.,10.1007/s12530-018-9219-y,moo_mes,1,1,0,0,multi-objective; multi objective; multiobjective,micro-grid; micro grid,,ga; particle swarm; pso,,,
agrawal_pareto-frontier_2022,2022,ARTICLE,Pareto-Frontier Differential Evolution based Financial Approach for Multi-objective Congestion Management using Customer Participation and On-site Generation,Renew. Energy Focus,10.1016/j.ref.2022.07.001,moo_only,1,0,0,0,multi-objective; multi objective; multiobjective; pareto,,,genetic algorithm; ga; differential evolution,,,
agrawal_multi-objective_2023,2023,ARTICLE,A multi-objective thermal exchange optimization model for solving optimal power flow problems in hybrid power systems,Decis. Anal. J.,10.1016/j.dajour.2023.100299,moo_only,1,0,0,0,multi-objective; pareto; non-dominated,,,ga,,,
aguayo-perez_environmental_2024,2024,ARTICLE,Environmental and economic valuation of user behavior in the optimal design of renewable energy systems,"Energy, Ecol. Environ.",10.1007/s40974-024-00330-y,moo_mes,1,1,0,0,multi-objective,distributed generation,,,,,
ahmadi_importance_2016,2016,ARTICLE,On the importance of integrating alternative renewable energy resources and their life cycle networks in the eco-design of conventional drinking water plants,J. Clean. Prod.,10.1016/j.jclepro.2016.06.201,moo_only,1,0,0,0,multi-objective; multiobjective; pareto; moea,,,moea,,,
ahmadi_multi-objective_2021,2021,ARTICLE,A multi-objective optimization evaluation framework for integration of distributed energy resources,J. Energy Storage,10.1016/j.est.2021.103005,moo_mes,1,1,0,0,multi-objective; multiobjective; pareto,distributed energy; distributed generation,,genetic algorithm; ga; particle swarm; pso,,,
ahmadi_reinforcement_2023,2023,ARTICLE,Reinforcement of the distribution grids to improve the hosting capacity of distributed generation: Multi-objective framework,Electr Power Syst Res,10.1016/j.epsr.2023.109120,moo_mes,1,1,0,0,multi-objective; multi objective; multiobjective; pareto,distributed generation,,ga; gwo,,,
ahmadi_multi-objective_2009,2009,INPROCEEDINGS,Multi-objective Optimization for Phase Balancing in an Energy Community with High {PV} Penetration and a Shared Energy Storage System,,10.1109/PVSC57443.2024.10749142,moo_mes,1,1,0,0,multi-objective; multiobjective,energy community; electric vehicle,,ga,,,
ahmadi_optimum_2021,2021,ARTICLE,Optimum coordination of centralized and distributed renewable power generation incorporating battery storage system into the electric distribution network,Int J Electr Power Energy Syst,10.1016/j.ijepes.2020.106458,moo_mes,1,1,0,0,multi-objective,distributed generation,,ga,,,
ahmadi_centralised_2019,2019,ARTICLE,"Centralised multi-objective integration of wind farm and battery energy storage system in real-distribution network considering environmental, technical and economic perspective",{IET} Gener. Transm. Distrib.,10.1049/iet-gtd.2018.6749,moo_only,1,0,0,0,multi-objective; multiobjective; non-dominated; nsga,,,genetic algorithm; ga; nsga,,,
ahmadigorji_robust_2023,2023,ARTICLE,A Robust Renewable Energy Source-oriented Strategy for Smart Charging of Plug-in Electric Vehicles Considering Diverse Uncertainty Resources,Int. J. Eng. Trans. A Basics,10.5829/ije.2023.36.04a.10,moo_mes,1,1,0,0,multi-objective; multi objective; multiobjective; pareto; mopso,microgrid; electric vehicle; electric vehicles,,ga; particle swarm; pso; mopso,,,
ahmadipour_memory-guided_2024,2024,ARTICLE,A memory-guided Jaya algorithm to solve multi-objective optimal power flow integrating renewable energy sources,Appl. Soft Comput. J.,10.1016/j.asoc.2024.111924,moo_only,1,0,0,0,multi-objective; multiobjective; pareto,,,ga; particle swarm; pso,,,replace
ahmed_multi-objective_2021,2021,ARTICLE,Multi-objective resource integration for sustainable industrial clusters,J. Clean. Prod.,10.1016/j.jclepro.2021.128237,moo_only,1,0,0,0,multi-objective; multi objective; multiobjective; pareto,,,,,,
ajami_multi-objective_2024,2024,ARTICLE,Multi-objective optimization of {HESS} control for optimal frequency regulation in a power system with {RE} penetration,e-Prime - Adv. Elec. Eng. Elec. Energy,10.1016/j.prime.2024.100805,moo_mes,1,1,0,0,multi-objective,microgrid,,ga,,,
akbari_multi-objective_2024,2024,ARTICLE,Multi-objective economic operation of smart distribution network with renewable-flexible virtual power plants considering voltage security index,Sci. Rep.,10.1038/s41598-024-70095-1,moo_mes,1,1,0,0,multi-objective; multiobjective,virtual power plant; electric vehicle; electric vehicles,,,,,approximate
akinyele_optimal_2020,2020,ARTICLE,Optimal planning and electricity sharing strategy of hybrid energy system for remote communities in Nigeria,Sci. African,10.1016/j.sciaf.2020.e00589,moo_only,1,0,0,0,multi-objective,,,genetic algorithm; ga,,,
akiyama_multi-objective_2023,2023,INPROCEEDINGS,A multi-objective optimization method for efficiency and fairness in P2P electricity trading model,Institute of Electrical and Electronics Engineers Inc,10.1109/ITC-CSCC58803.2023.10212858,moo_only,1,0,0,0,multi-objective; multiobjective,,,,,,
aktas_goal_2020,2020,ARTICLE,A goal programming model for grid-connected hybrid energy system operations,{SN} Appl. Sci.,10.1007/s42452-019-1878-1,moo_mes,1,1,0,0,multi-objective; multiobjective,stand-alone,,,,,
akter_optimal_2021,2021,INPROCEEDINGS,Optimal Sizing and Operation of Microgrid in a Small Island Considering Advanced Direct Load Control and Low Carbon Emission,Institute of Electrical and Electronics Engineers Inc,10.1109/ICSCT53883.2021.9642669,moo_mes,1,1,0,0,multi-objective; multiobjective,microgrid,,,,,
akter_optimal_2021-1,2021,ARTICLE,Optimal sizing of hybrid microgrid in a remote island considering advanced direct load control for demand response and low carbon emission,Energies,10.3390/en14227599,moo_mes,1,1,0,0,multi-objective; multiobjective,microgrid,,,,,
al_hasibi_multi-objective_2019,2019,ARTICLE,Multi-objective optimization of integrated power system expansion planning with renewable energy-based distributed generation,Int. Rev. Elec. Eng.,10.15866/iree.v14i1.16082,moo_mes,1,1,0,0,multi-objective; pareto,distributed generation,,ga,,,
alaaesh_application_2020,2020,INPROCEEDINGS,Application of {GA} with Multi-Objective optimization in control of two-parallel Inverter Based Microgrid,Institute of Electrical and Electronics Engineers Inc,10.1109/IREC48820.2020.9310451,moo_mes,1,1,0,0,multi-objective; multiobjective,microgrid; microgrids,,genetic algorithm; ga,,,
alabi_novel_2021,2021,ARTICLE,A novel multi-objective stochastic risk co-optimization model of a zero-carbon multi-energy system ({ZCMES}) incorporating energy storage aging model and integrated demand response,Energy,10.1016/j.energy.2021.120258,moo_mes,1,1,0,0,multi-objective; multiobjective,multi-energy,,ga,,,
alahmad_enhancing_2025,2025,ARTICLE,Enhancing renewable energy integration through strategic stochastic optimization planning of distributed energy resources (Wind/{PV}/{SBESS}/{MBESS}) in distribution systems,Energy Strateg. Rev.,10.1016/j.esr.2025.101683,moo_mes,1,1,0,0,multi-objective; multiobjective; non-dominated; nsga; mopso,distributed energy; distributed generation,,genetic algorithm; ga; nsga; particle swarm; pso; mopso,,,
alahmad_optimizing_2025,2025,ARTICLE,Optimizing renewable energy and green technologies in distribution systems through stochastic planning of distributed energy resources,Energy Convers. Manage. X,10.1016/j.ecmx.2024.100834,moo_mes,1,1,0,0,multi-objective; multiobjective,distributed energy; distributed generation; electric vehicle; electric vehicles,,ga,,,
alam_ai-based_2023,2023,ARTICLE,{AI}-based efficiency analysis technique for photovoltaic renewable energy system,Phys Scr,10.1088/1402-4896/ad0bb4,moo_only,1,0,0,0,multi-objective; multiobjective,,,ga,,neural network,
alam_optimal_2017,2017,ARTICLE,An optimal P2P energy trading model for smart homes in the smart grid,Energy Efficiency,10.1007/s12053-017-9532-5,moo_mes,1,1,0,0,multi-objective; multiobjective; pareto,microgrid; micro grid,,,,,
alamir_optimizing_2024,2024,ARTICLE,Optimizing Two-stage Energy Management in renewable-based Multi-Microgrid using a Modified Student Psychology-Based Optimization with Demand Response and Hydrogen Storage,Int J Hydrogen Energy,10.1016/j.ijhydene.2024.03.169,moo_mes,1,1,0,0,multi-objective,microgrid; hydrogen,,ga,,,
alamir_developing_2023,2023,ARTICLE,Developing Hybrid Demand Response Technique for Energy Management in Microgrid Based on Pelican Optimization Algorithm,Electr Power Syst Res,10.1016/j.epsr.2022.108905,moo_mes,1,1,0,0,multi-objective; multiobjective,microgrid; microgrids,,,,,instead of
alamir_multi-layer_2024,2024,ARTICLE,A Multi-Layer Techno-Economic-Environmental Energy Management Optimization in Cooperative Multi-Microgrids with Demand Response Program and Uncertainties Consideration,Sci. Rep.,10.1038/s41598-024-72706-3,moo_mes,1,1,0,0,multi-objective; multiobjective,microgrid; microgrids,,,,,
alanazi_optimizing_2024,2024,ARTICLE,Optimizing Renewable Energy Allocation \& Distribution Network Reconfiguration: A Multi-Criteria Approach with Modified Artificial Electric Field Algorithm,Hum.-centric Comput. Inf. Sci.,10.22967/HCIS.2024.14.063,moo_mes,1,1,0,0,multi-objective; multi-criteria,distributed generation,,,,,
alanazi_multi-objective_2024,2024,ARTICLE,Multi-Objective Energy Management in Microgrids: Improved Honey Badger Algorithm with Fuzzy Decision-Making and Battery Aging Considerations,Energies,10.3390/en17174373,moo_mes,1,1,0,0,multi-objective; multi objective; pareto,microgrid; microgrids,,particle swarm; pso,,,
al-arfi_multi-objective_2022,2022,INPROCEEDINGS,Multi-objective optimal sizing of a hybrid concentrated solar power-biogas for desalination and power generation,Scanditale {AB},10.46855/energy-proceedings-10209,moo_mes,1,1,1,0,multi-objective; pareto; non-dominated; nsga,off-grid,topsis,genetic algorithm; ga; nsga,,,replace
alavijeh_cost-effectiveness_2020,2020,ARTICLE,Cost-effectiveness of carbon emission abatement strategies for a local multi-energy system - A case study of chalmers university of technology campus,Energies,10.3390/en13071626,moo_mes,1,1,0,0,multi-objective; multiobjective,multi-energy; distributed energy; district heating; district cooling,,ga,,,
alayi_modelling_2021,2021,ARTICLE,Modelling and reviewing the reliability and multi-objective optimization of wind-turbine system and photovoltaic panel with intelligent algorithms,Clean Energy,10.1093/ce/zkab041,moo_only,1,0,0,0,multi-objective; multiobjective,,,ga,,,
alboaouh_voltage_2020,2020,ARTICLE,"Voltage, var and watt optimization for a distribution system with high {PV} penetration: A probabilistic study",Electr Power Syst Res,10.1016/j.epsr.2019.106159,moo_only,1,0,0,0,multi-objective; multiobjective,,,,,,
al-dhaifallah_multi-objectives_2024,2024,ARTICLE,Multi-objectives transmission expansion planning considering energy storage systems and high penetration of renewables and electric vehicles under uncertain conditions,Energy Rep.,10.1016/j.egyr.2024.03.060,moo_mes,1,1,0,0,multi-objective; multi objective; multiobjective,electric vehicle; electric vehicles,,ga,,,reduce computation
alfailakawi_multi-objective_2023,2023,INPROCEEDINGS,Multi-Objective Optimization of Solar Power Tower Hybridization with Gas Turbine and Thermal Energy Storage Back Up,American Society of Heating Refrigerating and Air-Conditioning Engineers,,moo_only,1,0,0,0,multi-objective; non-dominated,,,genetic algorithm; ga,,,
alfergani_improved_2023,2023,ARTICLE,Improved power sharing in inverter based microgrid using multi-objective optimization,Comput Electr Eng,10.1016/j.compeleceng.2023.108902,moo_mes,1,1,0,0,multi-objective; multiobjective,microgrid; microgrids,,genetic algorithm; ga,,,
al-gabalawy_micro-energy_2020,2020,INCOLLECTION,Micro-energy Systems ({MESs}); Modeling and Optimal Operating Based on {NSGA}-{II},Lecture Notes in Networks and Systems,10.1007/978-981-16-2275-5_6,moo_mes,1,1,0,0,multi-objective; non-dominated; nsga,microgrid,,genetic algorithm; ga; nsga,,,
alghamdi_optimizing_2024,2024,ARTICLE,Optimizing energy costs and reliability: A multi-objective framework with learning-enhanced manta ray foraging for hybrid {PV}/battery systems,Energy,10.1016/j.energy.2024.130346,moo_only,1,0,0,0,multi-objective,,,,,learning-based,
al-ghussain_superposition_2021,2021,ARTICLE,Superposition of Renewable-Energy Supply from Multiple Sites Maximizes Demand-Matching: Towards 100\% Renewable Grids in 2050,Appl. Energy,10.1016/j.apenergy.2020.116402,moo_only,1,0,0,0,multi-objective; multiobjective; pareto,,,,,,
al-ghussain_demand-supply_2021,2021,ARTICLE,A Demand-Supply Matching-Based Approach for Mapping Renewable Resources towards 100\% Renewable Grids in 2050,{IEEE} Access,10.1109/ACCESS.2021.3072969,moo_only,1,0,0,0,multi-objective; pareto,,,,,,
al-hawary_multiobjective_2023,2023,ARTICLE,Multiobjective optimization of a hybrid electricity generation system based on waste energy of internal combustion engine and solar system for sustainable environment,Chemosphere,10.1016/j.chemosphere.2023.139269,moo_only,1,0,0,0,multi-objective; multiobjective,,,genetic algorithm; ga,,,
ali_dynamic_2024,2024,ARTICLE,Dynamic Multi-Objective Optimization of Grid-Connected Distributed Resources Along With Battery Energy Storage Management via Improved Bidirectional Coevolutionary Algorithm,{IEEE} Access,10.1109/ACCESS.2024.3392911,moo_mes,1,1,0,0,multi-objective; multiobjective; non-dominated; moea; hypervolume,distributed resources; distributed generation,,ga; moea,,,
ali_optimizing_2025,2025,ARTICLE,Optimizing Hydrogen Systems and Demand Response for Enhanced Integration of {RES} and {EVs} in Smart Grids,{IEEE} Trans. Smart Grid,10.1109/TSG.2024.3491774,moo_mes,1,1,0,0,multi-objective,hydrogen; electric vehicle; electric vehicles,,ga,,,
ali_optimization_2024,2024,ARTICLE,Optimization of distributed energy resources planning and battery energy storage management via large-scale multi-objective evolutionary algorithm,Energy,10.1016/j.energy.2024.133463,moo_mes,1,1,0,0,multi-objective,distributed energy,,ga,,,
ali_optimal_2021,2021,ARTICLE,Optimal partitioning of unbalanced active distribution systems for supply-sufficient micro- grids considering uncertainty,Int. Trans. Elecr. Energy Sys.,10.1002/2050-7038.13210,moo_mes,1,1,0,0,multi-objective; multiobjective,microgrid; micro-grid; microgrids,,,,,
ali_optimal_2022,2022,ARTICLE,Optimal planning of uncertain renewable energy sources in unbalanced distribution systems by a multi-objective hybrid {PSO}–{SCO} algorithm,{IET}. Renew. Power Gener.,10.1049/rpg2.12499,moo_only,1,0,0,0,multi-objective; multi objective; multiobjective; non-dominated,,,particle swarm; pso,,,
ali_multi-objective_2024,2024,INPROCEEDINGS,Multi-Objective Optimization for Energy Management in Residential Microgrids with Local Energy Markets,Institute of Electrical and Electronics Engineers Inc,,moo_mes,1,1,0,0,multi-objective; multiobjective,microgrid; microgrids; electric vehicle; electric vehicles,,ga,,,
ali_voltage_2024,2024,ARTICLE,Voltage Regulation Planning Based on Optimal Grid-Connected Renewable Energy Allocation Using Nature-Inspired Algorithms to Reduce Switching Cycles of On-Load Tap Changing Transformer,Electr. Power Comp. Syst.,10.1080/15325008.2023.2215783,moo_only,1,0,0,0,multi-objective; multiobjective,,,genetic algorithm; ga; cuckoo search,,,accelerate
ali_integrated_2021,2021,ARTICLE,An integrated multi-objective optimization modelling for sustainable development goals of India,Environ. Dev. Sustainability,10.1007/s10668-020-00745-7,moo_only,1,0,0,0,multi-objective,,,ga,,,
ali_multi-objective_2021,2021,ARTICLE,A multi-objective optimization for planning of networked microgrid using a game theory for peer-to-peer energy trading scheme,{IET} Gener. Transm. Distrib.,10.1049/gtd2.12308,moo_mes,1,1,0,0,multi-objective; multiobjective,microgrid; microgrids,,ga; particle swarm; pso,,,
