cite_key,year,type,title,journal,doi,tier,decision,matched_surrogate_terms,matched_ml_terms,matched_opt_terms,matched_esm_terms,matched_proxy_hints,matched_noise_terms,oa_status,oa_pdf_url,cited_by_count,referenced_works_count,primary_topic,oa_full_text_available,read_priority
Yekani2026,2026,ARTICLE,Data-driven geometric optimization of helical tube heat exchangers for enhanced heat transfer with acceptable pressure drop,International Journal of Thermofluids,10.1016/j.ijft.2026.101565,A,accept,response surface; response surface methodology,,optimization,energy system; district heating,,,gold,,,17,Nanofluid Flow and Heat Transfer,0,low
Hernández2026386,2026,ARTICLE,Residential Energy Consumption Forecasting in Electric Utilities: An Approach Based on Random Forests and Time Series,IEEE Latin America Transactions,10.1109/TLA.2026.11435570,out,reject,,machine learning; random forest,optimization; energy planning,renewable energy; energy planning,,,,,,,,,
Yadav2026,2026,CONFERENCE,Hierarchical Deep Reinforcement Learning for Coordinated Solar-Aware EV Charging Across Distributed Stations,"2026 International Conference on Electric Power and Renewable Energy, EPREC 2026",10.1109/EPREC66546.2026.11412071,out,reject,,deep learning; machine learning; random forest; xgboost,optimization; scheduling,power system; smart grid; power grid,,,,,,,,,
Wang2026851,2026,ARTICLE,Adaptive energy management strategy for a fuel cell vehicle integrated driving condition recognition and prediction,International Journal of Green Energy,10.1080/15435075.2025.2579948,A,accept,radial basis function,neural network; machine learning,optimization; energy planning,power system; energy planning,,,closed,,,35,Advanced Battery Technologies Research,0,low
Ghahramani2025,2025,ARTICLE,A Risk-Averse Data-Driven Distributionally Robust Optimization Method for Transmission Power Systems Under Uncertainty,Energies,10.3390/en18195245,out,reject,,gradient boosting,optimization; unit commitment; optimal power flow; robust optimization,power system; unit commitment; optimal power flow; renewable energy,,,,,,,,,
Ashraf2026,2026,ARTICLE,Data driven intelligent forecasting of electric heating and cooling loads in CCHP systems for sustainable energy management,Next Energy,10.1016/j.nxener.2026.100572,out,reject,,machine learning; random forest; xgboost; lstm,optimization; scheduling,energy system,,load forecasting,,,,,,,
Ye2025,2025,ARTICLE,Coordinating V2V Energy Sharing for Electric Fleets via Multi-Granularity Modeling and Dynamic Spatiotemporal Matching,Sustainability (Switzerland),10.3390/su17198783,A,accept,surrogate,,optimization; scheduling; multi-objective; model predictive,energy system,surrogate,,gold,,,20,Electric Vehicles and Infrastructure,0,low
Dey2025,2025,ARTICLE,System Inertia Cost Forecasting Using Machine Learning: A Data-Driven Approach for Grid Energy Trading in Great Britain,Analytics,10.3390/analytics4040030,out,reject,,machine learning; gradient boosting; xgboost; lstm,,energy system; power system; smart grid,,,,,,,,,
Bareev-Rudy2025,2025,ARTICLE,Sizing optimization of hybrid hydrogen energy storage systems: A metamodel-based approach,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2025.04.299,A,accept,metamodel; meta model; radial basis function,,optimization,energy system; renewable energy,approximate,,hybrid,,9,45,Hybrid Renewable Energy Systems,0,low
Krzywanski2026,2026,ARTICLE,System-level heat demand forecasting and operational optimization in a district heating network with large-scale TES by AI approach,Energy,10.1016/j.energy.2026.140935,out,reject,,machine learning; gradient boosting,optimization; model predictive,energy system; district heating; renewable energy,,,,,,,,,
Zhang2025,2025,ARTICLE,Multi-Objective Collaborative Optimization of Magnetic Gear Compound Machines Using Parameter Grouping and Kriging Surrogate Models,Energies,10.3390/en18236153,A,accept,surrogate; kriging,,optimization; optimisation; multi-objective; pareto,energy system; renewable energy,approximate; computational cost; reduce computation; surrogate,,gold,,2,33,Electric Motor Design and Analysis,0,low
Wu2025901,2025,ARTICLE,Optimal Scheduling Strategy of Integrated Energy System for Electric Vehicles,Strategic Planning for Energy and the Environment,10.13052/spee1048-5236.44412,A,accept,meta-model; kriging,,optimization; scheduling,energy system; power system; electric power system; integrated energy,acceleration,,closed,,,,Integrated Energy Systems Optimization,0,low
Gaitanis2026,2026,ARTICLE,Techno-economic and uncertainty-aware optimization of hybrid renewable systems with small-scale prime movers for commercial buildings,Energy Conversion and Management: X,10.1016/j.ecmx.2026.101765,A,accept,polynomial chaos,,optimization; optimisation,energy system; renewable energy; combined heat and power;  chp ; heat pump,,,gold,,,47,Thermodynamic and Exergetic Analyses of Power and Cooling Systems,0,low
Kaneko202633,2026,ARTICLE,Frequency Containment Reserve Scheduling with Aggregated Distributed Energy Resources Based on Copula-Based Frequency Forecasting,Lecture Notes in Electrical Engineering,10.1007/978-981-95-6915-1_4,out,reject,,machine learning; gradient boosting,optimization; dispatch; scheduling,power system; renewable energy; virtual power plant,,,,,,,,,
Almahadeen2025706,2025,ARTICLE,Meta Learning Enhanced Graph Transformer for Robust Smart Grid Anomaly Detection,International Journal of Advanced Computer Science and Applications,10.14569/IJACSA.2025.0161171,out,reject,,random forest,optimization,smart grid; power grid,,,,,,,,,
Ashraf2026,2026,ARTICLE,Domain-enforced and operator-in-the-loop neural simulation platform for techno-enviro-economic performance enhancement of gas turbine system,Computers and Chemical Engineering,10.1016/j.compchemeng.2025.109529,A,accept,surrogate,neural network,optimisation,power system,surrogate,,closed,,,40,Integrated Energy Systems Optimization,0,low
Xue2026,2026,ARTICLE,Rationally Designed interconnected CoMoP/CoP biphasic heterostructure for highly efficient hydrogen generation via NaBH4 hydrolysis,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2026.154184,A,accept,response surface; response surface methodology,,optimization,energy system,,,closed,,,43,Hydrogen Storage and Materials,0,low
Yelemessov2025,2025,ARTICLE,Algorithmic Optimal Control of Screw Compressors for Energy-Efficient Operation in Smart Power Systems,Algorithms,10.3390/a18090583,A,accept,surrogate,machine learning,optimization; optimisation; model predictive,energy system; power system; electric power system; smart grid,surrogate,,gold,https://www.mdpi.com/1999-4893/18/9/583/pdf?version=1758011230,3,28,Industrial Engineering and Technologies,1,low
Hagiwara2026,2026,ARTICLE,Screening Distribution Networks for Loss Minimum Reconfiguration: Leveraging Demonstration Insights for Statistical Deployment Prioritisation,IET Smart Grid,10.1049/stg2.70067,out,reject,,machine learning; random forest; support vector,,power system; smart grid,,,,,,,,,
Janthong202514265,2025,ARTICLE,Power quality disturbance detection using improved grasshopper optimization and adaptive boosted random forest,Electrical Engineering,10.1007/s00202-025-03260-y,out,reject,,random forest,optimization,power system,,,,,,,,,
Chen2026,2026,ARTICLE,Multiphysics-Embedded Co-Optimization of Data Centers and Energy Storage Systems,IEEE Transactions on Industry Applications,10.1109/TIA.2026.3676947,A,accept,surrogate,,optimization; dispatch; scheduling,power system; power grid,surrogate,,green,https://strathprints.strath.ac.uk/96001/1/Chen-etal-2026-Multiphysics-embedded-co-optimization-of-data-centers-and-energy-storage-systems.pdf,,,Parallel Computing and Optimization Techniques,1,low
Rezvanfar2025,2025,ARTICLE,"A comprehensive review and simulation-based analysis of power market pricing mechanisms in energy systems with high penetration of distributed energy resources: an analysis of distribution locational marginal pricing, dynamic tariff, and machine learning-based approaches","e-Prime - Advances in Electrical Engineering, Electronics and Energy",10.1016/j.prime.2025.101083,out,reject,,neural network; machine learning; gradient boosting; xgboost; learning-based,optimization,energy system,,,,,,,,,
Li2025112,2025,CONFERENCE,Research on Substation Flood Disaster Assessment Algorithm Based on ConvLSTM,"Proceedings of 10th International Conference on Cyber Security and Information Engineering, ICCSIE 2025",10.1145/3759179.3759196,out,reject,,neural network; deep learning; machine learning; random forest; lstm,,power grid,,,,,,,,,
Feng2026,2026,ARTICLE,Advanced renewable energy forecasting under uncertainty using empirical mode decomposition and machine learning for resilient microgrid optimization,Progress in Artificial Intelligence,10.1007/s13748-026-00425-z,out,reject,,neural network; machine learning; support vector,optimization; scheduling; mixed-integer; mixed integer,power system; microgrid; renewable energy,,,,,,,,,
Caldas2026,2026,ARTICLE,Hybrid Linear and Support Vector Quantile Regression for Short-Term Probabilistic Forecasting of Solar PV Power,Energies,10.3390/en19020569,out,reject,,support vector,,energy system; power system; renewable energy,,,,,,,,,
Öğütlü2025,2025,ARTICLE,National-Scale Electricity Consumption Forecasting in Turkey Using Ensemble Machine Learning Models: An Interpretability-Centered Approach,Sustainability (Switzerland),10.3390/su17219829,out,reject,,machine learning; random forest,energy planning,energy planning,,,,,,,,,
Alselahi2026,2026,ARTICLE,Optimizing landfill gas emissions mitigation in Kuwait: Waste-to-energy solutions enhanced by machine learning integration,Energy Reports,10.1016/j.egyr.2025.108974,B,candidate,,neural network; machine learning; random forest; gradient boosting; support vector,optimization,power system; electric power system,approximate,,,,,,,,
Li2026,2026,ARTICLE,"Integrated multi-energy hybrid systems for net-zero buildings: Dynamic simulation, lifecycle 4E assessment, and multi-objective optimization",Energy and Buildings,10.1016/j.enbuild.2025.116873,A,accept,response surface; response surface methodology,,optimization; multi-objective,multi-energy; multi energy; renewable energy; heat pump,,,closed,,1,46,Thermodynamic and Exergetic Analyses of Power and Cooling Systems,0,low
Li2025,2025,ARTICLE,Energy management and parameter optimization for the power system of fuel cell buses,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2025.152383,A,accept,radial basis function,neural network,optimization; model predictive,power system,accelerate; acceleration,,closed,,1,28,Electric and Hybrid Vehicle Technologies,0,low
Boussaid202676,2026,ARTICLE,Enhancing Dynamic Control of Inertial District Energy Networks Through a Physics-Informed State-Space Model,Lecture Notes in Computer Science,10.1007/978-3-032-06129-4_5,A,accept,surrogate,neural network; machine learning; learned model; graph neural,optimization; model predictive,energy system; district energy,accelerate; surrogate,,hybrid,,,29,Smart Grid Energy Management,0,low
Cheng2025,2025,ARTICLE,Distribution network reliability assessment and optimization method based on convolutional neural network,Engineering Research Express,10.1088/2631-8695/ae0f08,out,reject,,neural network; random forest; support vector; convolutional neural,optimization,power system,,,,,,,,,
Tang2026617,2026,ARTICLE,Real-Time Electromagnetic Field Prediction for 252kV GIS Using Integrated DNN and FEM Models,Advances in Transdisciplinary Engineering,10.3233/ATDE260270,A,accept,surrogate,neural network,optimization,power system,surrogate,,diamond,,,,Thermal Analysis in Power Transmission,0,low
Taiwo202693,2026,ARTICLE,Multi-objective optimization inspired by behaviour of jellyfish searching process for silver prices forecasting,Progress in Artificial Intelligence,10.1007/s13748-025-00393-w,A,accept,radial basis function,neural network; machine learning; random forest; support vector; recurrent neural,optimization; multi-objective,energy system; renewable energy,,price forecasting,closed,,1,64,Market Dynamics and Volatility,0,low
Li2026,2026,ARTICLE,Design and Vibration Resistance Performance Analysis of Gallium–Indium Liquid Metal Interconnect Structures at Board Level,"IEEE Transactions on Components, Packaging and Manufacturing Technology",10.1109/TCPMT.2026.3684918,A,accept,response surface,,optimization,power system; electric power system,,,closed,,,,Electromagnetic Compatibility and Noise Suppression,0,low
Ferreira2026,2026,ARTICLE,Optimised pyrolysis strategies for energy-dense bio-oil from Chlorella sp,Bioresource Technology,10.1016/j.biortech.2025.133628,A,accept,response surface; response surface methodology,,optimization,energy system,,,hybrid,https://orca.cardiff.ac.uk/id/eprint/182602/1/1-s2.0-S0960852425015950-main.pdf,3,42,Thermochemical Biomass Conversion Processes,1,low
Waheed2026,2026,ARTICLE,Optimizing day-ahead short-term load prediction through ensemble fusion learning,Electric Power Systems Research,10.1016/j.epsr.2026.112949,out,reject,,deep learning; machine learning; random forest; gradient boosting; support vector,optimization,smart grid; power grid,,load forecasting,,,,,,,
Liu2026,2026,ARTICLE,Graph attention networks unleashed: A fast and explainable vulnerability assessment framework for microgrids,Expert Systems with Applications,10.1016/j.eswa.2026.131837,A,accept,surrogate,machine learning,optimization; optimisation,microgrid,surrogate,,closed,,,43,Advanced Graph Neural Networks,0,low
Nguyen20252666,2025,ARTICLE,A Residual Error Correction Hybrid CNN–LightGBM Model for Accurate Short-Term Electric Load Forecasting,Journal of Robotics and Control (JRC),10.18196/jrc.v6i6.28482,out,reject,,neural network; deep learning; gradient boosting; convolutional neural,,power system,approximate; computational cost,load forecasting,,,,,,,
Reveshti20255218,2025,ARTICLE,A Machine Learning Approach to Climate-Based Building Energy Consumption,Energy Science and Engineering,10.1002/ese3.70233,out,reject,,machine learning; random forest; lstm,energy planning,energy planning,,,,,,,,,
Lestari20252122,2025,ARTICLE,Predicting transmission losses using EEMD – SVR algorithm,International Journal of Power Electronics and Drive Systems,10.11591/ijpeds.v16.i3.pp2122-2129,A,accept,radial basis function,deep learning; support vector,,power system,,,diamond,https://ijpeds.iaescore.com/index.php/IJPEDS/article/download/23916/15053,,,Energy Load and Power Forecasting,1,low
Huang2026,2026,ARTICLE,Transient stability analysis of a VSG grid-connected system based on precise current-limiting switching and AI model identification,Frontiers in Energy Research,10.3389/fenrg.2025.1704939,A,accept,surrogate,machine learning; xgboost,optimization; optimisation,power system; electric power system,surrogate,,gold,,,13,Microgrid Control and Optimization,0,low
Dai2026,2026,ARTICLE,AI-driven energy management for resilient operation of renewable-powered microgrids,Sustainable Computing: Informatics and Systems,10.1016/j.suscom.2025.101288,out,reject,,random forest; lstm,optimization,energy system; microgrid; renewable energy,,,,,,,,,
Mohan2026,2026,ARTICLE,"A data-driven approach to identifying cost-effective retrofits, predicting energy ratings, and evaluating national retrofit CO2 savings in UK homes",Energy and Buildings,10.1016/j.enbuild.2026.117029,out,reject,,neural network; machine learning; random forest; xgboost,energy planning,energy planning,,,,,,,,,
Lu2026,2026,ARTICLE,Energy-efficient power marketing optimization using XGBoost for enhanced market performance,Sustainable Computing: Informatics and Systems,10.1016/j.suscom.2025.101243,out,reject,,gradient boosting; xgboost,optimization,power system,,,,,,,,,
Afzal2026,2026,ARTICLE,Optimization of Heat Transfer Rate in Dusty Fluid Flow Over a Stretching Riga Sheet Using Response Surface Methodology: Application to Industrial Coating Processes,ZAMM Zeitschrift fur Angewandte Mathematik und Mechanik,10.1002/zamm.70427,A,accept,response surface; response surface methodology,,optimization; optimisation,energy system,,,closed,,,22,Nanofluid Flow and Heat Transfer,0,low
Xiao2025,2025,ARTICLE,Optimization-enhanced stacked ensemble for predicting proton exchange membrane fuel cell degradation under dynamic load conditions,Applied Thermal Engineering,10.1016/j.applthermaleng.2025.128691,out,reject,,machine learning; random forest; gradient boosting; regression model,optimization; optimisation,energy system,,,,,,,,,
He2026,2026,ARTICLE,Transient Stability Analysis and Power Ramp Control for High-Power Dispatched Grid-Forming Inverters,Electronics (Switzerland),10.3390/electronics15081705,out,reject,,,dispatch; scheduling,power system; electric power system; renewable energy; power grid,,,,,,,,,
Huang2026,2026,ARTICLE,Predictive analytics for sustainable energy: an in-depth assessment of HGBoost and XGBoost models in photovoltaic energy systems,International Journal of System Assurance Engineering and Management,10.1007/s13198-026-03213-z,out,reject,,machine learning; gradient boosting; xgboost,optimization; optimisation,energy system,,,,,,,,,
Kumar2026,2026,ARTICLE,Employing electric vehicle and FACTS device for deregulated hybrid power system using cascaded fuzzy controller,Energy Systems,10.1007/s12667-026-00778-3,out,reject,,,optimization,power system; electric power system,,,,,,,,,
Raj2026621,2026,ARTICLE,Optimized torrefaction of municipal solid waste for enhanced energy recovery,Biofuels,10.1080/17597269.2025.2544484,A,accept,response surface; response surface methodology,,optimization,energy system,,,closed,,4,58,Municipal Solid Waste Management,0,low
Bora2026,2026,ARTICLE,"Towards sustainable and explainable dual-fuel diesel engine modeling:a SHAP-Based evaluation of Ammonia, Biogas, and hydrogen combustion dynamics",Energy Conversion and Management,10.1016/j.enconman.2025.121014,B,candidate,,machine learning; gradient boosting; regression tree,optimization,energy system,replace,,,,,,,,
Matta2026,2026,ARTICLE,Designing a near-optimal isolated microgrid using active learning,Electric Power Systems Research,10.1016/j.epsr.2025.112055,A,accept,gaussian process,machine learning; learning-based,optimization,microgrid,approximate; computational cost; instead of,,closed,,1,30,Microgrid Control and Optimization,0,low
Zhang2025,2025,ARTICLE,A pyramidal attention-based transformer model based on improved differential innovation search algorithm and feature extraction for solar radiation prediction considering relevant factors,Renewable Energy,10.1016/j.renene.2025.123666,out,reject,,random forest; transformer model,optimization; scheduling,power system,,site selection,,,,,,,
Selvi2026786,2026,ARTICLE,"Comparative analysis of multi-output machine learning models for solar irradiance and wind speed forecasting: A case study in Tamil Nadu, India",International Journal of Power Electronics and Drive Systems,10.11591/ijpeds.v17.i1.pp786-796,out,reject,,machine learning; random forest; gradient boosting,optimization,power system; renewable energy,,wind speed forecasting,,,,,,,
Wu2026,2026,ARTICLE,Multi-agent for analyzing power outage causes in distribution networks of new power system,Journal of Engineering and Applied Science,10.1186/s44147-026-00960-5,out,reject,,deep learning; random forest,optimisation,power system; renewable energy,,,,,,,,,
Landgraf2025,2025,ARTICLE,Stochastic model predictive control with switched latent force models,European Journal of Control,10.1016/j.ejcon.2025.101311,A,accept,gaussian process,,optimization; chance constraint; model predictive,energy system,approximation,,closed,,,23,Advanced Control Systems Optimization,0,low
Mobayen2025,2025,ARTICLE,Dynamic analysis and multi-objective optimization of an integrated solar energy system for Zero-Energy residential complexes,Energy Conversion and Management,10.1016/j.enconman.2025.119924,A,accept,response surface; response surface methodology,,optimization; multi-objective,energy system; heat pump; thermal storage,,,hybrid,https://iris.uniroma1.it/bitstream/11573/1744599/1/Mobayen_Dynamic%20analysis%20and%20multi-objective_2025.pdf,8,50,Building Energy and Comfort Optimization,1,low
Li202621,2026,ARTICLE,A digital technology for energy-saving ventilation control in underground infrastructures: integrating coupled simulation and BP algorithm,International Journal of Global Energy Issues,10.1504/IJGEI.2026.152145,A,accept,kriging,lstm,,energy system,,,bronze,https://doi.org/10.1504/ijgei.2026.152145,,,Building Energy and Comfort Optimization,1,low
Rai2026,2026,ARTICLE,Artificial intelligence models for supercapacitor performance prediction in energy storage,Journal of Energy Storage,10.1016/j.est.2025.119919,A,accept,gaussian process,neural network; machine learning; random forest; gradient boosting; xgboost; support vector; polynomial regression,optimization,energy system; renewable energy,accelerate,,closed,,1,100,Supercapacitor Materials and Fabrication,0,low
Chou2026,2026,ARTICLE,Advancing energy predictive models in smart and sustainable buildings through the age of exploration-inspired optimization of machine and deep learning,Building and Environment,10.1016/j.buildenv.2025.114113,out,reject,,neural network; deep learning; machine learning; support vector; lstm,optimization; optimisation,energy system; renewable energy,,,,,,,,,
Li2025,2025,ARTICLE,Study of a solar-wind-hydrogen-gas-grid multi-energy system with CCHP distributed cooperative operation,Applied Thermal Engineering,10.1016/j.applthermaleng.2025.128562,A,accept,response surface; response surface methodology,,optimization; multi-objective,energy system; power system; multi-energy; renewable energy; heat pump,,,closed,,3,45,Hybrid Renewable Energy Systems,0,low
Osman2026683,2026,ARTICLE,Improving voltage stability in isolated renewable energy microgrids using virtual synchronous generators,International Journal of Power Electronics and Drive Systems,10.11591/ijpeds.v17.i1.pp683-695,out,reject,,,optimization; model predictive,energy system; microgrid; renewable energy,emulate,,,,,,,,
