cite_key,year,type,title,journal,doi,tier,decision,matched_surrogate_terms,matched_ml_terms,matched_opt_terms,matched_esm_terms,matched_proxy_hints,matched_noise_terms,oa_status,oa_pdf_url,cited_by_count,referenced_works_count,primary_topic,oa_full_text_available,read_priority
Hussien202415075,2024,ARTICLE,Hybrid Transient Search Algorithm With Levy Flight for Optimal PI Controllers of Islanded Microgrids,IEEE Access,10.1109/ACCESS.2024.3357741,A,accept,response surface; response surface methodology,,optimization; optimisation; multi-objective,power system; electric power system; microgrid; renewable energy,,,gold,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10412025.pdf,16,40,Microgrid Control and Optimization,1,medium
Lalitha20231401,2023,ARTICLE,Multi-objective approach for protection of microgrids using surrogate assisted particle swarm optimization (SAPSO),Applied Nanoscience (Switzerland),10.1007/s13204-021-02044-7,A,accept,surrogate; surrogate assisted,,optimization; multi-objective; multi objective; pareto,microgrid; renewable energy,approximate; surrogate,,closed,,8,43,Power Systems Fault Detection,0,low
Madhusudanan20244287,2024,ARTICLE,Multi-Objective Optimization Model for Uncertainty Consideration of RESs & Load Demands with the Optimal Design of Hybrid CCHP by DDAO-RBFNN Strategy,IETE Journal of Research,10.1080/03772063.2023.2200329,A,accept,radial basis function,neural network,optimization; optimisation; multi-objective,renewable energy; energy hub,,,closed,,3,37,Integrated Energy Systems Optimization,0,low
Liang2023,2023,ARTICLE,A random optimization strategy of microgrid dispatching based on stochastic response surface method considering uncertainty of renewable energy supplies and load demands,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2023.109408,A,accept,response surface,,optimization; dispatch; multi-objective,microgrid; renewable energy,,,hybrid,,29,21,Optimal Power Flow Distribution,0,medium
Fan2024687,2024,CONFERENCE,Surrogated-Assisted Heterogeneous Multi-Objective Optimization for Integrated Energy Systems,"2024 11th International Forum on Electrical Engineering and Automation, IFEEA 2024",10.1109/IFEEA64237.2024.10878701,A,accept,surrogate; kriging; surrogate-assisted,,optimization; multi-objective,energy system; integrated energy,computational cost; surrogate,,closed,,,14,Integrated Energy Systems Optimization,0,low
Qu2023,2023,ARTICLE,Optimal design of building integrated energy systems by combining two-phase optimization and a data-driven model,Energy and Buildings,10.1016/j.enbuild.2023.113304,A,accept,surrogate,neural network; data-driven model,optimization; pareto,energy system; integrated energy; renewable energy,approximate; computational cost; surrogate,,closed,,24,74,Building Energy and Comfort Optimization,0,medium
Cherif20232199,2023,CONFERENCE,Dynamics of Multi-Objective Energy Optimization in Multi-Energy Micro-Grids Based on Renewable Energy,"9th 2023 International Conference on Control, Decision and Information Technologies, CoDIT 2023",10.1109/CoDIT58514.2023.10284137,A,accept,metamodel; meta-model; meta model; metamodeling,,optimization; optimisation; multi-objective; multi objective,multi-energy; multi energy; microgrid; renewable energy,,,closed,,3,18,Microgrid Control and Optimization,0,low
Cherif2024,2024,CONFERENCE,Metamodel-based on meta-heuristic design optimization of renewable energy microgrid,"2024 International Conference on Connected Innovation and Technology, ICCITX 2024",10.1109/ICCITX61791.2024.11070430,A,accept,metamodel; meta-model; meta model; metamodeling,,optimization; optimisation; multi-objective,microgrid; renewable energy,computation time,,closed,,,13,Distributed and Parallel Computing Systems,0,low
Zhang2022,2022,ARTICLE,Model-based fully coupled propulsion-aerodynamics optimization for hybrid electric aircraft energy management strategy,Energy,10.1016/j.energy.2022.123239,A,accept,surrogate,neural network,optimization; multi-objective,multi-energy,surrogate,,hybrid,,38,45,Advanced Aircraft Design and Technologies,0,medium
Hussien20211883,2021,ARTICLE,Sunflower optimization algorithm-based optimal PI control for enhancing the performance of an autonomous operation of a microgrid,Ain Shams Engineering Journal,10.1016/j.asej.2020.10.020,A,accept,response surface; response surface methodology,,optimization; multi-objective,microgrid,,,gold,,57,63,Microgrid Control and Optimization,0,high
Bian202224179,2022,ARTICLE,"Energy, exergy, economy analysis, and multi-objective optimization of a novel integrated energy system by combining artificial neural network and whale optimization algorithm",International Journal of Energy Research,10.1002/er.8724,A,accept,surrogate,neural network,optimization; optimisation; multi-objective; pareto,energy system; integrated energy,replace; surrogate,,closed,,19,34,Thermodynamic and Exergetic Analyses of Power and Cooling Systems,0,medium
Hussien202190577,2021,ARTICLE,LMSRE-based adaptive pi controller for enhancing the performance of an autonomous operation of microgrids,IEEE Access,10.1109/ACCESS.2021.3091496,A,accept,response surface; response surface methodology,,optimization; multi-objective,power system; microgrid; renewable energy,,,gold,,16,32,Microgrid Control and Optimization,0,medium
Wang20211767,2021,ARTICLE,Stochastic Optimization for Residential Demand Response with Unit Commitment and Time of Use,IEEE Transactions on Industry Applications,10.1109/TIA.2020.3048643,A,accept,radial basis function,,optimization; dispatch; unit commitment; pareto,unit commitment; microgrid; renewable energy,,,closed,,53,54,Smart Grid Energy Management,0,high
Hussien20226442,2022,ARTICLE,Coot Bird Algorithms-Based Tuning PI Controller for Optimal Microgrid Autonomous Operation,IEEE Access,10.1109/ACCESS.2022.3142742,A,accept,response surface; response surface methodology,,optimization; multi-objective,power system; electric power system; microgrid; renewable energy,,,gold,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09681080.pdf,44,42,Microgrid Control and Optimization,1,medium
Aquila2020628,2020,ARTICLE,Economic planning of wind farms from a NBI-RSM-DEA multiobjective programming,Renewable Energy,10.1016/j.renene.2020.05.179,A,accept,response surface; response surface methodology,,optimization; energy planning; multi-objective,power system; electric power system; energy planning,,siting,closed,,23,46,Efficiency Analysis Using DEA,0,medium
Cuzner2018,2018,CONFERENCE,Power Conversion and Distribution Equipment Metamodels for Dependable Design of Shipboard Integrated Power and Energy Systems,"2018 IEEE International Conference on Electrical Systems for Aircraft, Railway, Ship Propulsion and Road Vehicles and International Transportation Electrification Conference, ESARS-ITEC 2018",10.1109/ESARS-ITEC.2018.8607676,A,accept,metamodel,,pareto,energy system; power system; electric power system; integrated energy,,,closed,,8,27,Radiation Effects in Electronics,0,low
Zaki2019,2019,ARTICLE,Adaptive PI control strategy for microgrid performance enhancement,International Journal on Energy Conversion,10.15866/irecon.v7i3.17327,A,accept,response surface; response surface methodology,,optimization; multi-objective,power system; microgrid,,,closed,,4,,Microgrid Control and Optimization,0,low
2017,2017,CONFERENCE,"2017 IEEE Electric Ship Technologies Symposium, ESTS 2017","2017 IEEE Electric Ship Technologies Symposium, ESTS 2017",,A,accept,metamodel; metamodeling,,optimization; multi-objective,power system; microgrid,,,,,,,,,
Cao2017,2017,ARTICLE,Multi-objective optimization of preplanned microgrid islanding based on stochastic short-term simulation,International Transactions on Electrical Energy Systems,10.1002/etep.2238,A,accept,response surface; response surface methodology,,optimization; scheduling; multi-objective,microgrid,,,closed,,9,33,Optimal Power Flow Distribution,0,low
Perera2017187,2017,CONFERENCE,Optimum design of distributed energy hubs using hybrid surrogate models (HSM),Energy Procedia,10.1016/j.egypro.2017.07.343,A,accept,surrogate,,optimization; dispatch; multi-objective,energy system; multi-energy; multi energy; renewable energy; energy hub,reduce computation; surrogate,,diamond,https://eprints.qut.edu.au/118641/1/118641.pdf,5,16,Hybrid Renewable Energy Systems,1,low
Wang2017,2017,ARTICLE,Design of a fractional order frequency PID controller for an islanded microgrid: A multi-objective extremal optimization method,Energies,10.3390/en10101502,A,accept,surrogate; kriging,,optimization; multi-objective,power system; electric power system; microgrid,surrogate,,gold,https://www.mdpi.com/1996-1073/10/10/1502/pdf?version=1506826424,90,40,Microgrid Control and Optimization,1,high
