cite_key,original_cite_key,identity_type,identity_value,year,title,venue,doi,sources
Fine2026,Fine2026,doi,10.1115/1.4070411,2026,"Co-Design for Real-Time Adaptability: Methodology, Implementation, and Real-Time Performance on a Morphing Wind Turbine","Journal of Dynamic Systems, Measurement and Control",10.1115/1.4070411,surrogate_esm_tier_a
Wu2026,Wu2026,doi,10.1016/j.measurement.2025.118683,2026,Ultra short term prediction of distributed photovoltaic power generation based on mixed kernel SVM,Measurement: Journal of the International Measurement Confederation,10.1016/j.measurement.2025.118683,surrogate_esm_tier_a
Yekani2026,Yekani2026,doi,10.1016/j.ijft.2026.101565,2026,Data-driven geometric optimization of helical tube heat exchangers for enhanced heat transfer with acceptable pressure drop,International Journal of Thermofluids,10.1016/j.ijft.2026.101565,surrogate_esm_tier_a
Wang2026851,Wang2026851,doi,10.1080/15435075.2025.2579948,2026,Adaptive energy management strategy for a fuel cell vehicle integrated driving condition recognition and prediction,International Journal of Green Energy,10.1080/15435075.2025.2579948,surrogate_esm_tier_a
Ye2025,Ye2025,doi,10.3390/su17198783,2025,Coordinating V2V Energy Sharing for Electric Fleets via Multi-Granularity Modeling and Dynamic Spatiotemporal Matching,Sustainability (Switzerland),10.3390/su17198783,surrogate_esm_tier_a
Bareev-Rudy2025,Bareev-Rudy2025,doi,10.1016/j.ijhydene.2025.04.299,2025,Sizing optimization of hybrid hydrogen energy storage systems: A metamodel-based approach,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2025.04.299,surrogate_esm_tier_a
Zhang2025,Zhang2025,doi,10.3390/en18236153,2025,Multi-Objective Collaborative Optimization of Magnetic Gear Compound Machines Using Parameter Grouping and Kriging Surrogate Models,Energies,10.3390/en18236153,surrogate_esm_tier_a
Wu2025901,Wu2025901,doi,10.13052/spee1048-5236.44412,2025,Optimal Scheduling Strategy of Integrated Energy System for Electric Vehicles,Strategic Planning for Energy and the Environment,10.13052/spee1048-5236.44412,surrogate_esm_tier_a
Gaitanis2026,Gaitanis2026,doi,10.1016/j.ecmx.2026.101765,2026,Techno-economic and uncertainty-aware optimization of hybrid renewable systems with small-scale prime movers for commercial buildings,Energy Conversion and Management: X,10.1016/j.ecmx.2026.101765,surrogate_esm_tier_a
Ashraf2026,Ashraf2026,doi,10.1016/j.compchemeng.2025.109529,2026,Domain-enforced and operator-in-the-loop neural simulation platform for techno-enviro-economic performance enhancement of gas turbine system,Computers and Chemical Engineering,10.1016/j.compchemeng.2025.109529,surrogate_esm_tier_a
Xue2026,Xue2026,doi,10.1016/j.ijhydene.2026.154184,2026,Rationally Designed interconnected CoMoP/CoP biphasic heterostructure for highly efficient hydrogen generation via NaBH4 hydrolysis,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2026.154184,surrogate_esm_tier_a
Yelemessov2025,Yelemessov2025,doi,10.3390/a18090583,2025,Algorithmic Optimal Control of Screw Compressors for Energy-Efficient Operation in Smart Power Systems,Algorithms,10.3390/a18090583,surrogate_esm_tier_a
Chen2026,Chen2026,doi,10.1109/tia.2026.3676947,2026,Multiphysics-Embedded Co-Optimization of Data Centers and Energy Storage Systems,IEEE Transactions on Industry Applications,10.1109/tia.2026.3676947,surrogate_esm_tier_a
Li2026,Li2026,doi,10.1016/j.enbuild.2025.116873,2026,"Integrated multi-energy hybrid systems for net-zero buildings: Dynamic simulation, lifecycle 4E assessment, and multi-objective optimization",Energy and Buildings,10.1016/j.enbuild.2025.116873,surrogate_esm_tier_a
Li2025,Li2025,doi,10.1016/j.ijhydene.2025.152383,2025,Energy management and parameter optimization for the power system of fuel cell buses,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2025.152383,surrogate_esm_tier_a
Boussaid202676,Boussaid202676,doi,10.1007/978-3-032-06129-4_5,2026,Enhancing Dynamic Control of Inertial District Energy Networks Through a Physics-Informed State-Space Model,Lecture Notes in Computer Science,10.1007/978-3-032-06129-4_5,surrogate_esm_tier_a
Tang2026617,Tang2026617,doi,10.3233/atde260270,2026,Real-Time Electromagnetic Field Prediction for 252kV GIS Using Integrated DNN and FEM Models,Advances in Transdisciplinary Engineering,10.3233/atde260270,surrogate_esm_tier_a
Taiwo202693,Taiwo202693,doi,10.1007/s13748-025-00393-w,2026,Multi-objective optimization inspired by behaviour of jellyfish searching process for silver prices forecasting,Progress in Artificial Intelligence,10.1007/s13748-025-00393-w,surrogate_esm_tier_a
Li2026__2,Li2026,doi,10.1109/tcpmt.2026.3684918,2026,Design and Vibration Resistance Performance Analysis of Gallium–Indium Liquid Metal Interconnect Structures at Board Level,"IEEE Transactions on Components, Packaging and Manufacturing Technology",10.1109/tcpmt.2026.3684918,surrogate_esm_tier_a
Ferreira2026,Ferreira2026,doi,10.1016/j.biortech.2025.133628,2026,Optimised pyrolysis strategies for energy-dense bio-oil from Chlorella sp,Bioresource Technology,10.1016/j.biortech.2025.133628,surrogate_esm_tier_a
Liu2026,Liu2026,doi,10.1016/j.eswa.2026.131837,2026,Graph attention networks unleashed: A fast and explainable vulnerability assessment framework for microgrids,Expert Systems with Applications,10.1016/j.eswa.2026.131837,surrogate_esm_tier_a
Lestari20252122,Lestari20252122,doi,10.11591/ijpeds.v16.i3.pp2122-2129,2025,Predicting transmission losses using EEMD – SVR algorithm,International Journal of Power Electronics and Drive Systems,10.11591/ijpeds.v16.i3.pp2122-2129,surrogate_esm_tier_a
Huang2026,Huang2026,doi,10.3389/fenrg.2025.1704939,2026,Transient stability analysis of a VSG grid-connected system based on precise current-limiting switching and AI model identification,Frontiers in Energy Research,10.3389/fenrg.2025.1704939,surrogate_esm_tier_a
Afzal2026,Afzal2026,doi,10.1002/zamm.70427,2026,Optimization of Heat Transfer Rate in Dusty Fluid Flow Over a Stretching Riga Sheet Using Response Surface Methodology: Application to Industrial Coating Processes,ZAMM Zeitschrift fur Angewandte Mathematik und Mechanik,10.1002/zamm.70427,surrogate_esm_tier_a
Raj2026621,Raj2026621,doi,10.1080/17597269.2025.2544484,2026,Optimized torrefaction of municipal solid waste for enhanced energy recovery,Biofuels,10.1080/17597269.2025.2544484,surrogate_esm_tier_a
Matta2026,Matta2026,doi,10.1016/j.epsr.2025.112055,2026,Designing a near-optimal isolated microgrid using active learning,Electric Power Systems Research,10.1016/j.epsr.2025.112055,surrogate_esm_tier_a
Landgraf2025,Landgraf2025,doi,10.1016/j.ejcon.2025.101311,2025,Stochastic model predictive control with switched latent force models,European Journal of Control,10.1016/j.ejcon.2025.101311,surrogate_esm_tier_a
Mobayen2025,Mobayen2025,doi,10.1016/j.enconman.2025.119924,2025,Dynamic analysis and multi-objective optimization of an integrated solar energy system for Zero-Energy residential complexes,Energy Conversion and Management,10.1016/j.enconman.2025.119924,surrogate_esm_tier_a
Li202621,Li202621,doi,10.1504/ijgei.2026.152145,2026,A digital technology for energy-saving ventilation control in underground infrastructures: integrating coupled simulation and BP algorithm,International Journal of Global Energy Issues,10.1504/ijgei.2026.152145,surrogate_esm_tier_a
Rai2026,Rai2026,doi,10.1016/j.est.2025.119919,2026,Artificial intelligence models for supercapacitor performance prediction in energy storage,Journal of Energy Storage,10.1016/j.est.2025.119919,surrogate_esm_tier_a
Li2025__2,Li2025,doi,10.1016/j.applthermaleng.2025.128562,2025,Study of a solar-wind-hydrogen-gas-grid multi-energy system with CCHP distributed cooperative operation,Applied Thermal Engineering,10.1016/j.applthermaleng.2025.128562,surrogate_esm_tier_a
Shaha20263,Shaha20263,doi,10.1016/j.enss.2025.05.010,2026,Advanced optimization strategies for resilient and cost-efficient hydrogen-based AC/DC microgrids with integrated RES and BESS,Energy Storage and Saving,10.1016/j.enss.2025.05.010,surrogate_esm_tier_a
Han2025,Han2025,doi,10.1016/j.scs.2025.106990,2025,Optimizing the life cycle costs in the dynamic renewal of rural settlements aiming at zero-carbon emissions,Sustainable Cities and Society,10.1016/j.scs.2025.106990,surrogate_esm_tier_a
Zouloumis2026,Zouloumis2026,doi,10.1080/17512549.2025.2612103,2026,Thermal load prediction using surrogate models in district heating systems,Advances in Building Energy Research,10.1080/17512549.2025.2612103,surrogate_esm_tier_a
Li2025__3,Li2025,doi,10.1016/j.energy.2025.139217,2025,Hydraulic transient-aware day-ahead dispatch of hydro-wind-solar hybrid energy system,Energy,10.1016/j.energy.2025.139217,surrogate_esm_tier_a
Mishra2026,Mishra2026,doi,10.1007/s12008-026-02530-8,2026,Multi-objective optimization of stereolithography-pressureless sintering for fabrication of hierarchical porous current collector for lithium batteries,International Journal on Interactive Design and Manufacturing,10.1007/s12008-026-02530-8,surrogate_esm_tier_a
Yurtseven20262235,Yurtseven20262235,doi,10.1109/tpwrs.2025.3648549,2026,Congestion Management Through Stochastic Optimal Transmission Switching in Hybrid AC/DC Grids Considering Continuous Non-Gaussian Uncertainty,IEEE Transactions on Power Systems,10.1109/tpwrs.2025.3648549,surrogate_esm_tier_a
Franzoso2025,Franzoso2025,doi,10.1016/j.enconman.2025.120095,2025,Deep reinforcement learning as a tool for the analysis and optimization of energy flows in multi-energy systems,Energy Conversion and Management,10.1016/j.enconman.2025.120095,surrogate_esm_tier_a
Ji2026,Ji2026,doi,10.1016/j.fuel.2026.138864,2026,Integrated Wind-Solar-LNG system for green liquefied hydrogen and multi-energy supply: Techno-Economic-Environmental analysis and data-driven ANN-GA optimization,Fuel,10.1016/j.fuel.2026.138864,surrogate_esm_tier_a
Wang2026__3,Wang2026,doi,10.1016/j.epsr.2025.112106,2026,Optimization strategy of distribution network based on optimal gaussian process regression under multiple uncertainties,Electric Power Systems Research,10.1016/j.epsr.2025.112106,surrogate_esm_tier_a
Zou2025,Zou2025,doi,10.1016/j.apenergy.2025.126408,2025,Hierarchical optimal scheduling of electricity-hydrogen integrated energy systems via collective neurodynamic optimization,Applied Energy,10.1016/j.apenergy.2025.126408,surrogate_esm_tier_a
Liu2026__2,Liu2026,doi,10.1109/tte.2026.3686775,2026,Configuration and Applicability Boundary Analysis of Fuel Cell Hybrid Power Systems for Multi-rotor Unmanned Aerial Vehicles,IEEE Transactions on Transportation Electrification,10.1109/tte.2026.3686775,surrogate_esm_tier_a
2026,2026,key,2026,2026,"15th REHVA HVAC World Congress, CLIMA 2025",Lecture Notes in Civil Engineering,,surrogate_esm_tier_a
Wang2026__4,Wang2026,doi,10.1016/j.ijhydene.2026.153639,2026,Multi-objective joint optimization for methanol reforming hydrogen fuel cell hybrid power system on a tugboat,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2026.153639,surrogate_esm_tier_a
Zhang20258431,Zhang20258431,doi,10.13334/j.0258-8013.pcsee.240898,2025,A Method for Quantifying Frequency Regulation Capacity Requirements Based on Credible Prediction of Fluctuation Extremum in the Dispatch Period; [基于调度时段内波动极值可信预测的调频容量需求量化方法],Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering,10.13334/j.0258-8013.pcsee.240898,surrogate_esm_tier_a
Wu2026__2,Wu2026,doi,10.1007/s40684-025-00808-y,2026,Carbon Emission Meta-block Assisted Process Optimization for Tensile Properties and Carbon Efficiency in Laser Butt Welding,International Journal of Precision Engineering and Manufacturing - Green Technology,10.1007/s40684-025-00808-y,surrogate_esm_tier_a
Soltani-Gerdefaramarzi2025,Soltani-Gerdefaramarzi2025,doi,10.1016/j.rineng.2025.106339,2025,Improved shark optimization algorithm-composite radial basis function neural network: a new version of the RBFNN model for forecasting monthly solar radiation,Results in Engineering,10.1016/j.rineng.2025.106339,surrogate_esm_tier_a
Li2025__4,Li2025,doi,10.1007/s11760-025-04540-7,2025,The optimization of biomass production forecasting via machine learning techniques,"Signal, Image and Video Processing",10.1007/s11760-025-04540-7,surrogate_esm_tier_a
Lim2025,Lim2025,doi,10.3390/en18184867,2025,Power System Decision Making in the Age of Deep Learning: A Comprehensive Review,Energies,10.3390/en18184867,surrogate_esm_tier_a
Subedi2026157,Subedi2026157,doi,10.1109/oajpe.2026.3666455,2026,Dynamic Validation of CNN-Based Surrogate Models for Inverter-Based Resources in Open-Source Solvers,IEEE Open Access Journal of Power and Energy,10.1109/oajpe.2026.3666455,surrogate_esm_tier_a
Taghavifar2026,Taghavifar2026,doi,10.1016/j.renene.2025.124609,2026,Off-grid shore-to-ship power system optimization with a hydrogen-in-loop buffering scheme driven by hydrokinetic wave-wind energy,Renewable Energy,10.1016/j.renene.2025.124609,surrogate_esm_tier_a
Mtolo2025,Mtolo2025,doi,10.3390/en18195328,2025,Optimization of Green Hydrogen Production via Direct Seawater Electrolysis Powered by Hybrid PV-Wind Energy: Response Surface Methodology,Energies,10.3390/en18195328,surrogate_esm_tier_a
Li2026__3,Li2026,doi,10.1109/tia.2026.3676962,2026,Sensitivity-Aware and Fast-Converging Preventive Dispatch for Large-Scale Power Systems Using Transformer and Integrated Gradients under Transient Constraints,IEEE Transactions on Industry Applications,10.1109/tia.2026.3676962,surrogate_esm_tier_a
Shahid2025,Shahid2025,doi,10.1016/j.cep.2025.110566,2025,"Optimization of integrated chemical looping combustion with supercritical CO2, organic Rankine cycle and absorption refrigeration system using ANN-driven surrogate modeling",Chemical Engineering and Processing - Process Intensification,10.1016/j.cep.2025.110566,surrogate_esm_tier_a
Wei2026,Wei2026,doi,10.1016/j.oceaneng.2025.123393,2026,Prediction and multi-objective optimization of a floating wind-wave hybrid system using surrogate modeling,Ocean Engineering,10.1016/j.oceaneng.2025.123393,surrogate_esm_tier_a
Qi2025,Qi2025,doi,10.1016/j.ijepes.2025.111358,2025,Optimization of power system emergency load shedding with surrogate-assisted proliferation-reduction differential evolution algorithm,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2025.111358,surrogate_esm_tier_a
Zhan2026,Zhan2026,doi,10.1016/j.energy.2026.140597,2026,Cooperative optimal scheduling of IESP-VPP in electricity-gas market based on Stackelberg game,Energy,10.1016/j.energy.2026.140597,surrogate_esm_tier_a
Taha2026,Taha2026,doi,10.1016/j.esd.2026.101987,2026,Governorate-level techno-economic assessment of parabolic trough CSP systems in Syria using Response Surface Methodology,Energy for Sustainable Development,10.1016/j.esd.2026.101987,surrogate_esm_tier_a
Waghmare2026,Waghmare2026,doi,10.1109/tie.2026.3658713,2026,Support Vector Regression Model Assisted Robust Frequency Control for Marine Microgrids Under Stochastic Conditions With Real-Time Validation,IEEE Transactions on Industrial Electronics,10.1109/tie.2026.3658713,surrogate_esm_tier_a
Jiao2026,Jiao2026,doi,10.1016/j.jece.2026.122596,2026,Green hydrogen production from clean/sustainable municipal solid waste-to-hydrogen integrated system; Environmental surveillance and machine learning–driven optimization with multi-objective decision analysis,Journal of Environmental Chemical Engineering,10.1016/j.jece.2026.122596,surrogate_esm_tier_a
Liu2025,Liu2025,doi,10.3390/en18236126,2025,Transient Stability-Constrained Optimal Power Flow Model Based on CatBoost-DF and ISOA,Energies,10.3390/en18236126,surrogate_esm_tier_a
Su2025,Su2025,doi,10.3390/buildings15203706,2025,Research on Dynamic Simulation and Optimization of Building Energy Consumption of Substations in Cold Regions Based on DeST: A Case Study of an Indoor Substation in Shijiazhuang,Buildings,10.3390/buildings15203706,surrogate_esm_tier_a
Rossi2025,Rossi2025,doi,10.1016/j.ijepes.2025.110938,2025,Data-driven decision making for enhancing small-signal stability in hybrid AC/DC grids through converter control role assignment,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2025.110938,surrogate_esm_tier_a
Dai2025,Dai2025,doi,10.1016/j.renene.2025.123676,2025,Analysis and optimization of hydrogen storage performance of thermal self-equilibrium metal hydride reactors equipped with U-tubes,Renewable Energy,10.1016/j.renene.2025.123676,surrogate_esm_tier_a
Ren2025,Ren2025,doi,10.1016/j.applthermaleng.2025.127556,2025,Multi-objective optimization design of variable-thickness wall structure for molten salt tanks considering thermo-mechanical coupling effects,Applied Thermal Engineering,10.1016/j.applthermaleng.2025.127556,surrogate_esm_tier_a
Xu2026520,Xu2026520,doi,10.1007/978-981-95-4290-1_56,2026,Integrated Planning of Multi-type Charging Infrastructure Considering Coupling Effects Between Power Distribution Grids and Traffic Networks,Lecture Notes in Electrical Engineering,10.1007/978-981-95-4290-1_56,surrogate_esm_tier_a
Farzana2026,Farzana2026,doi,10.1016/j.seta.2025.104785,2026,Ecotechnological Valorization of Verbesina encelioides: A dual strategy for sustainable biodiesel production and invasive weed mitigation,Sustainable Energy Technologies and Assessments,10.1016/j.seta.2025.104785,surrogate_esm_tier_a
Ke20263368,Ke20263368,doi,10.1109/tia.2025.3619029,2026,Enhancing Resilience of Networked Microgrids Using V2G: A Distributed Model Predictive Control Approach With Non-Intrusive Battery Surrogate Model,IEEE Transactions on Industry Applications,10.1109/tia.2025.3619029,surrogate_esm_tier_a
Iqbal202660593,Iqbal202660593,doi,10.1109/access.2026.3682635,2026,"Risk-Aware Data Center BESS Dispatch With MILP, Machine Learning, and Stochastic Outage Simulations",IEEE Access,10.1109/access.2026.3682635,surrogate_esm_tier_a
Yao2026,Yao2026,doi,10.1109/tii.2026.3651250,2026,Causality-Aware LLM-Enhanced Graph Representation Learning for Adaptive Power System Control,IEEE Transactions on Industrial Informatics,10.1109/tii.2026.3651250,surrogate_esm_tier_a
Wang2025,Wang2025,doi,10.1007/s42417-025-02184-y,2025,Electromagnetic Performance Analysis and Multi-Objective Optimization of Hybrid Multi-Circuit Monotonic Magnetic Ring Dual-Modulated Three-Rotor Coaxial Magnetic Gear,Journal of Vibration Engineering and Technologies,10.1007/s42417-025-02184-y,surrogate_esm_tier_a
Yakubu2025,Yakubu2025,doi,10.1016/j.rineng.2025.105924,2025,"Modeling, optimization, and thermal management strategies of hydrogen fuel cell systems",Results in Engineering,10.1016/j.rineng.2025.105924,surrogate_esm_tier_a
Zhuo2026,Zhuo2026,doi,10.1109/jestpe.2026.3656383,2026,Optimization of Current Balance for Multichip Parallel SiC Power Modules Based on Response Surface Methodology and Genetic Algorithm,IEEE Journal of Emerging and Selected Topics in Power Electronics,10.1109/jestpe.2026.3656383,surrogate_esm_tier_a
Du2025,Du2025,doi,10.1016/j.energy.2025.138398,2025,Development of a robust data-driven surrogate model to improve energy flexibility of an integrated district heating system with a thermal storage system,Energy,10.1016/j.energy.2025.138398,surrogate_esm_tier_a
Almpantis2026,Almpantis2026,doi,10.1016/j.renene.2026.125823,2026,Multi-objective optimization framework for reconfigurable PV–PEM electrolyzer using machine learning surrogates,Renewable Energy,10.1016/j.renene.2026.125823,surrogate_esm_tier_a
Gao2026,Gao2026,doi,10.1016/j.ijepes.2025.111462,2026,Optimum control for UPQC-embedded source-network-load-storage system using extreme learning machine scheme,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2025.111462,surrogate_esm_tier_a
Dong2026,Dong2026,doi,10.1117/12.3094303,2026,Dynamic evaluation on microgrids operation model and benefit realization through optimized RBFNN,Proceedings of SPIE - The International Society for Optical Engineering,10.1117/12.3094303,surrogate_esm_tier_a
Bernadino2026,Bernadino2026,doi,10.1016/j.enbuild.2026.117334,2026,DemAEndGAN: Cross-modal hourly building energy demand prediction with autoencoders and generative adversarial networks,Energy and Buildings,10.1016/j.enbuild.2026.117334,surrogate_esm_tier_a
Hameed2026221,Hameed2026221,doi,10.1142/s0219686726500101,2026,Quantum Particle Swarm Optimization of ECDM Performances for Circuit Input Parameters During Micro-Machining of Silicon-Wafer,Journal of Advanced Manufacturing Systems,10.1142/s0219686726500101,surrogate_esm_tier_a
Wang2026__5,Wang2026,doi,10.1016/j.compchemeng.2026.109637,2026,AI-driven digital twin and delay-aware surrogate MPC framework for biogas production,Computers and Chemical Engineering,10.1016/j.compchemeng.2026.109637,surrogate_esm_tier_a
He2026,He2026,doi,10.1016/j.energy.2026.141071,2026,Adaptive energy management strategy for electric tractors considering battery lifespan and load fluctuations characteristic,Energy,10.1016/j.energy.2026.141071,surrogate_esm_tier_a
Xie20261163,Xie20261163,doi,10.1109/tpwrs.2025.3613360,2026,Predict-and-Optimize Robust Unit Commitment with Statistical Guarantees via Weight Combination,IEEE Transactions on Power Systems,10.1109/tpwrs.2025.3613360,surrogate_esm_tier_a
Zhang2026,Zhang2026,doi,10.1016/j.applthermaleng.2026.131074,2026,TSV-ThermSense: A DTCO framework for in-situ inter-tier thermal sensing in 3D-ICs,Applied Thermal Engineering,10.1016/j.applthermaleng.2026.131074,surrogate_esm_tier_a
Kim2026,Kim2026,doi,10.1016/j.enbuild.2026.117424,2026,Interpretable probabilistic forecasting of building multi-energy loads using residual learning and global attention-enabled transformer: A case study for residential buildings in South Korea,Energy and Buildings,10.1016/j.enbuild.2026.117424,surrogate_esm_tier_a
Liu2025__2,Liu2025,doi,10.1117/12.3093244,2025,Autoscaling method for computing power scheduling resource pool in cloud environment,Proceedings of SPIE - The International Society for Optical Engineering,10.1117/12.3093244,surrogate_esm_tier_a
Liu2026__3,Liu2026,doi,10.1016/j.renene.2026.125243,2026,Fast annual energy estimation for solar tower power systems based on heliostat grouping and solar position sampling,Renewable Energy,10.1016/j.renene.2026.125243,surrogate_esm_tier_a
Lu2026,Lu2026,doi,10.1016/j.applthermaleng.2026.130205,2026,Design and optimization of a Mars Brayton energy supply system with hybrid intelligent models,Applied Thermal Engineering,10.1016/j.applthermaleng.2026.130205,surrogate_esm_tier_a
Rashid2026128,Rashid2026128,doi,10.5937/fme2601128b,2026,Direct Solar Radiation Prediction using Multi-Model Evaluation with Trignometric Cyclic Process; [ПРЕДВИЂАЊЕ ДИРЕКТНОГ СУНЧЕВОГ ЗРАЧЕЊА КОРИШЋЕЊЕМ ВИШЕМОДЕЛСКЕ ЕВАЛУАЦИЈЕ СА ТРИГОНОМЕТРИЈСКИМ ЦИКЛИЧНИМ ПРОЦЕСОМ],FME Transactions,10.5937/fme2601128b,surrogate_esm_tier_a
Shahriari2025,Shahriari2025,doi,10.1016/j.rineng.2025.106286,2025,Simultaneous OPEX and carbon footprint reduction with hydrogen enhancement in autothermal reforming: a machine learning–based surrogate modeling and optimization framework,Results in Engineering,10.1016/j.rineng.2025.106286,surrogate_esm_tier_a
Bayat2026,Bayat2026,doi,10.1115/1.4070400,2026,Multidisciplinary Control Codesign of a Spar–Torus Hybrid Wind-Wave Energy System,Journal of Mechanical Design,10.1115/1.4070400,surrogate_esm_tier_a
Amini2026,Amini2026,doi,10.22068/ijeee.22.1.3890,2026,Surrogate-Based Multiphysics Design Optimization of a Wound Rotor Synchronous Generator with Enhanced Damping,Iranian Journal of Electrical and Electronic Engineering,10.22068/ijeee.22.1.3890,surrogate_esm_tier_a
Farrokh2025,Farrokh2025,doi,10.1016/j.rineng.2025.107124,2025,Robust hybrid optimization design for axial flux-switching transverse-flux permanent magnet wind generator,Results in Engineering,10.1016/j.rineng.2025.107124,surrogate_esm_tier_a
Li2025__5,Li2025,doi,10.1088/2631-8695/ae2192,2025,Design of electrical system for HEV internal operation: using DSP as research method,Engineering Research Express,10.1088/2631-8695/ae2192,surrogate_esm_tier_a
Shi2026,Shi2026,doi,10.1049/rpg2.70213,2026,Wind-Solar-Storage Transmission Expansion Planning With Reinforcement Learning Framework Based on Gaussian Process Regression,IET Renewable Power Generation,10.1049/rpg2.70213,surrogate_esm_tier_a
Zhou2026,Zhou2026,doi,10.1016/j.egyai.2026.100723,2026,Surrogate-based risk-aware scenario screening for facilitating the operational decision-making in renewables-dominated power systems,Energy and AI,10.1016/j.egyai.2026.100723,surrogate_esm_tier_a
Bracht2026,Bracht2026,doi,10.1016/j.buildenv.2026.114205,2026,Heat waves in buildings: A review of detection methods and performance assessment,Building and Environment,10.1016/j.buildenv.2026.114205,surrogate_esm_tier_a
Shen2026,Shen2026,doi,10.1002/ese3.70501,2026,Intelligent Control Framework of District Heating Systems Considering Waste Heat Utilization in Data Centers,Energy Science and Engineering,10.1002/ese3.70501,surrogate_esm_tier_a
Gomez2025,Gomez2025,doi,10.1016/j.energy.2025.138081,2025,Short-term smart grid energy forecasting using a hybrid deep learning method on univariate and multivariate data sets,Energy,10.1016/j.energy.2025.138081,surrogate_esm_tier_a
Assareh2025,Assareh2025,doi,10.1002/adsu.202400888,2025,Multi-Objective Optimization of a Climate-Responsive Green Hydrogen-Based Multi-Generation System with Advanced Energy Storage and Heat Recovery,Advanced Sustainable Systems,10.1002/adsu.202400888,surrogate_esm_tier_a
Ben Slimene2025,Ben Slimene2025,doi,10.1016/j.psep.2025.107717,2025,Transient modeling and data-driven optimization of a hybrid geothermal–solar energy system for eco-friendly multigeneration: A case study approach to sustainable urban development,Process Safety and Environmental Protection,10.1016/j.psep.2025.107717,surrogate_esm_tier_a
